1	sp	0.0125	0.5725
2	PLEASE	0.5725	0.9625
3	CALL	0.9625	1.2725
4	STELLA	1.2725	1.8125
5	sp	1.8125	2.2825
6	ASK	2.2825	2.6525
7	HER	2.6525	2.8625
8	sp	2.8625	2.8725
9	TO	2.8725	3.0225
10	BRING	3.0225	3.3925
11	THESE	3.3925	3.6225
12	sp	3.6225	3.6725
13	THINGS	3.6725	4.1325
14	WITH	4.1325	4.3925
15	HER	4.3925	4.6725
16	sp	4.6725	4.7625
17	FROM	4.7625	5.0525
18	THE	5.0525	5.1625
19	STORE	5.1625	5.5525
20	sp	5.5525	6.1825
21	SIX	6.1825	6.5225
22	SPOONS	6.5225	6.8925
23	OF	6.8925	7.0725
24	sp	7.0725	7.1425
25	FRESH	7.1425	7.4325
26	SNOW	7.4325	7.7825
27	sp	7.7825	7.8925
28	PEAS	7.8925	8.3125
29	sp	8.3125	8.5625
30	FIVE	8.5625	8.8125
31	sp	8.8125	8.9525
32	THICK	8.9525	9.1225
33	sp	9.1225	9.3025
34	SLABS	9.3025	9.8125
35	OF	9.8125	9.9925
36	sp	9.9925	10.0925
37	BLUE	10.0925	10.3425
38	CHEESE	10.3425	10.8225
39	sp	10.8225	10.9325
40	AND	10.9325	11.2025
41	MAYBE	11.2025	11.5525
42	A	11.5525	11.6025
43	SNACK	11.6025	11.9725
44	sp	11.9725	12.0625
45	FOR	12.0625	12.2325
46	HER	12.2325	12.3725
47	BROTHER	12.3725	12.7925
48	BOB	12.7925	13.1025
49	sp	13.1025	13.8925
50	WE	13.8925	14.0225
51	ALSO	14.0225	14.3725
52	NEED	14.3725	14.6525
53	A	14.6525	14.7125
54	SMALL	14.7125	15.0925
55	PLASTIC	15.0925	15.6225
56	SNAKE	15.6225	16.1025
57	AND	16.1025	16.3425
58	A	16.3425	16.4225
59	BIG	16.4225	16.7425
60	sp	16.7425	16.7725
61	TOY	16.7725	17.0125
62	FROG	17.0125	17.4625
63	FOR	17.4625	17.7225
64	THE	17.7225	17.8625
65	sp	17.8625	17.9025
66	KIDS	17.9025	18.3625
67	sp	18.3625	18.7725
68	SHE	18.7725	18.9425
69	CAN	18.9425	19.1925
70	SCOOP	19.1925	19.5625
71	sp	19.5625	19.6425
72	THESE	19.6425	19.8725
73	sp	19.8725	20.0125
74	THINGS	20.0125	20.4225
75	sp	20.4225	20.4425
76	INTO	20.4425	20.8225
77	THREE	20.8225	21.2625
78	RED	21.2625	21.5025
79	sp	21.5025	21.6825
80	BAGS	21.6825	22.1425
81	sp	22.1425	22.1725
82	AND	22.1725	22.3825
83	WE	22.3825	22.5625
84	WILL	22.5625	22.9025
85	GO	22.9025	23.1725
86	MEET	23.1725	23.5125
87	HER	23.5125	23.8825
88	WEDNESDAY	23.8825	24.5225
89	AT	24.5225	24.7425
90	THE	24.7425	24.8325
91	TRAIN	24.8325	25.2125
92	STATION	25.2125	25.7625
93	sp	25.7625	26.3225
