1	sp	0.0125	0.2025
2	PLEASE	0.2025	0.5725
3	CALL	0.5725	0.7825
4	STELLA	0.7825	1.1825
5	sp	1.1825	1.5825
6	ASK	1.5825	1.8625
7	HER	1.8625	1.9325
8	TO	1.9325	2.0525
9	BRING	2.0525	2.3025
10	THESE	2.3025	2.5125
11	THINGS	2.5125	2.7725
12	WITH	2.7725	2.9125
13	HER	2.9125	3.0525
14	FROM	3.0525	3.2525
15	THE	3.2525	3.3125
16	STORE	3.3125	3.6225
17	sp	3.6225	4.1725
18	SIX	4.1725	4.4925
19	SPOONS	4.4925	4.8325
20	OF	4.8325	4.9525
21	sp	4.9525	5.0025
22	FRESH	5.0025	5.1925
23	SNOW	5.1925	5.4725
24	PEAS	5.4725	5.8925
25	sp	5.8925	6.3025
26	FIVE	6.3025	6.5225
27	sp	6.5225	6.5625
28	THICK	6.5625	6.7025
29	SLABS	6.7025	7.0825
30	OF	7.0825	7.1525
31	BLUE	7.1525	7.3225
32	CHEESE	7.3225	7.8025
33	sp	7.8025	8.0925
34	AND	8.0925	8.2225
35	MAYBE	8.2225	8.4325
36	A	8.4325	8.4725
37	SNACK	8.4725	8.8025
38	FOR	8.8025	8.9425
39	HER	8.9425	9.0125
40	BROTHER	9.0125	9.2625
41	BOB	9.2625	9.5325
42	sp	9.5325	10.2525
43	WE	10.2525	10.3625
44	ALSO	10.3625	10.6425
45	NEED	10.6425	10.8025
46	A	10.8025	10.8325
47	SMALL	10.8325	11.1125
48	PLASTIC	11.1125	11.5125
49	SNAKE	11.5125	11.9225
50	sp	11.9225	11.9925
51	AND	11.9925	12.1325
52	A	12.1325	12.1725
53	BIG	12.1725	12.3725
54	sp	12.3725	12.4025
55	TOY	12.4025	12.6025
56	FROG	12.6025	12.9425
57	sp	12.9425	12.9625
58	FOR	12.9625	13.0925
59	THE	13.0925	13.1725
60	KIDS	13.1725	13.6625
61	sp	13.6625	14.1125
62	SHE	14.1125	14.2525
63	CAN	14.2525	14.3925
64	SCOOP	14.3925	14.6325
65	sp	14.6325	14.6925
66	THESE	14.6925	14.9125
67	sp	14.9125	14.9825
68	THINGS	14.9825	15.2425
69	INTO	15.2425	15.3825
70	THREE	15.3825	15.6425
71	RED	15.6425	15.8425
72	BAGS	15.8425	16.2525
73	AND	16.2525	16.3425
74	sp	16.3425	16.5825
75	WE	16.5825	16.6625
76	WILL	16.6625	16.8425
77	GO	16.8425	16.9425
78	MEET	16.9425	17.1325
79	HER	17.1325	17.2325
80	WEDNESDAY	17.2325	17.7125
81	AT	17.7125	17.7925
82	THE	17.7925	17.8525
83	TRAIN	17.8525	18.1225
84	STATION	18.1225	18.6225
85	sp	18.6225	18.8925
