1	sp	0.0125	0.4025
2	PLEASE	0.4025	0.7425
3	CALL	0.7425	0.9325
4	STELLA	0.9325	1.4425
5	sp	1.4425	1.9225
6	ASK	1.9225	2.2625
7	HER	2.2625	2.4425
8	TO	2.4425	2.5525
9	BRING	2.5525	2.9425
10	THESE	2.9425	3.1825
11	THINGS	3.1825	3.6925
12	sp	3.6925	3.9825
13	WITH	3.9825	4.2525
14	HER	4.2525	4.3625
15	FROM	4.3625	4.6125
16	THE	4.6125	4.6825
17	STORE	4.6825	5.2325
18	sp	5.2325	5.7525
19	SIX	5.7525	6.0725
20	SPOONS	6.0725	6.4325
21	OF	6.4325	6.5425
22	FRESH	6.5425	6.9325
23	SNOW	6.9325	7.2125
24	PEAS	7.2125	7.6225
25	sp	7.6225	8.3625
26	FIVE	8.3625	8.6325
27	THICK	8.6325	8.8825
28	SLABS	8.8825	9.3025
29	OF	9.3025	9.4125
30	BLUE	9.4125	9.6725
31	CHEESE	9.6725	10.3225
32	AND	10.3225	10.6325
33	MAYBE	10.6325	11.1025
34	A	11.1025	11.1625
35	SNACK	11.1625	11.5825
36	FOR	11.5825	11.8225
37	HER	11.8225	11.9025
38	BROTHER	11.9025	12.1325
39	BOB	12.1325	12.6225
40	sp	12.6225	13.0325
41	WE	13.0325	13.1325
42	ALSO	13.1325	13.4025
43	NEED	13.4025	13.7925
44	A	13.7925	13.9125
45	SMALL	13.9125	14.3525
46	PLASTIC	14.3525	14.8325
47	SNAKE	14.8325	15.3925
48	sp	15.3925	15.4525
49	AND	15.4525	15.6725
50	A	15.6725	15.7225
51	BIG	15.7225	16.0325
52	TOY	16.0325	16.5825
53	sp	16.5825	17.2725
54	FROG	17.2725	17.8325
55	FOR	17.8325	18.2625
56	THE	18.2625	18.3325
57	KIDS	18.3325	18.7225
58	sp	18.7225	19.8325
59	SHE	19.8325	19.9925
60	CAN	19.9925	20.2525
61	SCOOP	20.2525	20.9125
62	sp	20.9125	22.7325
63	THESE	22.7325	23.2525
64	sp	23.2525	23.3025
65	THINGS	23.3025	24.0225
66	INTO	24.0225	24.3125
67	THREE	24.3125	24.7325
68	RED	24.7325	24.9825
69	BAGS	24.9825	25.3425
70	sp	25.3425	25.9125
71	AND	25.9125	26.3825
72	WE	26.3825	26.4425
73	WILL	26.4425	26.8325
74	sp	26.8325	27.3725
75	GO	27.3725	27.7025
76	MEET	27.7025	27.9125
77	HER	27.9125	28.2725
78	WEDNESDAY	28.2725	28.7925
79	AT	28.7925	28.9425
80	THE	28.9425	29.0025
81	TRAIN	29.0025	29.2725
82	STATION	29.2725	29.6025
83	sp	29.6025	30.3425
