1	sp	0.0125	0.4925
2	PLEASE	0.4925	0.7725
3	sp	0.7725	0.7925
4	CALL	0.7925	1.0625
5	STELLA	1.0625	1.4625
6	ASK	1.4625	1.7325
7	HER	1.7325	1.8625
8	TO	1.8625	1.9325
9	BRING	1.9325	2.1525
10	THESE	2.1525	2.4025
11	THINGS	2.4025	2.6325
12	WITH	2.6325	2.7825
13	HER	2.7825	2.8925
14	FROM	2.8925	3.1425
15	THE	3.1425	3.2125
16	STORE	3.2125	3.6425
17	sp	3.6425	5.1925
18	SIX	5.1925	5.4325
19	SPOONS	5.4325	5.7025
20	OF	5.7025	5.7625
21	FRESH	5.7625	6.0625
22	SNOW	6.0625	6.3025
23	PEAS	6.3025	6.6325
24	FIVE	6.6325	6.9725
25	THICK	6.9725	7.2825
26	SLABS	7.2825	7.6725
27	OF	7.6725	7.7825
28	BLUE	7.7825	8.0025
29	CHEESE	8.0025	8.3725
30	AND	8.3725	8.5125
31	MAYBE	8.5125	8.7825
32	A	8.7825	8.8125
33	SNACK	8.8125	9.1825
34	FOR	9.1825	9.3525
35	HER	9.3525	9.4625
36	BROTHER	9.4625	9.7125
37	BOB	9.7125	10.0025
38	sp	10.0025	10.2825
39	WE	10.2825	10.4325
40	ALSO	10.4325	10.7225
41	NEED	10.7225	10.9325
42	A	10.9325	11.0025
43	SMALL	11.0025	11.4925
44	PLASTIC	11.4925	11.9525
45	SNAKE	11.9525	12.3225
46	AND	12.3225	12.4225
47	A	12.4225	12.4525
48	BIG	12.4525	12.6825
49	TOY	12.6825	12.9125
50	FROG	12.9125	13.3325
51	FOR	13.3325	13.4725
52	THE	13.4725	13.6125
53	KIDS	13.6125	14.0225
54	sp	14.0225	15.0625
55	SHE	15.0625	15.1925
56	CAN	15.1925	15.4025
57	SCOOP	15.4025	15.7125
58	THESE	15.7125	15.9725
59	THINGS	15.9725	16.3025
60	INTO	16.3025	16.5725
61	THREE	16.5725	16.8925
62	RED	16.8925	17.3025
63	BAGS	17.3025	17.6325
64	AND	17.6325	17.7625
65	WE	17.7625	17.8825
66	WILL	17.8825	18.2725
67	sp	18.2725	18.8225
68	GO	18.8225	18.9625
69	MEET	18.9625	19.1525
70	HER	19.1525	19.3625
71	sp	19.3625	19.9425
72	WEDNESDAY	19.9425	20.5725
73	sp	20.5725	20.7025
74	AT	20.7025	20.8925
75	THE	20.8925	20.9825
76	TRAIN	20.9825	21.3025
77	STATION	21.3025	21.7225
78	sp	21.7225	22.1425
