1	sp	0.0125	0.3825
2	PLEASE	0.3825	0.9225
3	sp	0.9225	1.0825
4	CALL	1.0825	1.6325
5	sp	1.6325	1.6925
6	STELLA	1.6925	2.1425
7	sp	2.1425	2.6425
8	ASK	2.6425	3.0325
9	sp	3.0325	3.1725
10	HER	3.1725	3.4725
11	sp	3.4725	3.8125
12	TO	3.8125	4.0425
13	BRING	4.0425	4.4025
14	THESE	4.4025	4.6625
15	THINGS	4.6625	5.2125
16	sp	5.2125	5.3225
17	WITH	5.3225	5.5325
18	HER	5.5325	5.9825
19	sp	5.9825	6.0325
20	FROM	6.0325	6.2325
21	THE	6.2325	6.3125
22	STORE	6.3125	6.7825
23	sp	6.7825	7.3425
24	SIX	7.3425	7.8225
25	SPOONS	7.8225	8.6225
26	sp	8.6225	8.8125
27	OF	8.8125	9.0325
28	sp	9.0325	9.1425
29	FRESH	9.1425	9.4425
30	SNOW	9.4425	9.9525
31	PEAS	9.9525	10.3725
32	sp	10.3725	13.9625
33	FIVE	13.9625	14.3325
34	sp	14.3325	14.5725
35	THICK	14.5725	14.9225
36	SLABS	14.9225	15.4525
37	OF	15.4525	15.5625
38	BLUE	15.5625	15.9425
39	CHEESE	15.9425	16.5025
40	sp	16.5025	17.0725
41	AND	17.0725	17.2725
42	MAYBE	17.2725	17.9225
43	sp	17.9225	18.0225
44	A	18.0225	18.3025
45	SNACK	18.3025	18.8325
46	FOR	18.8325	19.0725
47	HER	19.0725	19.3625
48	BROTHER	19.3625	19.7225
49	BOB	19.7225	20.1025
50	sp	20.1025	21.1225
51	WE	21.1225	21.3025
52	ALSO	21.3025	21.7325
53	NEED	21.7325	22.0925
54	A	22.0925	22.1625
55	SMALL	22.1625	22.5825
56	PLASTIC	22.5825	23.0025
57	SNAKE	23.0025	23.6025
58	sp	23.6025	24.1925
59	AND	24.1925	24.3625
60	A	24.3625	24.5125
61	sp	24.5125	24.6025
62	BIG	24.6025	25.0125
63	sp	25.0125	25.1825
64	TOY	25.1825	25.6525
65	FROG	25.6525	26.2025
66	FOR	26.2025	26.3525
67	THE	26.3525	26.5725
68	KIDS	26.5725	26.9825
69	sp	26.9825	28.0725
70	SHE	28.0725	28.4825
71	CAN	28.4825	28.7525
72	SCOOP	28.7525	29.3125
73	THESE	29.3125	29.5825
74	THINGS	29.5825	29.9625
75	INTO	29.9625	30.2425
76	THREE	30.2425	30.6925
77	RED	30.6925	30.9725
78	BAGS	30.9725	31.4125
79	sp	31.4125	32.0025
80	AND	32.0025	32.3725
81	sp	32.3725	32.5925
82	WE	32.5925	32.7825
83	WILL	32.7825	32.9725
84	sp	32.9725	33.0225
85	GO	33.0225	33.3825
86	MEET	33.3825	33.9225
87	sp	33.9225	34.0825
88	HER	34.0825	34.2825
89	WEDNESDAY	34.2825	34.7825
90	AT	34.7825	34.9825
91	THE	34.9825	35.0925
92	sp	35.0925	35.2425
93	TRAIN	35.2425	35.4725
94	STATION	35.4725	36.0525
95	sp	36.0525	36.4525
