1	sp	0.0125	0.3225
2	PLEASE	0.3225	0.6725
3	CALL	0.6725	0.9525
4	STELLA	0.9525	1.4125
5	sp	1.4125	1.5625
6	ASK	1.5625	1.9225
7	HER	1.9225	2.0525
8	TO	2.0525	2.1425
9	BRING	2.1425	2.4325
10	THESE	2.4325	2.6525
11	THINGS	2.6525	2.8925
12	WITH	2.8925	3.0225
13	HER	3.0225	3.1825
14	FROM	3.1825	3.4325
15	THE	3.4325	3.5025
16	STORE	3.5025	3.9225
17	sp	3.9225	4.3925
18	SIX	4.3925	4.7325
19	SPOONS	4.7325	5.0325
20	OF	5.0325	5.1525
21	sp	5.1525	5.2225
22	FRESH	5.2225	5.5125
23	sp	5.5125	6.3225
24	SNOW	6.3225	6.6425
25	PEAS	6.6425	6.9625
26	sp	6.9625	7.2825
27	FIVE	7.2825	7.5625
28	THICK	7.5625	7.7925
29	SLABS	7.7925	8.2425
30	OF	8.2425	8.4025
31	BLUE	8.4025	8.7325
32	CHEESE	8.7325	9.0525
33	sp	9.0525	9.3525
34	AND	9.3525	9.5325
35	MAYBE	9.5325	9.9225
36	A	9.9225	10.0025
37	SNACK	10.0025	10.4025
38	FOR	10.4025	10.5525
39	HER	10.5525	10.7025
40	BROTHER	10.7025	11.0125
41	BOB	11.0125	11.4025
42	sp	11.4025	11.8125
43	WE	11.8125	11.9225
44	ALSO	11.9225	12.2125
45	NEED	12.2125	12.4325
46	A	12.4325	12.4825
47	SMALL	12.4825	12.9225
48	PLASTIC	12.9225	13.4025
49	SNAKE	13.4025	13.8525
50	sp	13.8525	13.8925
51	AND	13.8925	14.0525
52	A	14.0525	14.0925
53	BIG	14.0925	14.4125
54	sp	14.4125	14.5325
55	TOY	14.5325	14.8225
56	FROG	14.8225	15.2325
57	FOR	15.2325	15.4025
58	THE	15.4025	15.5025
59	KIDS	15.5025	15.7925
60	sp	15.7925	16.2225
61	SHE	16.2225	16.3625
62	CAN	16.3625	16.5225
63	SCOOP	16.5225	16.9625
64	THESE	16.9625	17.1525
65	THINGS	17.1525	17.5125
66	INTO	17.5125	17.7325
67	THREE	17.7325	18.0425
68	RED	18.0425	18.2625
69	BAGS	18.2625	18.6625
70	sp	18.6625	18.6925
71	AND	18.6925	18.9025
72	WE	18.9025	19.0125
73	WILL	19.0125	19.1525
74	GO	19.1525	19.4125
75	MEET	19.4125	19.6225
76	HER	19.6225	19.7425
77	WEDNESDAY	19.7425	20.1725
78	AT	20.1725	20.3325
79	THE	20.3325	20.4225
80	TRAIN	20.4225	20.6825
81	STATION	20.6825	21.1025
82	sp	21.1025	21.3425
