1	sp	0.0125	0.3725
2	PLEASE	0.3725	0.7425
3	CALL	0.7425	1.0525
4	STELLA	1.0525	1.5025
5	sp	1.5025	1.7425
6	ASK	1.7425	2.0825
7	HER	2.0825	2.2125
8	TO	2.2125	2.3425
9	BRING	2.3425	2.6425
10	THESE	2.6425	3.1025
11	THINGS	3.1025	3.5125
12	WITH	3.5125	3.6625
13	HER	3.6625	3.8925
14	FROM	3.8925	4.1225
15	THE	4.1225	4.2125
16	STORE	4.2125	4.6225
17	sp	4.6225	4.9425
18	SIX	4.9425	5.3725
19	SPOONS	5.3725	5.7625
20	OF	5.7625	5.8325
21	FRESH	5.8325	6.1425
22	SNOW	6.1425	6.4925
23	PEAS	6.4925	6.9425
24	sp	6.9425	6.9925
25	FIVE	6.9925	7.3325
26	THICK	7.3325	7.6725
27	SLABS	7.6725	8.1725
28	OF	8.1725	8.2725
29	sp	8.2725	8.3325
30	BLUE	8.3325	8.5525
31	CHEESE	8.5525	8.9625
32	AND	8.9625	9.1025
33	MAYBE	9.1025	9.3825
34	A	9.3825	9.4325
35	SNACK	9.4325	9.8225
36	FOR	9.8225	9.9625
37	HER	9.9625	10.0325
38	BROTHER	10.0325	10.3725
39	BOB	10.3725	10.7325
40	sp	10.7325	11.1825
41	WE	11.1825	11.3025
42	ALSO	11.3025	11.5725
43	NEED	11.5725	11.7525
44	A	11.7525	11.7825
45	SMALL	11.7825	12.1325
46	PLASTIC	12.1325	12.6025
47	SNAKE	12.6025	13.0025
48	AND	13.0025	13.1025
49	A	13.1025	13.1325
50	BIG	13.1325	13.3925
51	sp	13.3925	13.4525
52	TOY	13.4525	13.6725
53	FROG	13.6725	13.9525
54	FOR	13.9525	14.1925
55	sp	14.1925	14.2325
56	THE	14.2325	14.3025
57	KIDS	14.3025	14.7625
58	sp	14.7625	15.0625
59	SHE	15.0625	15.2225
60	CAN	15.2225	15.3825
61	SCOOP	15.3825	15.7525
62	sp	15.7525	15.8325
63	THESE	15.8325	16.0525
64	THINGS	16.0525	16.5725
65	INTO	16.5725	16.8825
66	THREE	16.8825	17.2425
67	RED	17.2425	17.5825
68	BAGS	17.5825	18.1225
69	AND	18.1225	18.2225
70	WE	18.2225	18.3725
71	WILL	18.3725	18.5725
72	GO	18.5725	18.8225
73	MEET	18.8225	19.1225
74	HER	19.1225	19.2925
75	WEDNESDAY	19.2925	19.8625
76	AT	19.8625	20.0225
77	THE	20.0225	20.0825
78	TRAIN	20.0825	20.3725
79	STATION	20.3725	20.8925
80	sp	20.8925	20.9925
