1	sp	0.0125	0.7725
2	PLEASE	0.7725	1.0425
3	CALL	1.0425	1.2025
4	STELLA	1.2025	1.6225
5	sp	1.6225	1.8425
6	ASK	1.8425	2.1525
7	HER	2.1525	2.2825
8	TO	2.2825	2.3425
9	BRING	2.3425	2.6025
10	THESE	2.6025	2.8325
11	THINGS	2.8325	3.3025
12	WITH	3.3025	3.4825
13	HER	3.4825	3.6725
14	FROM	3.6725	3.9325
15	THE	3.9325	3.9925
16	STORE	3.9925	4.2525
17	sp	4.2525	4.6825
18	SIX	4.6825	4.9725
19	SPOONS	4.9725	5.2925
20	OF	5.2925	5.4025
21	sp	5.4025	5.4425
22	FRESH	5.4425	5.6925
23	SNOW	5.6925	5.9625
24	sp	5.9625	6.0525
25	PEAS	6.0525	6.4525
26	sp	6.4525	6.8025
27	FIVE	6.8025	7.0425
28	THICK	7.0425	7.4925
29	sp	7.4925	7.7925
30	SLABS	7.7925	8.0925
31	OF	8.0925	8.4225
32	BLUE	8.4225	8.6425
33	CHEESE	8.6425	9.0925
34	AND	9.0925	9.3025
35	MAYBE	9.3025	9.6425
36	A	9.6425	9.6725
37	SNACK	9.6725	10.0625
38	sp	10.0625	10.1825
39	FOR	10.1825	10.4225
40	HER	10.4225	10.4825
41	BROTHER	10.4825	10.8225
42	BOB	10.8225	11.0725
43	sp	11.0725	11.6725
44	WE	11.6725	11.7625
45	ALSO	11.7625	12.0225
46	NEED	12.0225	12.1825
47	A	12.1825	12.2125
48	SMALL	12.2125	12.5425
49	PLASTIC	12.5425	12.8425
50	SNAKE	12.8425	13.2325
51	AND	13.2325	13.3625
52	A	13.3625	13.4325
53	BIG	13.4325	13.6425
54	sp	13.6425	13.6725
55	TOY	13.6725	13.8425
56	FROG	13.8425	14.1925
57	sp	14.1925	14.3125
58	FOR	14.3125	14.5325
59	THE	14.5325	14.6725
60	KIDS	14.6725	15.1025
61	sp	15.1025	15.5625
62	SHE	15.5625	15.6925
63	CAN	15.6925	15.8225
64	SCOOP	15.8225	16.2025
65	THESE	16.2025	16.3825
66	THINGS	16.3825	16.8025
67	INTO	16.8025	17.0225
68	THREE	17.0225	17.3825
69	RED	17.3825	17.6125
70	BAGS	17.6125	18.1025
71	sp	18.1025	18.4425
72	AND	18.4425	18.6325
73	WE	18.6325	18.7225
74	WILL	18.7225	18.9225
75	sp	18.9225	19.2825
76	GO	19.2825	19.5225
77	MEET	19.5225	19.8425
78	HER	19.8425	20.0225
79	WEDNESDAY	20.0225	20.5325
80	AT	20.5325	20.5925
81	THE	20.5925	20.8725
82	TRAIN	20.8725	21.2125
83	STATION	21.2125	21.5725
84	sp	21.5725	21.9525
