1	sp	0.0125	0.1225
2	PLEASE	0.1225	0.4425
3	CALL	0.4425	0.6525
4	STELLA	0.6525	1.1425
5	sp	1.1425	1.6125
6	ASK	1.6125	1.8925
7	HER	1.8925	1.9925
8	TO	1.9925	2.2025
9	BRING	2.2025	2.4825
10	THESE	2.4825	2.7625
11	THINGS	2.7625	3.2025
12	WITH	3.2025	3.3725
13	HER	3.3725	3.5125
14	FROM	3.5125	3.8825
15	THE	3.8825	3.9625
16	STORE	3.9625	4.4325
17	sp	4.4325	5.3125
18	SIX	5.3125	5.7425
19	SPOONS	5.7425	6.1725
20	OF	6.1725	6.2725
21	FRESH	6.2725	6.7425
22	SNOW	6.7425	7.0925
23	PEAS	7.0925	7.5625
24	sp	7.5625	8.1525
25	FIVE	8.1525	8.5425
26	sp	8.5425	8.6625
27	THICK	8.6625	8.9725
28	SLABS	8.9725	9.5525
29	OF	9.5525	9.7025
30	sp	9.7025	9.7825
31	BLUE	9.7825	10.0925
32	CHEESE	10.0925	10.5925
33	sp	10.5925	11.3025
34	AND	11.3025	11.5725
35	MAYBE	11.5725	12.0525
36	A	12.0525	12.1525
37	SNACK	12.1525	12.6025
38	FOR	12.6025	12.7825
39	HER	12.7825	12.8525
40	BROTHER	12.8525	13.2625
41	BOB	13.2625	13.7125
42	sp	13.7125	15.0225
43	WE	15.0225	15.2725
44	ALSO	15.2725	15.7125
45	NEED	15.7125	15.8925
46	A	15.8925	15.9325
47	SMALL	15.9325	16.3925
48	PLASTIC	16.3925	16.9025
49	sp	16.9025	17.1825
50	SNAKE	17.1825	17.6825
51	AND	17.6825	18.0825
52	sp	18.0825	18.6925
53	A	18.6925	18.9325
54	BIG	18.9325	19.1525
55	sp	19.1525	19.2725
56	TOY	19.2725	19.5925
57	sp	19.5925	20.1325
58	FROG	20.1325	20.4825
59	FOR	20.4825	20.6925
60	THE	20.6925	20.7925
61	KIDS	20.7925	21.3325
62	sp	21.3325	22.2625
63	SHE	22.2625	22.7725
64	CAN	22.7725	23.1225
65	SCOOP	23.1225	23.6025
66	THESE	23.6025	23.9525
67	THINGS	23.9525	24.3225
68	INTO	24.3225	24.6825
69	sp	24.6825	24.8825
70	THREE	24.8825	25.3125
71	RED	25.3125	25.5925
72	BAGS	25.5925	26.1325
73	sp	26.1325	26.6325
74	AND	26.6325	26.9925
75	WE	26.9925	27.2025
76	WILL	27.2025	27.6425
77	sp	27.6425	28.9725
78	GO	28.9725	29.2925
79	MEET	29.2925	29.5725
80	HER	29.5725	29.9225
81	WEDNESDAY	29.9225	30.7825
82	sp	30.7825	30.8225
83	AT	30.8225	30.9925
84	THE	30.9925	31.0925
85	TRAIN	31.0925	31.5125
86	STATION	31.5125	32.0325
87	sp	32.0325	32.3825
