1	sp	0.0125	0.3925
2	PLEASE	0.3925	0.7525
3	CALL	0.7525	0.9925
4	STELLA	0.9925	1.5225
5	sp	1.5225	1.9325
6	ASK	1.9325	2.2425
7	HER	2.2425	2.5825
8	TO	2.5825	2.7325
9	BRING	2.7325	3.0725
10	THESE	3.0725	3.3725
11	sp	3.3725	3.4525
12	THINGS	3.4525	3.8825
13	WITH	3.8825	4.0325
14	HER	4.0325	4.2825
15	sp	4.2825	4.3725
16	FROM	4.3725	4.6225
17	THE	4.6225	4.7225
18	STORE	4.7225	5.1525
19	sp	5.1525	5.4325
20	SIX	5.4325	5.7625
21	SPOONS	5.7625	6.2825
22	OF	6.2825	6.3825
23	sp	6.3825	6.5325
24	FRESH	6.5325	6.8125
25	SNOW	6.8125	7.2225
26	sp	7.2225	7.2825
27	PEAS	7.2825	7.6525
28	sp	7.6525	7.9925
29	FIVE	7.9925	8.3125
30	sp	8.3125	8.4225
31	THICK	8.4225	8.6925
32	SLABS	8.6925	9.1825
33	OF	9.1825	9.3025
34	sp	9.3025	9.3725
35	BLUE	9.3725	9.7125
36	sp	9.7125	9.7425
37	CHEESE	9.7425	10.1825
38	sp	10.1825	10.2325
39	AND	10.2325	10.3925
40	MAYBE	10.3925	10.8225
41	A	10.8225	10.8825
42	SNACK	10.8825	11.2425
43	sp	11.2425	11.3025
44	FOR	11.3025	11.4825
45	HER	11.4825	11.7225
46	BROTHER	11.7225	12.1225
47	BOB	12.1225	12.4725
48	sp	12.4725	13.0725
49	WE	13.0725	13.2025
50	ALSO	13.2025	13.5625
51	NEED	13.5625	13.8125
52	A	13.8125	13.8525
53	SMALL	13.8525	14.2325
54	PLASTIC	14.2325	14.7425
55	SNAKE	14.7425	15.1525
56	sp	15.1525	15.1725
57	AND	15.1725	15.4525
58	A	15.4525	15.4825
59	BIG	15.4825	15.7425
60	sp	15.7425	15.8225
61	TOY	15.8225	16.1025
62	FROG	16.1025	16.5825
63	sp	16.5825	16.6725
64	FOR	16.6725	16.9025
65	THE	16.9025	17.0025
66	KIDS	17.0025	17.4525
67	sp	17.4525	17.9025
68	SHE	17.9025	18.0925
69	CAN	18.0925	18.3225
70	SCOOP	18.3225	18.7625
71	sp	18.7625	18.8225
72	THESE	18.8225	19.1025
73	THINGS	19.1025	19.4525
74	INTO	19.4525	19.8125
75	sp	19.8125	19.9025
76	THREE	19.9025	20.1525
77	RED	20.1525	20.3725
78	BAGS	20.3725	20.8425
79	sp	20.8425	21.0825
80	AND	21.0825	21.2625
81	WE	21.2625	21.4225
82	WILL	21.4225	21.6325
83	GO	21.6325	21.9025
84	MEET	21.9025	22.2025
85	HER	22.2025	22.4325
86	WEDNESDAY	22.4325	22.9925
87	AT	22.9925	23.2225
88	THE	23.2225	23.3925
89	TRAIN	23.3925	23.7825
90	STATION	23.7825	24.3225
91	sp	24.3225	24.5625
