1	sp	0.0125	0.8925
2	PLEASE	0.8925	1.2125
3	CALL	1.2125	1.4225
4	STELLA	1.4225	2.1325
5	sp	2.1325	2.7425
6	ASK	2.7425	2.9025
7	HER	2.9025	2.9825
8	TO	2.9825	3.1325
9	BRING	3.1325	3.4625
10	sp	3.4625	3.4825
11	THESE	3.4825	3.8125
12	THINGS	3.8125	4.1725
13	sp	4.1725	4.2125
14	WITH	4.2125	4.4225
15	HER	4.4225	4.6525
16	sp	4.6525	5.3025
17	FROM	5.3025	5.9125
18	THE	5.9125	6.0225
19	STORE	6.0225	6.4525
20	sp	6.4525	6.7925
21	SIX	6.7925	7.1125
22	SPOONS	7.1125	7.3925
23	OF	7.3925	7.4925
24	FRESH	7.4925	7.9825
25	SNOW	7.9825	8.1925
26	PEAS	8.1925	8.6825
27	sp	8.6825	8.8925
28	FIVE	8.8925	9.2525
29	sp	9.2525	9.2925
30	THICK	9.2925	9.6925
31	sp	9.6925	10.0225
32	SLABS	10.0225	10.4925
33	OF	10.4925	10.5625
34	sp	10.5625	10.6925
35	BLUE	10.6925	10.8625
36	CHEESE	10.8625	11.4125
37	sp	11.4125	12.1625
38	AND	12.1625	12.4625
39	MAYBE	12.4625	12.8625
40	A	12.8625	12.9025
41	SNACK	12.9025	13.3125
42	sp	13.3125	13.6025
43	FOR	13.6025	13.8025
44	HER	13.8025	13.9025
45	BROTHER	13.9025	14.3425
46	sp	14.3425	14.3725
47	BOB	14.3725	14.7525
48	sp	14.7525	15.2525
49	WE	15.2525	15.3625
50	ALSO	15.3625	15.6025
51	NEED	15.6025	15.7625
52	A	15.7625	15.8125
53	SMALL	15.8125	16.1925
54	PLASTIC	16.1925	16.7525
55	sp	16.7525	16.8425
56	SNAKE	16.8425	17.4425
57	AND	17.4425	17.5825
58	A	17.5825	17.6425
59	BIG	17.6425	18.0325
60	TOY	18.0325	18.4325
61	FROG	18.4325	18.8725
62	FOR	18.8725	19.0825
63	THE	19.0825	19.2025
64	KIDS	19.2025	19.6825
65	sp	19.6825	20.4625
66	SHE	20.4625	20.7925
67	CAN	20.7925	20.9525
68	SCOOP	20.9525	21.5025
69	THESE	21.5025	21.7425
70	THINGS	21.7425	22.1025
71	sp	22.1025	22.1225
72	INTO	22.1225	22.4125
73	THREE	22.4125	23.1125
74	RED	23.1125	23.5325
75	BAGS	23.5325	24.1925
76	sp	24.1925	24.3525
77	AND	24.3525	24.5625
78	WE	24.5625	24.7325
79	WILL	24.7325	25.0725
80	sp	25.0725	25.3525
81	GO	25.3525	25.6025
82	MEET	25.6025	25.8725
83	HER	25.8725	26.0825
84	WEDNESDAY	26.0825	26.5625
85	AT	26.5625	26.7425
86	sp	26.7425	26.8725
87	THE	26.8725	26.9325
88	TRAIN	26.9325	27.2325
89	STATION	27.2325	27.8325
90	sp	27.8325	28.5725
