1	sp	0.0125	0.2425
2	PLEASE	0.2425	0.5425
3	CALL	0.5425	0.7925
4	STELLA	0.7925	1.2525
5	sp	1.2525	1.5825
6	ASK	1.5825	1.8725
7	HER	1.8725	2.0025
8	TO	2.0025	2.1425
9	BRING	2.1425	2.4225
10	THESE	2.4225	2.6425
11	THINGS	2.6425	2.9725
12	WITH	2.9725	3.0925
13	HER	3.0925	3.2825
14	FROM	3.2825	3.4925
15	THE	3.4925	3.5725
16	STORE	3.5725	3.9625
17	sp	3.9625	4.4125
18	SIX	4.4125	4.7125
19	SPOONS	4.7125	5.0925
20	OF	5.0925	5.1725
21	FRESH	5.1725	5.4125
22	SNOW	5.4125	5.7025
23	sp	5.7025	5.7325
24	PEAS	5.7325	6.0625
25	sp	6.0625	6.6425
26	FIVE	6.6425	6.9025
27	THICK	6.9025	7.1625
28	SLABS	7.1625	7.7125
29	OF	7.7125	7.8725
30	BLUE	7.8725	8.0825
31	CHEESE	8.0825	8.6025
32	sp	8.6025	8.6925
33	AND	8.6925	8.8525
34	MAYBE	8.8525	9.1425
35	A	9.1425	9.2125
36	SNACK	9.2125	9.5525
37	sp	9.5525	9.6825
38	FOR	9.6825	9.8125
39	HER	9.8125	9.9125
40	BROTHER	9.9125	10.2325
41	BOB	10.2325	10.5125
42	sp	10.5125	11.2025
43	WE	11.2025	11.3325
44	ALSO	11.3325	11.6125
45	NEED	11.6125	11.8525
46	A	11.8525	11.8825
47	SMALL	11.8825	12.2725
48	PLASTIC	12.2725	12.6925
49	SNAKE	12.6925	12.9925
50	sp	12.9925	13.1225
51	AND	13.1225	13.2825
52	A	13.2825	13.3525
53	BIG	13.3525	13.6025
54	sp	13.6025	13.6625
55	TOY	13.6625	13.9325
56	FROG	13.9325	14.3625
57	sp	14.3625	14.4225
58	FOR	14.4225	14.5625
59	THE	14.5625	14.6525
60	KIDS	14.6525	15.0825
61	sp	15.0825	15.7125
62	SHE	15.7125	15.8625
63	CAN	15.8625	15.9825
64	SCOOP	15.9825	16.4225
65	THESE	16.4225	16.6425
66	THINGS	16.6425	17.0025
67	INTO	17.0025	17.2525
68	THREE	17.2525	17.5425
69	RED	17.5425	17.7525
70	BAGS	17.7525	18.2025
71	sp	18.2025	18.4425
72	AND	18.4425	18.6525
73	WE	18.6525	18.7425
74	WILL	18.7425	18.8725
75	GO	18.8725	19.0525
76	MEET	19.0525	19.3525
77	HER	19.3525	19.5025
78	WEDNESDAY	19.5025	20.0625
79	sp	20.0625	20.1525
80	AT	20.1525	20.2625
81	THE	20.2625	20.3425
82	TRAIN	20.3425	20.5625
83	STATION	20.5625	20.9525
84	sp	20.9525	21.4525
