1	sp	0.0125	0.1225
2	PLEASE	0.1225	0.4425
3	CALL	0.4425	0.7425
4	STELLA	0.7425	1.3025
5	sp	1.3025	1.4225
6	ASK	1.4225	1.7625
7	HER	1.7625	1.8625
8	TO	1.8625	2.0625
9	BRING	2.0625	2.3425
10	THESE	2.3425	2.6425
11	THINGS	2.6425	3.0325
12	sp	3.0325	3.1025
13	WITH	3.1025	3.2425
14	HER	3.2425	3.4625
15	FROM	3.4625	3.8025
16	THE	3.8025	3.9325
17	STORE	3.9325	4.3925
18	sp	4.3925	4.8225
19	SIX	4.8225	5.2025
20	SPOONS	5.2025	5.7625
21	OF	5.7625	5.8625
22	FRESH	5.8625	6.2225
23	SNOW	6.2225	6.8325
24	sp	6.8325	7.2025
25	PEAS	7.2025	7.6725
26	FIVE	7.6725	8.0625
27	sp	8.0625	8.7725
28	THICK	8.7725	9.0625
29	sp	9.0625	9.3725
30	SLABS	9.3725	9.9525
31	sp	9.9525	10.0625
32	OF	10.0625	10.5225
33	BLUE	10.5225	11.0525
34	CHEESE	11.0525	11.5125
35	sp	11.5125	11.8625
36	AND	11.8625	12.0025
37	MAYBE	12.0025	12.4225
38	A	12.4225	12.5225
39	SNACK	12.5225	13.2225
40	FOR	13.2225	13.4925
41	HER	13.4925	13.6925
42	BROTHER	13.6925	14.0625
43	BOB	14.0625	14.4525
44	sp	14.4525	15.0425
45	WE	15.0425	15.1825
46	ALSO	15.1825	15.5725
47	NEED	15.5725	15.8225
48	A	15.8225	15.8625
49	SMALL	15.8625	16.2825
50	PLASTIC	16.2825	16.7925
51	SNAKE	16.7925	17.3425
52	sp	17.3425	17.7025
53	AND	17.7025	18.0625
54	A	18.0625	18.2425
55	BIG	18.2425	18.3525
56	TOY	18.3525	18.9425
57	sp	18.9425	19.2725
58	FROG	19.2725	19.5425
59	FOR	19.5425	20.0225
60	sp	20.0225	20.6025
61	THE	20.6025	21.0925
62	sp	21.0925	21.1725
63	KIDS	21.1725	21.8925
64	sp	21.8925	22.5925
65	SHE	22.5925	22.7625
66	CAN	22.7625	23.0425
67	SCOOP	23.0425	23.4825
68	THESE	23.4825	23.8525
69	sp	23.8525	23.8725
70	THINGS	23.8725	24.2525
71	INTO	24.2525	24.5925
72	THREE	24.5925	25.0525
73	RED	25.0525	25.3125
74	BAGS	25.3125	25.8425
75	sp	25.8425	25.8725
76	AND	25.8725	26.1725
77	WE	26.1725	26.3225
78	WILL	26.3225	26.5025
79	GO	26.5025	26.9025
80	sp	26.9025	27.2225
81	MEET	27.2225	27.4525
82	HER	27.4525	27.7025
83	WEDNESDAY	27.7025	28.1525
84	AT	28.1525	28.4225
85	THE	28.4225	28.5025
86	TRAIN	28.5025	28.8525
87	STATION	28.8525	29.4925
88	sp	29.4925	30.3225
