1	sp	0.0125	0.3225
2	PLEASE	0.3225	0.7425
3	CALL	0.7425	0.9625
4	STELLA	0.9625	1.5225
5	sp	1.5225	1.7825
6	ASK	1.7825	2.0625
7	HER	2.0625	2.1225
8	TO	2.1225	2.2925
9	BRING	2.2925	2.5725
10	THESE	2.5725	2.8125
11	THINGS	2.8125	3.0925
12	WITH	3.0925	3.2525
13	HER	3.2525	3.5125
14	FROM	3.5125	3.7025
15	THE	3.7025	3.7925
16	STORE	3.7925	4.2925
17	sp	4.2925	4.6025
18	SIX	4.6025	4.9625
19	SPOONS	4.9625	5.3725
20	OF	5.3725	5.4725
21	FRESH	5.4725	5.8125
22	SNOW	5.8125	6.1725
23	PEAS	6.1725	6.6825
24	sp	6.6825	7.0325
25	FIVE	7.0325	7.3025
26	sp	7.3025	7.3925
27	THICK	7.3925	7.5725
28	SLABS	7.5725	8.0125
29	OF	8.0125	8.1325
30	sp	8.1325	8.1525
31	BLUE	8.1525	8.5425
32	CHEESE	8.5425	9.0425
33	sp	9.0425	9.2625
34	AND	9.2625	9.3925
35	MAYBE	9.3925	9.6625
36	A	9.6625	9.7725
37	SNACK	9.7725	10.1825
38	sp	10.1825	10.2125
39	FOR	10.2125	10.3525
40	HER	10.3525	10.4525
41	BROTHER	10.4525	10.8025
42	BOB	10.8025	11.2725
43	sp	11.2725	11.9325
44	WE	11.9325	12.0825
45	ALSO	12.0825	12.2825
46	NEED	12.2825	12.5025
47	A	12.5025	12.5725
48	SMALL	12.5725	12.9625
49	PLASTIC	12.9625	13.3725
50	SNAKE	13.3725	13.8125
51	AND	13.8125	14.0025
52	A	14.0025	14.0625
53	BIG	14.0625	14.4825
54	TOY	14.4825	14.6525
55	FROG	14.6525	15.0425
56	FOR	15.0425	15.2025
57	THE	15.2025	15.3625
58	KIDS	15.3625	15.8625
59	sp	15.8625	16.2925
60	SHE	16.2925	16.4525
61	CAN	16.4525	16.5925
62	SCOOP	16.5925	16.9825
63	THESE	16.9825	17.2125
64	THINGS	17.2125	17.5125
65	INTO	17.5125	17.8125
66	THREE	17.8125	18.1725
67	RED	18.1725	18.4625
68	BAGS	18.4625	18.8725
69	sp	18.8725	19.0725
70	AND	19.0725	19.2225
71	WE	19.2225	19.3625
72	WILL	19.3625	19.5025
73	GO	19.5025	19.7025
74	MEET	19.7025	19.9825
75	HER	19.9825	20.1225
76	WEDNESDAY	20.1225	20.6225
77	AT	20.6225	20.7525
78	THE	20.7525	20.8125
79	TRAIN	20.8125	21.2025
80	STATION	21.2025	21.7325
81	sp	21.7325	22.2225
