1	sp	0.0125	0.3425
2	PLEASE	0.3425	0.7625
3	CALL	0.7625	1.0725
4	STELLA	1.0725	1.6225
5	sp	1.6225	2.2225
6	ASK	2.2225	2.6525
7	HER	2.6525	2.7925
8	TO	2.7925	3.0225
9	BRING	3.0225	3.3225
10	THESE	3.3225	3.5625
11	sp	3.5625	3.6425
12	THINGS	3.6425	4.1025
13	sp	4.1025	4.1525
14	WITH	4.1525	4.3325
15	HER	4.3325	4.5625
16	FROM	4.5625	5.1025
17	THE	5.1025	5.1925
18	STORE	5.1925	5.6425
19	sp	5.6425	6.4025
20	SIX	6.4025	6.9025
21	SPOONS	6.9025	7.4825
22	OF	7.4825	7.5625
23	FRESH	7.5625	7.8625
24	SNOW	7.8625	8.3925
25	PEAS	8.3925	8.9325
26	sp	8.9325	9.2425
27	FIVE	9.2425	9.5325
28	sp	9.5325	9.6225
29	THICK	9.6225	9.8725
30	SLABS	9.8725	10.6025
31	OF	10.6025	10.7525
32	BLUE	10.7525	11.2625
33	sp	11.2625	11.2825
34	CHEESE	11.2825	11.8525
35	sp	11.8525	11.9225
36	AND	11.9225	12.4325
37	sp	12.4325	12.9125
38	MAYBE	12.9125	13.2025
39	A	13.2025	13.2325
40	SNACK	13.2325	13.6825
41	FOR	13.6825	13.8625
42	HER	13.8625	14.0825
43	BROTHER	14.0825	14.5225
44	BOB	14.5225	14.7825
45	sp	14.7825	15.5925
46	WE	15.5925	15.7025
47	ALSO	15.7025	15.9925
48	NEED	15.9925	16.2125
49	A	16.2125	16.2625
50	SMALL	16.2625	16.6125
51	PLASTIC	16.6125	17.1425
52	SNAKE	17.1425	17.7925
53	sp	17.7925	18.3125
54	AND	18.3125	18.6025
55	A	18.6025	18.6525
56	BIG	18.6525	18.8725
57	sp	18.8725	18.9425
58	TOY	18.9425	19.2725
59	FROG	19.2725	19.7325
60	sp	19.7325	19.8325
61	FOR	19.8325	20.0025
62	THE	20.0025	20.0625
63	KIDS	20.0625	20.5925
64	sp	20.5925	21.1525
65	SHE	21.1525	21.3425
66	CAN	21.3425	21.5925
67	SCOOP	21.5925	22.0925
68	sp	22.0925	22.1225
69	THESE	22.1225	22.4525
70	sp	22.4525	22.5625
71	THINGS	22.5625	22.9525
72	INTO	22.9525	23.3325
73	sp	23.3325	23.5525
74	THREE	23.5525	24.0725
75	RED	24.0725	24.2925
76	BAGS	24.2925	24.7125
77	sp	24.7125	25.2125
78	AND	25.2125	25.6025
79	WE	25.6025	25.9225
80	WILL	25.9225	26.1825
81	GO	26.1825	26.5125
82	MEET	26.5125	26.8125
83	HER	26.8125	27.1225
84	WEDNESDAY	27.1225	27.6325
85	AT	27.6325	27.8725
86	THE	27.8725	28.1025
87	TRAIN	28.1025	28.5325
88	STATION	28.5325	28.9825
89	sp	28.9825	29.4825
