1	sp	0.0125	0.6025
2	PLEASE	0.6025	0.9225
3	CALL	0.9225	1.2025
4	STELLA	1.2025	1.7425
5	sp	1.7425	2.4725
6	ASK	2.4725	2.8425
7	HER	2.8425	3.0125
8	TO	3.0125	3.1325
9	BRING	3.1325	3.4225
10	THESE	3.4225	3.7525
11	THINGS	3.7525	4.1025
12	WITH	4.1025	4.2625
13	HER	4.2625	4.4525
14	FROM	4.4525	4.7225
15	THE	4.7225	4.8025
16	STORE	4.8025	5.2525
17	sp	5.2525	5.9425
18	SIX	5.9425	6.2225
19	SPOONS	6.2225	6.6225
20	OF	6.6225	6.7425
21	FRESH	6.7425	6.9825
22	SNOW	6.9825	7.3025
23	PEAS	7.3025	7.7425
24	sp	7.7425	8.1825
25	FIVE	8.1825	8.5025
26	THICK	8.5025	8.7525
27	SLABS	8.7525	9.1725
28	OF	9.1725	9.3325
29	BLUE	9.3325	9.6325
30	CHEESE	9.6325	10.1125
31	sp	10.1125	10.6025
32	AND	10.6025	10.8025
33	MAYBE	10.8025	11.1025
34	A	11.1025	11.1425
35	SNACK	11.1425	11.5125
36	FOR	11.5125	11.6525
37	HER	11.6525	11.7825
38	BROTHER	11.7825	12.1425
39	BOB	12.1425	12.5025
40	sp	12.5025	13.2825
41	WE	13.2825	13.3825
42	ALSO	13.3825	13.6825
43	NEED	13.6825	13.8225
44	A	13.8225	13.8525
45	SMALL	13.8525	14.2625
46	sp	14.2625	14.2925
47	PLASTIC	14.2925	14.7225
48	SNAKE	14.7225	15.1125
49	sp	15.1125	15.4525
50	AND	15.4525	15.5925
51	A	15.5925	15.6425
52	BIG	15.6425	15.8625
53	sp	15.8625	15.9025
54	TOY	15.9025	16.2325
55	FROG	16.2325	16.6725
56	sp	16.6725	16.7325
57	FOR	16.7325	16.8525
58	THE	16.8525	16.9525
59	KIDS	16.9525	17.3825
60	sp	17.3825	18.0925
61	SHE	18.0925	18.2025
62	CAN	18.2025	18.3925
63	SCOOP	18.3925	18.8425
64	THESE	18.8425	19.0425
65	THINGS	19.0425	19.4125
66	INTO	19.4125	19.6625
67	THREE	19.6625	19.9525
68	RED	19.9525	20.2025
69	BAGS	20.2025	20.6525
70	sp	20.6525	20.8725
71	AND	20.8725	21.0625
72	WE	21.0625	21.1925
73	WILL	21.1925	21.2825
74	GO	21.2825	21.5225
75	MEET	21.5225	21.7625
76	HER	21.7625	22.0025
77	sp	22.0025	22.1125
78	WEDNESDAY	22.1125	22.7625
79	sp	22.7625	22.7925
80	AT	22.7925	22.9225
81	THE	22.9225	23.0025
82	TRAIN	23.0025	23.2825
83	STATION	23.2825	23.8225
84	sp	23.8225	24.1425
