1	sp	0.0125	0.1525
2	PLEASE	0.1525	0.4425
3	CALL	0.4425	0.6925
4	STELLA	0.6925	1.1125
5	sp	1.1125	1.4425
6	ASK	1.4425	1.7225
7	HER	1.7225	1.8325
8	TO	1.8325	2.0225
9	BRING	2.0225	2.2925
10	THESE	2.2925	2.5425
11	sp	2.5425	2.5625
12	THINGS	2.5625	2.8625
13	sp	2.8625	2.9025
14	WITH	2.9025	3.1025
15	HER	3.1025	3.3425
16	FROM	3.3425	3.5025
17	THE	3.5025	3.5725
18	STORE	3.5725	3.9525
19	sp	3.9525	4.3525
20	SIX	4.3525	4.6525
21	SPOONS	4.6525	5.0425
22	OF	5.0425	5.1625
23	sp	5.1625	5.2225
24	FRESH	5.2225	5.4425
25	SNOW	5.4425	5.8225
26	PEAS	5.8225	6.3725
27	sp	6.3725	6.6725
28	FIVE	6.6725	6.9525
29	sp	6.9525	7.0425
30	THICK	7.0425	7.2325
31	SLABS	7.2325	7.6825
32	OF	7.6825	7.8025
33	BLUE	7.8025	8.0625
34	CHEESE	8.0625	8.6125
35	sp	8.6125	8.8525
36	AND	8.8525	9.0225
37	MAYBE	9.0225	9.2825
38	A	9.2825	9.3325
39	SNACK	9.3325	9.7025
40	sp	9.7025	9.7425
41	FOR	9.7425	9.8725
42	HER	9.8725	9.9925
43	BROTHER	9.9925	10.3225
44	BOB	10.3225	10.5925
45	sp	10.5925	11.0325
46	WE	11.0325	11.1525
47	ALSO	11.1525	11.4725
48	NEED	11.4725	11.6325
49	A	11.6325	11.6725
50	SMALL	11.6725	11.9725
51	PLASTIC	11.9725	12.4025
52	SNAKE	12.4025	12.8225
53	AND	12.8225	12.9725
54	A	12.9725	13.0225
55	BIG	13.0225	13.2525
56	sp	13.2525	13.3225
57	TOY	13.3225	13.5525
58	FROG	13.5525	13.9525
59	FOR	13.9525	14.0625
60	THE	14.0625	14.1825
61	KIDS	14.1825	14.6225
62	sp	14.6225	14.9825
63	SHE	14.9825	15.1125
64	CAN	15.1125	15.2425
65	SCOOP	15.2425	15.6325
66	THESE	15.6325	15.9125
67	THINGS	15.9125	16.1925
68	INTO	16.1925	16.4125
69	THREE	16.4125	16.6025
70	RED	16.6025	16.8525
71	BAGS	16.8525	17.3725
72	sp	17.3725	17.5225
73	AND	17.5225	17.6825
74	WE	17.6825	17.7525
75	WILL	17.7525	17.9525
76	GO	17.9525	18.1425
77	MEET	18.1425	18.3725
78	HER	18.3725	18.6725
79	WEDNESDAY	18.6725	19.1625
80	AT	19.1625	19.2925
81	THE	19.2925	19.3625
82	TRAIN	19.3625	19.6525
83	STATION	19.6525	20.1725
84	sp	20.1725	20.4925
