1	sp	0.0125	0.9825
2	PLEASE	0.9825	1.2525
3	CALL	1.2525	1.5525
4	STELLA	1.5525	2.0425
5	sp	2.0425	2.4125
6	ASK	2.4125	2.7425
7	HER	2.7425	2.8925
8	TO	2.8925	3.0525
9	BRING	3.0525	3.4625
10	sp	3.4625	3.5425
11	THESE	3.5425	3.9525
12	THINGS	3.9525	4.4625
13	WITH	4.4625	4.8325
14	HER	4.8325	5.1225
15	sp	5.1225	5.5625
16	FROM	5.5625	5.8825
17	sp	5.8825	5.9925
18	THE	5.9925	6.2925
19	STORE	6.2925	6.6625
20	sp	6.6625	7.2125
21	SIX	7.2125	7.5925
22	SPOONS	7.5925	8.0425
23	OF	8.0425	8.1625
24	FRESH	8.1625	8.5325
25	sp	8.5325	8.7025
26	SNOW	8.7025	9.1025
27	PEAS	9.1025	9.6325
28	sp	9.6325	10.1325
29	FIVE	10.1325	10.4725
30	sp	10.4725	10.6625
31	THICK	10.6625	10.9225
32	SLABS	10.9225	11.4525
33	OF	11.4525	11.6425
34	sp	11.6425	11.7825
35	BLUE	11.7825	12.1625
36	sp	12.1625	12.2525
37	CHEESE	12.2525	12.7825
38	sp	12.7825	13.1925
39	AND	13.1925	13.3925
40	MAYBE	13.3925	13.9125
41	A	13.9125	14.0425
42	SNACK	14.0425	14.5025
43	sp	14.5025	14.6025
44	FOR	14.6025	14.7425
45	HER	14.7425	14.8125
46	BROTHER	14.8125	15.2325
47	BOB	15.2325	15.5125
48	sp	15.5125	16.1725
49	WE	16.1725	16.2725
50	ALSO	16.2725	16.6125
51	NEED	16.6125	17.0025
52	sp	17.0025	17.3725
53	A	17.3725	17.4925
54	SMALL	17.4925	17.9025
55	PLASTIC	17.9025	18.3825
56	sp	18.3825	20.0225
57	SNAKE	20.0225	20.5725
58	sp	20.5725	21.7225
59	AND	21.7225	21.9425
60	A	21.9425	22.0725
61	sp	22.0725	22.1625
62	BIG	22.1625	22.5125
63	sp	22.5125	23.5625
64	TOY	23.5625	23.9825
65	FROG	23.9825	24.4525
66	FOR	24.4525	24.6425
67	THE	24.6425	24.7325
68	KIDS	24.7325	25.0825
69	sp	25.0825	25.4125
70	SHE	25.4125	25.5725
71	CAN	25.5725	25.7625
72	SCOOP	25.7625	26.1825
73	THESE	26.1825	26.4125
74	sp	26.4125	26.4525
75	THINGS	26.4525	26.8625
76	INTO	26.8625	27.3025
77	THREE	27.3025	27.7325
78	sp	27.7325	28.1925
79	RED	28.1925	28.9525
80	sp	28.9525	29.2525
81	BAGS	29.2525	29.7825
82	sp	29.7825	30.2125
83	AND	30.2125	30.4325
84	WE	30.4325	30.5425
85	WILL	30.5425	30.6825
86	GO	30.6825	31.0025
87	sp	31.0025	31.2925
88	MEET	31.2925	31.6625
89	HER	31.6625	31.8825
90	WEDNESDAY	31.8825	32.5825
91	sp	32.5825	32.6125
92	AT	32.6125	32.7925
93	THE	32.7925	32.8825
94	sp	32.8825	32.9025
95	TRAIN	32.9025	33.0925
96	STATION	33.0925	33.5425
97	sp	33.5425	34.3825
