1	sp	0.0125	0.5325
2	PLEASE	0.5325	0.8725
3	CALL	0.8725	1.1625
4	STELLA	1.1625	1.6525
5	sp	1.6525	1.9225
6	ASK	1.9225	2.2025
7	HER	2.2025	2.2725
8	TO	2.2725	2.4225
9	BRING	2.4225	2.6525
10	THESE	2.6525	2.9225
11	THINGS	2.9225	3.2925
12	WITH	3.2925	3.5025
13	HER	3.5025	3.7225
14	FROM	3.7225	3.9725
15	THE	3.9725	4.0325
16	STORE	4.0325	4.4625
17	sp	4.4625	5.0125
18	SIX	5.0125	5.4425
19	SPOONS	5.4425	5.9425
20	OF	5.9425	6.0725
21	FRESH	6.0725	6.4625
22	SNOW	6.4625	6.7625
23	PEAS	6.7625	7.2925
24	sp	7.2925	7.6825
25	FIVE	7.6825	7.9825
26	THICK	7.9825	8.2025
27	SLABS	8.2025	8.7125
28	OF	8.7125	8.8225
29	BLUE	8.8225	9.0725
30	CHEESE	9.0725	9.6725
31	sp	9.6725	9.9625
32	AND	9.9625	10.1325
33	MAYBE	10.1325	10.3725
34	A	10.3725	10.4025
35	SNACK	10.4025	10.8125
36	FOR	10.8125	10.9725
37	HER	10.9725	11.1125
38	BROTHER	11.1125	11.5325
39	BOB	11.5325	11.8825
40	sp	11.8825	12.5025
41	WE	12.5025	12.6125
42	ALSO	12.6125	12.9325
43	NEED	12.9325	13.1125
44	A	13.1125	13.1425
45	SMALL	13.1425	13.5425
46	PLASTIC	13.5425	13.9225
47	SNAKE	13.9225	14.3825
48	AND	14.3825	14.5125
49	A	14.5125	14.5925
50	BIG	14.5925	14.7825
51	sp	14.7825	14.8325
52	TOY	14.8325	15.0825
53	FROG	15.0825	15.4325
54	FOR	15.4325	15.5825
55	THE	15.5825	15.6625
56	KIDS	15.6625	16.1525
57	sp	16.1525	16.5725
58	SHE	16.5725	16.7525
59	CAN	16.7525	16.9125
60	SCOOP	16.9125	17.3325
61	THESE	17.3325	17.5925
62	THINGS	17.5925	17.8925
63	INTO	17.8925	18.1325
64	THREE	18.1325	18.3725
65	RED	18.3725	18.5925
66	BAGS	18.5925	19.0725
67	sp	19.0725	19.3425
68	AND	19.3425	19.4725
69	WE	19.4725	19.5325
70	WILL	19.5325	19.6725
71	GO	19.6725	19.8225
72	MEET	19.8225	20.1325
73	HER	20.1325	20.2225
74	WEDNESDAY	20.2225	20.7825
75	AT	20.7825	20.8825
76	THE	20.8825	20.9525
77	TRAIN	20.9525	21.2525
78	STATION	21.2525	21.6625
79	sp	21.6625	22.0125
