1	sp	0.0125	0.2425
2	PLEASE	0.2425	0.5325
3	CALL	0.5325	0.7325
4	STELLA	0.7325	1.1425
5	sp	1.1425	1.9425
6	ASK	1.9425	2.2025
7	HER	2.2025	2.3025
8	TO	2.3025	2.4825
9	BRING	2.4825	2.7425
10	THESE	2.7425	2.9725
11	THINGS	2.9725	3.3425
12	sp	3.3425	3.6425
13	WITH	3.6425	3.8125
14	HER	3.8125	3.9225
15	FROM	3.9225	4.2125
16	THE	4.2125	4.2725
17	STORE	4.2725	4.6525
18	sp	4.6525	5.2625
19	SIX	5.2625	5.6925
20	sp	5.6925	5.7725
21	SPOONS	5.7725	6.4925
22	OF	6.4925	6.5825
23	FRESH	6.5825	6.9625
24	SNOW	6.9625	7.3525
25	PEAS	7.3525	7.8125
26	sp	7.8125	8.6825
27	FIVE	8.6825	8.9225
28	THICK	8.9225	9.1225
29	SLABS	9.1225	9.6725
30	sp	9.6725	9.8925
31	OF	9.8925	10.0925
32	sp	10.0925	10.2625
33	BLUE	10.2625	10.4125
34	CHEESE	10.4125	10.8525
35	sp	10.8525	11.2725
36	AND	11.2725	11.4325
37	MAYBE	11.4325	11.7625
38	A	11.7625	11.8125
39	SNACK	11.8125	12.1425
40	FOR	12.1425	12.3225
41	HER	12.3225	12.5325
42	BROTHER	12.5325	12.8625
43	BOB	12.8625	13.1125
44	sp	13.1125	13.6925
45	WE	13.6925	13.7625
46	ALSO	13.7625	13.9825
47	NEED	13.9825	14.2425
48	A	14.2425	14.2925
49	SMALL	14.2925	14.6625
50	PLASTIC	14.6625	15.0025
51	SNAKE	15.0025	15.3825
52	AND	15.3825	15.4725
53	A	15.4725	15.5225
54	BIG	15.5225	15.7925
55	sp	15.7925	15.9425
56	TOY	15.9425	16.1925
57	FROG	16.1925	16.5325
58	FOR	16.5325	16.7125
59	THE	16.7125	16.7825
60	KIDS	16.7825	17.1825
61	sp	17.1825	17.9025
62	SHE	17.9025	18.0425
63	CAN	18.0425	18.2025
64	SCOOP	18.2025	18.6325
65	THESE	18.6325	18.9325
66	THINGS	18.9325	19.2825
67	INTO	19.2825	19.5625
68	THREE	19.5625	20.0925
69	RED	20.0925	20.4025
70	BAGS	20.4025	20.8425
71	sp	20.8425	21.1725
72	AND	21.1725	21.3525
73	WE	21.3525	21.4325
74	WILL	21.4325	21.5925
75	GO	21.5925	21.8125
76	MEET	21.8125	22.0125
77	HER	22.0125	22.1725
78	WEDNESDAY	22.1725	22.7425
79	sp	22.7425	23.5125
80	AT	23.5125	23.6125
81	THE	23.6125	23.6825
82	sp	23.6825	23.7225
83	TRAIN	23.7225	23.9525
84	STATION	23.9525	24.3925
85	sp	24.3925	24.7025
