1	sp	0.0125	0.2025
2	PLEASE	0.2025	0.5625
3	CALL	0.5625	0.8525
4	STELLA	0.8525	1.3025
5	sp	1.3025	1.8325
6	ASK	1.8325	2.1825
7	HER	2.1825	2.3025
8	TO	2.3025	2.4525
9	BRING	2.4525	2.7425
10	THESE	2.7425	3.0225
11	THINGS	3.0225	3.3225
12	WITH	3.3225	3.4725
13	HER	3.4725	3.6825
14	sp	3.6825	4.0825
15	FROM	4.0825	4.3425
16	THE	4.3425	4.4125
17	STORE	4.4125	4.7725
18	sp	4.7725	5.3325
19	SIX	5.3325	5.6525
20	SPOONS	5.6525	6.0225
21	OF	6.0225	6.1025
22	FRESH	6.1025	6.4325
23	SNOW	6.4325	6.7825
24	PEAS	6.7825	7.2525
25	sp	7.2525	8.2025
26	FIVE	8.2025	8.5125
27	sp	8.5125	8.9825
28	THICK	8.9825	9.3225
29	SLABS	9.3225	9.8825
30	OF	9.8825	10.0025
31	sp	10.0025	10.0925
32	BLUE	10.0925	10.3025
33	CHEESE	10.3025	10.8425
34	sp	10.8425	11.1825
35	AND	11.1825	11.3225
36	MAYBE	11.3225	11.6325
37	A	11.6325	11.6625
38	SNACK	11.6625	12.0925
39	FOR	12.0925	12.2325
40	HER	12.2325	12.3925
41	BROTHER	12.3925	12.7125
42	BOB	12.7125	13.1025
43	sp	13.1025	13.7425
44	WE	13.7425	13.8625
45	ALSO	13.8625	14.2025
46	NEED	14.2025	14.5125
47	A	14.5125	14.5725
48	SMALL	14.5725	14.9325
49	sp	14.9325	15.0225
50	PLASTIC	15.0225	15.6125
51	SNAKE	15.6125	16.1125
52	sp	16.1125	16.4225
53	AND	16.4225	16.5825
54	A	16.5825	16.6125
55	BIG	16.6125	16.9125
56	TOY	16.9125	17.2025
57	FROG	17.2025	17.7225
58	sp	17.7225	17.7425
59	FOR	17.7425	17.9025
60	THE	17.9025	18.0125
61	KIDS	18.0125	18.3225
62	sp	18.3225	19.1525
63	SHE	19.1525	19.3925
64	CAN	19.3925	19.5925
65	SCOOP	19.5925	19.9225
66	THESE	19.9225	20.2325
67	THINGS	20.2325	20.6425
68	sp	20.6425	20.8925
69	INTO	20.8925	21.1525
70	THREE	21.1525	21.6625
71	RED	21.6625	21.8925
72	BAGS	21.8925	22.4125
73	sp	22.4125	22.6925
74	AND	22.6925	22.9225
75	WE	22.9225	23.1225
76	WILL	23.1225	23.3625
77	sp	23.3625	23.8625
78	GO	23.8625	24.1325
79	MEET	24.1325	24.4425
80	HER	24.4425	24.6725
81	WEDNESDAY	24.6725	25.2625
82	sp	25.2625	25.3625
83	AT	25.3625	25.5025
84	THE	25.5025	25.5725
85	TRAIN	25.5725	25.8725
86	STATION	25.8725	26.3525
87	sp	26.3525	26.3925
