1	sp	0.0125	0.3525
2	PLEASE	0.3525	0.7325
3	sp	0.7325	0.7725
4	CALL	0.7725	1.0225
5	STELLA	1.0225	1.6725
6	sp	1.6725	2.5525
7	ASK	2.5525	2.8825
8	HER	2.8825	3.0925
9	TO	3.0925	3.2425
10	BRING	3.2425	3.6025
11	THESE	3.6025	4.1425
12	sp	4.1425	4.1925
13	THINGS	4.1925	4.6125
14	WITH	4.6125	4.7725
15	HER	4.7725	5.0525
16	FROM	5.0525	5.3725
17	THE	5.3725	5.4725
18	STORE	5.4725	6.0625
19	sp	6.0625	6.5225
20	SIX	6.5225	7.1325
21	sp	7.1325	7.2125
22	SPOONS	7.2125	7.6725
23	OF	7.6725	7.8425
24	FRESH	7.8425	8.2525
25	SNOW	8.2525	8.9225
26	PEAS	8.9225	9.2725
27	sp	9.2725	9.8125
28	FIVE	9.8125	10.3025
29	THICK	10.3025	10.8825
30	SLABS	10.8825	11.7425
31	OF	11.7425	11.9125
32	sp	11.9125	12.0225
33	BLUE	12.0225	12.2625
34	CHEESE	12.2625	12.7325
35	sp	12.7325	13.1225
36	AND	13.1225	13.3625
37	MAYBE	13.3625	13.8925
38	A	13.8925	13.9525
39	SNACK	13.9525	14.4125
40	FOR	14.4125	14.5425
41	HER	14.5425	14.7525
42	BROTHER	14.7525	15.1625
43	sp	15.1625	15.2325
44	BOB	15.2325	15.5825
45	sp	15.5825	16.3825
46	WE	16.3825	16.5625
47	ALSO	16.5625	16.8825
48	NEED	16.8825	17.3125
49	A	17.3125	17.3425
50	SMALL	17.3425	17.8225
51	sp	17.8225	17.8625
52	PLASTIC	17.8625	18.3725
53	SNAKE	18.3725	18.8725
54	sp	18.8725	18.9325
55	AND	18.9325	19.2725
56	sp	19.2725	19.3725
57	A	19.3725	19.4725
58	BIG	19.4725	19.7825
59	sp	19.7825	19.8725
60	TOY	19.8725	20.1225
61	FROG	20.1225	20.6125
62	sp	20.6125	20.7325
63	FOR	20.7325	20.9725
64	THE	20.9725	21.0725
65	KIDS	21.0725	21.4825
66	sp	21.4825	22.4325
67	SHE	22.4325	22.7725
68	CAN	22.7725	23.2025
69	SCOOP	23.2025	23.4025
70	sp	23.4025	23.4725
71	THESE	23.4725	23.8225
72	THINGS	23.8225	24.2425
73	INTO	24.2425	24.5525
74	THREE	24.5525	25.1125
75	RED	25.1125	25.3925
76	BAGS	25.3925	25.9725
77	sp	25.9725	26.3225
78	AND	26.3225	26.5225
79	WE	26.5225	26.6625
80	WILL	26.6625	26.8725
81	GO	26.8725	27.2225
82	sp	27.2225	27.4325
83	MEET	27.4325	27.7225
84	HER	27.7225	27.9425
85	WEDNESDAY	27.9425	28.8225
86	AT	28.8225	28.9925
87	THE	28.9925	29.0525
88	TRAIN	29.0525	29.3725
89	STATION	29.3725	29.9425
90	sp	29.9425	30.6325
