1	sp	0.0125	0.4625
2	PLEASE	0.4625	0.8425
3	sp	0.8425	0.8825
4	CALL	0.8825	1.1625
5	STELLA	1.1625	1.6625
6	sp	1.6625	2.7925
7	ASK	2.7925	3.0625
8	sp	3.0625	3.1425
9	HER	3.1425	3.4225
10	TO	3.4225	3.5425
11	BRING	3.5425	3.9225
12	THESE	3.9225	4.1425
13	sp	4.1425	4.2125
14	THINGS	4.2125	4.6225
15	WITH	4.6225	4.9225
16	sp	4.9225	4.9825
17	HER	4.9825	5.2725
18	sp	5.2725	5.8825
19	FROM	5.8825	6.1625
20	THE	6.1625	6.2725
21	STORE	6.2725	6.6225
22	sp	6.6225	7.7125
23	SIX	7.7125	8.2625
24	sp	8.2625	8.3225
25	SPOONS	8.3225	8.8025
26	sp	8.8025	9.0925
27	OF	9.0925	9.2625
28	sp	9.2625	9.3425
29	FRESH	9.3425	9.6725
30	sp	9.6725	10.2725
31	SNOW	10.2725	10.5825
32	PEAS	10.5825	10.8625
33	sp	10.8625	11.6625
34	FIVE	11.6625	11.9525
35	THICK	11.9525	12.2725
36	sp	12.2725	12.3625
37	SLABS	12.3625	12.9525
38	sp	12.9525	13.0325
39	OF	13.0325	13.1625
40	sp	13.1625	13.4725
41	BLUE	13.4725	13.7025
42	CHEESE	13.7025	14.0625
43	sp	14.0625	14.7825
44	AND	14.7825	14.9525
45	MAYBE	14.9525	15.2625
46	A	15.2625	15.5025
47	SNACK	15.5025	15.8825
48	sp	15.8825	16.0425
49	FOR	16.0425	16.2325
50	HER	16.2325	16.3925
51	BROTHER	16.3925	16.8225
52	BOB	16.8225	17.1625
53	sp	17.1625	18.6525
54	WE	18.6525	18.8025
55	ALSO	18.8025	19.1125
56	NEED	19.1125	19.3525
57	A	19.3525	19.4825
58	SMALL	19.4825	19.8425
59	PLASTIC	19.8425	20.3525
60	SNAKE	20.3525	20.7525
61	sp	20.7525	21.4925
62	AND	21.4925	21.6125
63	A	21.6125	21.7425
64	BIG	21.7425	21.9925
65	sp	21.9925	22.0825
66	TOY	22.0825	22.4025
67	sp	22.4025	22.6025
68	FROG	22.6025	22.9125
69	sp	22.9125	23.1125
70	FOR	23.1125	23.2725
71	THE	23.2725	23.4225
72	sp	23.4225	23.4525
73	KIDS	23.4525	23.7225
74	sp	23.7225	25.2125
75	SHE	25.2125	25.3925
76	CAN	25.3925	25.6925
77	SCOOP	25.6925	26.1425
78	THESE	26.1425	26.4025
79	sp	26.4025	26.4725
80	THINGS	26.4725	26.8225
81	INTO	26.8225	27.2125
82	sp	27.2125	27.2425
83	THREE	27.2425	27.5025
84	RED	27.5025	27.7325
85	sp	27.7325	27.7925
86	BAGS	27.7925	28.2425
87	sp	28.2425	28.9125
88	AND	28.9125	29.0825
89	WE	29.0825	29.2125
90	WILL	29.2125	29.5025
91	sp	29.5025	29.5425
92	GO	29.5425	29.8925
93	sp	29.8925	30.1425
94	MEET	30.1425	30.4625
95	sp	30.4625	30.5425
96	HER	30.5425	30.7825
97	WEDNESDAY	30.7825	31.3525
98	sp	31.3525	31.7125
99	AT	31.7125	31.8025
100	THE	31.8025	31.9025
101	sp	31.9025	31.9725
102	TRAIN	31.9725	32.2325
103	STATION	32.2325	32.6825
104	sp	32.6825	33.2125
