1	sp	0.0125	0.2625
2	PLEASE	0.2625	0.5525
3	CALL	0.5525	0.7625
4	STELLA	0.7625	1.2525
5	sp	1.2525	1.6025
6	ASK	1.6025	1.9425
7	HER	1.9425	2.1125
8	TO	2.1125	2.2825
9	BRING	2.2825	2.6425
10	sp	2.6425	2.7425
11	THESE	2.7425	2.9925
12	sp	2.9925	3.0225
13	THINGS	3.0225	3.4725
14	sp	3.4725	3.5025
15	WITH	3.5025	3.6925
16	HER	3.6925	3.8425
17	FROM	3.8425	4.3125
18	sp	4.3125	4.5025
19	THE	4.5025	4.6725
20	STORE	4.6725	5.1425
21	sp	5.1425	5.7225
22	SIX	5.7225	5.9425
23	SPOONS	5.9425	6.6625
24	sp	6.6625	6.7925
25	OF	6.7925	6.9425
26	FRESH	6.9425	7.3925
27	SNOW	7.3925	7.7625
28	PEAS	7.7625	8.1525
29	sp	8.1525	8.7325
30	FIVE	8.7325	9.0925
31	sp	9.0925	9.1225
32	THICK	9.1225	9.3425
33	SLABS	9.3425	9.8725
34	sp	9.8725	10.1025
35	OF	10.1025	10.2425
36	sp	10.2425	10.2925
37	BLUE	10.2925	10.5325
38	CHEESE	10.5325	10.9125
39	sp	10.9125	11.6025
40	AND	11.6025	11.8725
41	MAYBE	11.8725	12.2025
42	A	12.2025	12.2425
43	SNACK	12.2425	12.7025
44	FOR	12.7025	12.8725
45	HER	12.8725	13.0825
46	BROTHER	13.0825	13.5225
47	BOB	13.5225	13.8925
48	sp	13.8925	14.7025
49	WE	14.7025	14.8825
50	ALSO	14.8825	15.1925
51	NEED	15.1925	15.4025
52	A	15.4025	15.4525
53	SMALL	15.4525	15.7825
54	PLASTIC	15.7825	16.2925
55	SNAKE	16.2925	16.9025
56	sp	16.9025	17.1025
57	AND	17.1025	17.5125
58	A	17.5125	17.6225
59	BIG	17.6225	17.7825
60	sp	17.7825	17.8925
61	TOY	17.8925	18.0725
62	FROG	18.0725	18.5025
63	FOR	18.5025	18.7025
64	THE	18.7025	18.8125
65	KIDS	18.8125	19.0925
66	sp	19.0925	19.9725
67	SHE	19.9725	20.1625
68	CAN	20.1625	20.3725
69	SCOOP	20.3725	20.9125
70	THESE	20.9125	21.3125
71	THINGS	21.3125	21.8025
72	sp	21.8025	21.9225
73	INTO	21.9225	22.2125
74	sp	22.2125	22.3025
75	THREE	22.3025	22.7025
76	RED	22.7025	22.9125
77	BAGS	22.9125	23.5925
78	sp	23.5925	23.9325
79	AND	23.9325	24.2325
80	WE	24.2325	24.5025
81	sp	24.5025	24.5625
82	WILL	24.5625	24.8625
83	GO	24.8625	25.0625
84	MEET	25.0625	25.3425
85	HER	25.3425	25.6225
86	WEDNESDAY	25.6225	26.1525
87	sp	26.1525	26.2425
88	AT	26.2425	26.4125
89	THE	26.4125	26.5125
90	sp	26.5125	26.8925
91	TRAIN	26.8925	27.1625
92	STATION	27.1625	27.7725
93	sp	27.7725	28.4925
