1	sp	0.0125	0.1825
2	PLEASE	0.1825	0.4325
3	CALL	0.4325	0.6425
4	STELLA	0.6425	1.0425
5	sp	1.0425	1.5425
6	ASK	1.5425	1.7325
7	HER	1.7325	1.8125
8	TO	1.8125	1.9225
9	BRING	1.9225	2.1525
10	THESE	2.1525	2.3225
11	sp	2.3225	2.3625
12	THINGS	2.3625	2.6025
13	WITH	2.6025	2.7525
14	HER	2.7525	2.9125
15	FROM	2.9125	3.1425
16	THE	3.1425	3.2025
17	STORE	3.2025	3.5325
18	sp	3.5325	4.3625
19	SIX	4.3625	4.6225
20	SPOONS	4.6225	4.9925
21	OF	4.9925	5.0725
22	FRESH	5.0725	5.3725
23	SNOW	5.3725	5.6425
24	PEAS	5.6425	5.9925
25	sp	5.9925	6.5225
26	FIVE	6.5225	6.7725
27	sp	6.7725	6.9125
28	THICK	6.9125	7.1025
29	SLABS	7.1025	7.5225
30	OF	7.5225	7.6125
31	BLUE	7.6125	7.8525
32	CHEESE	7.8525	8.2125
33	sp	8.2125	8.6825
34	AND	8.6825	8.8525
35	MAYBE	8.8525	9.1525
36	A	9.1525	9.1825
37	SNACK	9.1825	9.4625
38	FOR	9.4625	9.6125
39	HER	9.6125	9.6725
40	BROTHER	9.6725	9.9925
41	BOB	9.9925	10.2425
42	sp	10.2425	11.0525
43	WE	11.0525	11.1725
44	ALSO	11.1725	11.4325
45	NEED	11.4325	11.6925
46	A	11.6925	11.7425
47	SMALL	11.7425	12.0125
48	PLASTIC	12.0125	12.3225
49	SNAKE	12.3225	12.6925
50	sp	12.6925	13.1625
51	AND	13.1625	13.2625
52	A	13.2625	13.3125
53	BIG	13.3125	13.5325
54	TOY	13.5325	13.7525
55	FROG	13.7525	14.0825
56	FOR	14.0825	14.1825
57	THE	14.1825	14.2725
58	KIDS	14.2725	14.5925
59	sp	14.5925	15.2325
60	SHE	15.2325	15.3825
61	CAN	15.3825	15.5125
62	SCOOP	15.5125	15.8525
63	THESE	15.8525	16.0925
64	THINGS	16.0925	16.4325
65	INTO	16.4325	16.6025
66	THREE	16.6025	16.8625
67	RED	16.8625	17.0325
68	BAGS	17.0325	17.3625
69	sp	17.3625	17.8925
70	AND	17.8925	18.0025
71	WE	18.0025	18.0625
72	WILL	18.0625	18.2525
73	GO	18.2525	18.4025
74	MEET	18.4025	18.6625
75	HER	18.6625	18.8425
76	WEDNESDAY	18.8425	19.2525
77	AT	19.2525	19.3125
78	sp	19.3125	19.4825
79	THE	19.4825	19.5625
80	TRAIN	19.5625	19.8925
81	STATION	19.8925	20.3225
82	sp	20.3225	20.6125
