1	sp	0.0125	0.4225
2	PLEASE	0.4225	0.8125
3	CALL	0.8125	1.1325
4	STELLA	1.1325	1.6625
5	ASK	1.6625	2.0025
6	HER	2.0025	2.1225
7	TO	2.1225	2.1925
8	BRING	2.1925	2.4525
9	THESE	2.4525	2.6825
10	THINGS	2.6825	2.9825
11	WITH	2.9825	3.1225
12	HER	3.1225	3.2825
13	FROM	3.2825	3.4825
14	THE	3.4825	3.5425
15	STORE	3.5425	4.0425
16	sp	4.0425	4.3325
17	SIX	4.3325	4.7125
18	SPOONS	4.7125	5.1325
19	OF	5.1325	5.2325
20	FRESH	5.2325	5.6325
21	SNOW	5.6325	5.8725
22	PEAS	5.8725	6.3325
23	sp	6.3325	6.6425
24	FIVE	6.6425	6.9325
25	sp	6.9325	6.9925
26	THICK	6.9925	7.2625
27	SLABS	7.2625	7.7725
28	OF	7.7725	7.8525
29	BLUE	7.8525	8.0825
30	CHEESE	8.0825	8.5425
31	AND	8.5425	8.6925
32	MAYBE	8.6925	9.0125
33	A	9.0125	9.1625
34	SNACK	9.1625	9.5225
35	FOR	9.5225	9.6925
36	HER	9.6925	9.8325
37	BROTHER	9.8325	10.1225
38	BOB	10.1225	10.5525
39	sp	10.5525	11.0425
40	WE	11.0425	11.1925
41	ALSO	11.1925	11.5125
42	NEED	11.5125	11.8025
43	A	11.8025	11.9825
44	SMALL	11.9825	12.5225
45	sp	12.5225	12.8725
46	PLASTIC	12.8725	13.3425
47	SNAKE	13.3425	13.8025
48	sp	13.8025	13.9325
49	AND	13.9325	14.1425
50	A	14.1425	14.2825
51	BIG	14.2825	14.5625
52	sp	14.5625	14.6225
53	TOY	14.6225	14.8525
54	FROG	14.8525	15.2425
55	FOR	15.2425	15.3625
56	THE	15.3625	15.4425
57	KIDS	15.4425	15.9325
58	sp	15.9325	16.3825
59	SHE	16.3825	16.5425
60	CAN	16.5425	16.7125
61	SCOOP	16.7125	17.0525
62	sp	17.0525	17.0825
63	THESE	17.0825	17.3425
64	THINGS	17.3425	17.8925
65	INTO	17.8925	18.5025
66	THREE	18.5025	18.8825
67	RED	18.8825	19.1725
68	BAGS	19.1725	19.6225
69	AND	19.6225	19.8125
70	WE	19.8125	19.8825
71	WILL	19.8825	20.0525
72	GO	20.0525	20.3125
73	MEET	20.3125	20.5625
74	HER	20.5625	20.8925
75	sp	20.8925	21.2825
76	WEDNESDAY	21.2825	21.9025
77	AT	21.9025	22.0725
78	THE	22.0725	22.1425
79	TRAIN	22.1425	22.4525
80	STATION	22.4525	22.9825
81	sp	22.9825	23.3125
