1	sp	0.0125	0.3725
2	PLEASE	0.3725	0.7925
3	CALL	0.7925	1.0825
4	sp	1.0825	1.1425
5	STELLA	1.1425	1.7225
6	sp	1.7225	1.7925
7	ASK	1.7925	2.1225
8	HER	2.1225	2.3125
9	TO	2.3125	2.4525
10	BRING	2.4525	2.8825
11	THESE	2.8825	3.2325
12	THINGS	3.2325	3.7825
13	sp	3.7825	3.8725
14	WITH	3.8725	4.2025
15	HER	4.2025	4.4225
16	FROM	4.4225	4.9225
17	sp	4.9225	5.8925
18	THE	5.8925	7.0125
19	STORE	7.0125	7.4625
20	SIX	7.4625	7.8325
21	SPOONS	7.8325	8.2525
22	OF	8.2525	8.4425
23	sp	8.4425	8.5325
24	FRESH	8.5325	8.8825
25	sp	8.8825	8.9025
26	SNOW	8.9025	9.2825
27	sp	9.2825	9.3125
28	PEAS	9.3125	9.7025
29	sp	9.7025	9.7325
30	FIVE	9.7325	10.2225
31	sp	10.2225	10.3925
32	THICK	10.3925	11.1925
33	sp	11.1925	11.3625
34	SLABS	11.3625	11.8825
35	OF	11.8825	12.1825
36	BLUE	12.1825	12.5125
37	CHEESE	12.5125	13.0525
38	sp	13.0525	13.2925
39	AND	13.2925	13.6625
40	MAYBE	13.6625	14.1225
41	A	14.1225	14.3125
42	SNACK	14.3125	14.6625
43	FOR	14.6625	14.9925
44	HER	14.9925	15.1525
45	BROTHER	15.1525	15.6525
46	BOB	15.6525	16.1125
47	sp	16.1125	16.4925
48	WE	16.4925	16.8925
49	ALSO	16.8925	17.3825
50	NEED	17.3825	17.6725
51	A	17.6725	17.9125
52	SMALL	17.9125	18.3625
53	PLASTIC	18.3625	19.1225
54	SNAKE	19.1225	19.5225
55	AND	19.5225	19.8525
56	A	19.8525	20.0225
57	BIG	20.0225	20.3925
58	sp	20.3925	20.5625
59	TOY	20.5625	20.8225
60	FROG	20.8225	21.3125
61	FOR	21.3125	21.6225
62	THE	21.6225	21.7425
63	KIDS	21.7425	22.2425
64	sp	22.2425	22.7025
65	SHE	22.7025	22.9525
66	CAN	22.9525	23.2925
67	SCOOP	23.2925	23.7825
68	THESE	23.7825	24.2325
69	sp	24.2325	24.3025
70	THINGS	24.3025	24.7525
71	INTO	24.7525	25.3725
72	THREE	25.3725	25.8025
73	RED	25.8025	26.0825
74	BAGS	26.0825	26.4825
75	sp	26.4825	26.7025
76	AND	26.7025	27.0025
77	WE	27.0025	27.1925
78	WILL	27.1925	27.4325
79	GO	27.4325	27.7125
80	MEET	27.7125	28.0125
81	HER	28.0125	28.2725
82	WEDNESDAY	28.2725	28.7225
83	AT	28.7225	28.9825
84	THE	28.9825	29.1025
85	TRAIN	29.1025	29.4525
86	sp	29.4525	29.4825
87	STATION	29.4825	29.9525
88	sp	29.9525	30.5825
