1	sp	0.0125	0.4225
2	PLEASE	0.4225	0.8125
3	CALL	0.8125	1.0825
4	STELLA	1.0825	1.4225
5	sp	1.4225	2.1425
6	ASK	2.1425	2.4325
7	HER	2.4325	2.5325
8	TO	2.5325	2.6725
9	BRING	2.6725	2.9125
10	THESE	2.9125	3.1725
11	THINGS	3.1725	3.5325
12	WITH	3.5325	3.6725
13	HER	3.6725	3.8925
14	FROM	3.8925	4.1325
15	THE	4.1325	4.2125
16	STORE	4.2125	4.5325
17	sp	4.5325	5.1925
18	SIX	5.1925	5.4825
19	SPOONS	5.4825	5.9325
20	OF	5.9325	6.0125
21	FRESH	6.0125	6.3025
22	SNOW	6.3025	6.5725
23	PEAS	6.5725	7.0125
24	sp	7.0125	7.4125
25	FIVE	7.4125	7.6825
26	THICK	7.6825	7.9925
27	SLABS	7.9925	8.5125
28	OF	8.5125	8.7925
29	sp	8.7925	8.9825
30	BLUE	8.9825	9.2425
31	CHEESE	9.2425	9.7725
32	sp	9.7725	10.1325
33	AND	10.1325	10.3225
34	MAYBE	10.3225	10.6425
35	A	10.6425	10.6725
36	SNACK	10.6725	11.0725
37	FOR	11.0725	11.2525
38	HER	11.2525	11.3425
39	BROTHER	11.3425	11.6225
40	BOB	11.6225	11.9725
41	sp	11.9725	12.7225
42	WE	12.7225	12.8425
43	ALSO	12.8425	13.1225
44	NEED	13.1225	13.3625
45	A	13.3625	13.4025
46	SMALL	13.4025	13.7025
47	PLASTIC	13.7025	14.0925
48	SNAKE	14.0925	14.5025
49	AND	14.5025	14.5925
50	A	14.5925	14.6525
51	BIG	14.6525	14.8625
52	TOY	14.8625	15.0825
53	FROG	15.0825	15.4325
54	sp	15.4325	15.5125
55	FOR	15.5125	15.6525
56	THE	15.6525	15.7325
57	KIDS	15.7325	16.1625
58	sp	16.1625	16.7525
59	SHE	16.7525	16.8725
60	CAN	16.8725	17.0025
61	SCOOP	17.0025	17.3525
62	THESE	17.3525	17.6025
63	THINGS	17.6025	18.0025
64	INTO	18.0025	18.2725
65	THREE	18.2725	18.5725
66	RED	18.5725	18.7625
67	BAGS	18.7625	19.1825
68	sp	19.1825	19.3825
69	AND	19.3825	19.4925
70	WE	19.4925	19.5925
71	WILL	19.5925	19.7625
72	GO	19.7625	19.9625
73	MEET	19.9625	20.2125
74	HER	20.2125	20.4125
75	sp	20.4125	20.5025
76	WEDNESDAY	20.5025	21.0125
77	AT	21.0125	21.1825
78	THE	21.1825	21.2625
79	TRAIN	21.2625	21.5425
80	STATION	21.5425	22.0225
81	sp	22.0225	22.7225
