1	sp	0.0125	0.9225
2	PLEASE	0.9225	1.2225
3	CALL	1.2225	1.4225
4	STELLA	1.4225	1.9525
5	sp	1.9525	2.1925
6	ASK	2.1925	2.4625
7	HER	2.4625	2.5225
8	TO	2.5225	2.6025
9	BRING	2.6025	2.9325
10	THESE	2.9325	3.1425
11	THINGS	3.1425	3.4525
12	WITH	3.4525	3.6025
13	HER	3.6025	3.8325
14	FROM	3.8325	4.0825
15	THE	4.0825	4.1525
16	STORE	4.1525	4.6025
17	sp	4.6025	5.0425
18	SIX	5.0425	5.4425
19	SPOONS	5.4425	5.7525
20	OF	5.7525	5.8325
21	FRESH	5.8325	6.1525
22	SNOW	6.1525	6.4825
23	PEAS	6.4825	6.7625
24	sp	6.7625	7.3125
25	FIVE	7.3125	7.5825
26	sp	7.5825	7.6525
27	THICK	7.6525	7.8825
28	SLABS	7.8825	8.3225
29	OF	8.3225	8.4025
30	BLUE	8.4025	8.6825
31	CHEESE	8.6825	9.1325
32	sp	9.1325	9.5725
33	AND	9.5725	9.7825
34	MAYBE	9.7825	10.0925
35	A	10.0925	10.1325
36	SNACK	10.1325	10.5925
37	FOR	10.5925	10.7925
38	HER	10.7925	10.8625
39	BROTHER	10.8625	11.1825
40	BOB	11.1825	11.6025
41	sp	11.6025	12.2725
42	WE	12.2725	12.4125
43	ALSO	12.4125	12.7125
44	NEED	12.7125	12.8925
45	A	12.8925	12.9225
46	SMALL	12.9225	13.3125
47	PLASTIC	13.3125	13.8225
48	SNAKE	13.8225	14.2625
49	AND	14.2625	14.5925
50	A	14.5925	14.6925
51	BIG	14.6925	14.8025
52	TOY	14.8025	15.0225
53	FROG	15.0225	15.3625
54	FOR	15.3625	15.5625
55	THE	15.5625	15.6225
56	KIDS	15.6225	16.0125
57	sp	16.0125	16.5725
58	SHE	16.5725	16.7225
59	CAN	16.7225	16.8525
60	SCOOP	16.8525	17.2625
61	THESE	17.2625	17.5025
62	THINGS	17.5025	17.8025
63	INTO	17.8025	17.9725
64	THREE	17.9725	18.3625
65	RED	18.3625	18.6125
66	BAGS	18.6125	19.0725
67	sp	19.0725	19.0925
68	AND	19.0925	19.3025
69	WE	19.3025	19.4225
70	WILL	19.4225	19.5425
71	GO	19.5425	19.7125
72	MEET	19.7125	20.0125
73	HER	20.0125	20.2425
74	WEDNESDAY	20.2425	20.7325
75	AT	20.7325	20.8425
76	THE	20.8425	20.9025
77	TRAIN	20.9025	21.2225
78	STATION	21.2225	21.7425
79	sp	21.7425	22.8225
