1	sp	0.0125	0.4525
2	PLEASE	0.4525	0.8225
3	CALL	0.8225	1.1925
4	STELLA	1.1925	1.6625
5	sp	1.6625	1.9525
6	ASK	1.9525	2.4125
7	HER	2.4125	2.7125
8	TO	2.7125	2.8825
9	BRING	2.8825	3.2125
10	THESE	3.2125	3.4725
11	THINGS	3.4725	3.8225
12	WITH	3.8225	3.9825
13	HER	3.9825	4.2225
14	FROM	4.2225	4.5325
15	THE	4.5325	4.6425
16	STORE	4.6425	5.0425
17	sp	5.0425	5.2125
18	SIX	5.2125	5.6825
19	sp	5.6825	5.7725
20	SPOONS	5.7725	6.3525
21	OF	6.3525	6.5525
22	sp	6.5525	6.7425
23	FRESH	6.7425	7.1925
24	SNOW	7.1925	7.6025
25	PEAS	7.6025	8.1525
26	sp	8.1525	8.6825
27	FIVE	8.6825	9.1025
28	sp	9.1025	9.1425
29	THICK	9.1425	9.5025
30	SLABS	9.5025	10.0925
31	OF	10.0925	10.3425
32	sp	10.3425	10.5125
33	BLUE	10.5125	10.8225
34	CHEESE	10.8225	11.3225
35	AND	11.3225	11.5225
36	MAYBE	11.5225	11.9425
37	A	11.9425	11.9925
38	SNACK	11.9925	12.4425
39	FOR	12.4425	12.8425
40	HER	12.8425	12.9025
41	BROTHER	12.9025	13.6125
42	BOB	13.6125	13.8925
43	sp	13.8925	14.4925
44	WE	14.4925	14.6525
45	ALSO	14.6525	15.0525
46	NEED	15.0525	15.3025
47	A	15.3025	15.4225
48	SMALL	15.4225	15.9725
49	PLASTIC	15.9725	16.4725
50	SNAKE	16.4725	16.9225
51	AND	16.9225	17.1725
52	A	17.1725	17.2025
53	BIG	17.2025	17.6225
54	sp	17.6225	17.7825
55	TOY	17.7825	18.0725
56	FROG	18.0725	18.5725
57	FOR	18.5725	18.8525
58	THE	18.8525	18.9725
59	KIDS	18.9725	19.5125
60	sp	19.5125	19.8725
61	SHE	19.8725	20.0225
62	CAN	20.0225	20.2525
63	SCOOP	20.2525	20.6825
64	THESE	20.6825	21.0025
65	THINGS	21.0025	21.4325
66	INTO	21.4325	21.8225
67	THREE	21.8225	22.3225
68	sp	22.3225	22.3925
69	RED	22.3925	22.7525
70	BAGS	22.7525	23.3825
71	sp	23.3825	23.4325
72	AND	23.4325	23.6125
73	WE	23.6125	23.6725
74	WILL	23.6725	23.9725
75	GO	23.9725	24.2525
76	MEET	24.2525	24.5125
77	HER	24.5125	24.7625
78	WEDNESDAY	24.7625	25.4725
79	AT	25.4725	25.6125
80	THE	25.6125	25.7225
81	TRAIN	25.7225	26.0225
82	STATION	26.0225	26.5325
83	sp	26.5325	27.1725
