1	sp	0.0125	0.5025
2	PLEASE	0.5025	0.8125
3	CALL	0.8125	0.9625
4	STELLA	0.9625	1.3825
5	sp	1.3825	1.6225
6	ASK	1.6225	1.8925
7	HER	1.8925	1.9925
8	TO	1.9925	2.1225
9	BRING	2.1225	2.4325
10	THESE	2.4325	2.6225
11	sp	2.6225	2.6625
12	THINGS	2.6625	2.9825
13	WITH	2.9825	3.1925
14	HER	3.1925	3.4025
15	FROM	3.4025	3.9025
16	THE	3.9025	3.9725
17	STORE	3.9725	4.3125
18	sp	4.3125	4.5125
19	SIX	4.5125	4.8125
20	SPOONS	4.8125	5.2225
21	OF	5.2225	5.2925
22	FRESH	5.2925	5.5625
23	SNOW	5.5625	5.8925
24	PEAS	5.8925	6.4125
25	FIVE	6.4125	6.7125
26	THICK	6.7125	7.0825
27	sp	7.0825	7.2225
28	SLABS	7.2225	7.6325
29	OF	7.6325	7.7325
30	sp	7.7325	7.8325
31	BLUE	7.8325	8.0525
32	CHEESE	8.0525	8.4925
33	sp	8.4925	8.5725
34	AND	8.5725	8.7725
35	MAYBE	8.7725	9.0825
36	A	9.0825	9.1125
37	SNACK	9.1125	9.5125
38	FOR	9.5125	9.7525
39	HER	9.7525	9.8125
40	BROTHER	9.8125	10.1625
41	BOB	10.1625	10.4325
42	sp	10.4325	10.9025
43	WE	10.9025	11.0225
44	ALSO	11.0225	11.3825
45	NEED	11.3825	11.5825
46	A	11.5825	11.6225
47	SMALL	11.6225	11.9625
48	PLASTIC	11.9625	12.4725
49	SNAKE	12.4725	12.9525
50	AND	12.9525	13.0925
51	A	13.0925	13.1225
52	BIG	13.1225	13.3825
53	sp	13.3825	13.8325
54	TOY	13.8325	14.1025
55	FROG	14.1025	14.5325
56	FOR	14.5325	14.8025
57	THE	14.8025	14.8925
58	KIDS	14.8925	15.2425
59	sp	15.2425	15.7125
60	SHE	15.7125	15.9025
61	CAN	15.9025	16.0525
62	SCOOP	16.0525	16.4425
63	THESE	16.4425	16.7025
64	sp	16.7025	16.7725
65	THINGS	16.7725	17.2425
66	sp	17.2425	17.4625
67	INTO	17.4625	17.8125
68	sp	17.8125	17.8925
69	THREE	17.8925	18.2425
70	sp	18.2425	19.0525
71	RED	19.0525	19.5125
72	sp	19.5125	19.8825
73	BAGS	19.8825	20.6725
74	AND	20.6725	21.1025
75	WE	21.1025	21.3325
76	WILL	21.3325	21.6025
77	GO	21.6025	21.8625
78	MEET	21.8625	22.2525
79	sp	22.2525	22.3425
80	HER	22.3425	22.6025
81	WEDNESDAY	22.6025	23.3025
82	AT	23.3025	23.3925
83	THE	23.3925	23.4625
84	TRAIN	23.4625	23.8125
85	STATION	23.8125	24.3125
86	sp	24.3125	24.6825
