1	sp	0.0125	0.4425
2	PLEASE	0.4425	0.7725
3	CALL	0.7725	1.0225
4	STELLA	1.0225	1.4825
5	sp	1.4825	1.8525
6	ASK	1.8525	2.1025
7	HER	2.1025	2.2025
8	TO	2.2025	2.3425
9	BRING	2.3425	2.6025
10	THESE	2.6025	2.8625
11	THINGS	2.8625	3.2025
12	WITH	3.2025	3.3925
13	HER	3.3925	3.6925
14	FROM	3.6925	3.9225
15	THE	3.9225	3.9925
16	STORE	3.9925	4.5225
17	sp	4.5225	5.0525
18	SIX	5.0525	5.4725
19	SPOONS	5.4725	5.8325
20	OF	5.8325	5.9725
21	FRESH	5.9725	6.2325
22	SNOW	6.2325	6.5925
23	PEAS	6.5925	6.9925
24	sp	6.9925	7.2825
25	FIVE	7.2825	7.6225
26	sp	7.6225	7.6525
27	THICK	7.6525	7.8625
28	SLABS	7.8625	8.3125
29	OF	8.3125	8.4325
30	BLUE	8.4325	8.7225
31	CHEESE	8.7225	9.1625
32	sp	9.1625	9.6525
33	AND	9.6525	9.9125
34	MAYBE	9.9125	10.3425
35	A	10.3425	10.3925
36	SNACK	10.3925	10.8225
37	sp	10.8225	10.8425
38	FOR	10.8425	11.0325
39	HER	11.0325	11.1825
40	BROTHER	11.1825	11.5625
41	BOB	11.5625	11.8925
42	sp	11.8925	12.4225
43	WE	12.4225	12.5725
44	ALSO	12.5725	12.8525
45	NEED	12.8525	13.0525
46	A	13.0525	13.0925
47	SMALL	13.0925	13.5225
48	PLASTIC	13.5225	14.0125
49	SNAKE	14.0125	14.4725
50	sp	14.4725	14.5125
51	AND	14.5125	14.6825
52	A	14.6825	14.7825
53	BIG	14.7825	15.1725
54	TOY	15.1725	15.3925
55	FROG	15.3925	15.7825
56	FOR	15.7825	15.9325
57	THE	15.9325	16.0325
58	KIDS	16.0325	16.5325
59	sp	16.5325	16.9825
60	SHE	16.9825	17.1425
61	CAN	17.1425	17.2825
62	SCOOP	17.2825	17.6725
63	THESE	17.6725	17.8725
64	sp	17.8725	17.9125
65	THINGS	17.9125	18.2425
66	INTO	18.2425	18.4725
67	THREE	18.4725	18.8125
68	RED	18.8125	19.0825
69	BAGS	19.0825	19.5225
70	AND	19.5225	19.7225
71	WE	19.7225	19.9025
72	WILL	19.9025	20.0025
73	GO	20.0025	20.2025
74	MEET	20.2025	20.5025
75	HER	20.5025	20.6825
76	WEDNESDAY	20.6825	21.2525
77	AT	21.2525	21.4125
78	THE	21.4125	21.4725
79	TRAIN	21.4725	21.7525
80	STATION	21.7525	22.2425
81	sp	22.2425	22.7925
