1	sp	0.0125	0.1125
2	PLEASE	0.1125	0.4625
3	CALL	0.4625	0.6725
4	STELLA	0.6725	1.1425
5	sp	1.1425	2.1325
6	ASK	2.1325	2.4325
7	HER	2.4325	2.5525
8	TO	2.5525	2.6925
9	BRING	2.6925	2.9625
10	THESE	2.9625	3.0525
11	THINGS	3.0525	3.5625
12	sp	3.5625	3.6225
13	WITH	3.6225	3.7625
14	HER	3.7625	3.8925
15	FROM	3.8925	4.1225
16	THE	4.1225	4.1825
17	STORE	4.1825	4.6025
18	sp	4.6025	5.1325
19	SIX	5.1325	5.5325
20	SPOONS	5.5325	6.1925
21	OF	6.1925	6.2825
22	sp	6.2825	6.3625
23	FRESH	6.3625	6.5225
24	SNOW	6.5225	7.0225
25	PEAS	7.0225	7.5125
26	sp	7.5125	7.9625
27	FIVE	7.9625	8.2525
28	sp	8.2525	8.3325
29	THICK	8.3325	8.4825
30	SLABS	8.4825	9.0225
31	OF	9.0225	9.1925
32	sp	9.1925	9.3025
33	BLUE	9.3025	9.4625
34	CHEESE	9.4625	10.0325
35	sp	10.0325	10.5225
36	AND	10.5225	10.6625
37	MAYBE	10.6625	10.9925
38	A	10.9925	11.0325
39	SNACK	11.0325	11.5125
40	FOR	11.5125	11.7825
41	HER	11.7825	11.9425
42	sp	11.9425	12.0525
43	BROTHER	12.0525	12.4125
44	BOB	12.4125	12.6925
45	sp	12.6925	13.7725
46	WE	13.7725	13.8925
47	ALSO	13.8925	14.2125
48	NEED	14.2125	14.3925
49	A	14.3925	14.4325
50	SMALL	14.4325	14.7925
51	PLASTIC	14.7925	15.1925
52	SNAKE	15.1925	15.7525
53	sp	15.7525	16.1725
54	AND	16.1725	16.2825
55	A	16.2825	16.3525
56	BIG	16.3525	16.5825
57	sp	16.5825	16.6225
58	TOY	16.6225	16.8625
59	FROG	16.8625	17.3825
60	sp	17.3825	17.4825
61	FOR	17.4825	17.7325
62	sp	17.7325	18.0125
63	THE	18.0125	18.1225
64	KIDS	18.1225	18.6225
65	sp	18.6225	19.5825
66	SHE	19.5825	19.6925
67	CAN	19.6925	19.8325
68	SCOOP	19.8325	20.2225
69	THESE	20.2225	20.4225
70	THINGS	20.4225	20.8825
71	INTO	20.8825	21.1225
72	THREE	21.1225	21.3925
73	RED	21.3925	21.6525
74	BAGS	21.6525	22.2225
75	sp	22.2225	22.3225
76	AND	22.3225	22.4925
77	WE	22.4925	22.5525
78	WILL	22.5525	22.7925
79	GO	22.7925	23.0425
80	MEET	23.0425	23.5325
81	HER	23.5325	23.6425
82	WEDNESDAY	23.6425	24.2325
83	AT	24.2325	24.3825
84	THE	24.3825	24.5125
85	TRAIN	24.5125	24.7625
86	STATION	24.7625	25.2525
87	sp	25.2525	25.6825
