1	sp	0.0125	0.5925
2	PLEASE	0.5925	0.9725
3	CALL	0.9725	1.2225
4	STELLA	1.2225	1.8525
5	sp	1.8525	1.8925
6	ASK	1.8925	2.2725
7	HER	2.2725	2.4525
8	TO	2.4525	2.6625
9	BRING	2.6625	3.0325
10	THESE	3.0325	3.3825
11	THINGS	3.3825	3.8125
12	sp	3.8125	4.1925
13	WITH	4.1925	4.4525
14	HER	4.4525	4.7025
15	FROM	4.7025	5.2425
16	sp	5.2425	5.4125
17	THE	5.4125	5.7225
18	STORE	5.7225	6.3225
19	SIX	6.3225	6.7725
20	SPOONS	6.7725	7.2325
21	OF	7.2325	7.4925
22	sp	7.4925	8.1025
23	FRESH	8.1025	8.4625
24	SNOW	8.4625	8.8325
25	PEAS	8.8325	9.3825
26	sp	9.3825	9.7425
27	FIVE	9.7425	10.0125
28	sp	10.0125	10.1625
29	THICK	10.1625	10.3925
30	sp	10.3925	10.9625
31	SLABS	10.9625	11.5725
32	sp	11.5725	11.6725
33	OF	11.6725	11.8825
34	sp	11.8825	11.9325
35	BLUE	11.9325	12.1525
36	CHEESE	12.1525	12.6725
37	AND	12.6725	12.9825
38	MAYBE	12.9825	13.4325
39	A	13.4325	13.5925
40	SNACK	13.5925	13.9525
41	sp	13.9525	14.1325
42	FOR	14.1325	14.5025
43	HER	14.5025	14.6825
44	BROTHER	14.6825	15.0825
45	BOB	15.0825	15.4025
46	sp	15.4025	15.8825
47	WE	15.8825	16.0325
48	ALSO	16.0325	16.3425
49	NEED	16.3425	16.6325
50	A	16.6325	16.7325
51	SMALL	16.7325	17.1225
52	PLASTIC	17.1225	17.7025
53	SNAKE	17.7025	18.1425
54	AND	18.1425	18.4925
55	A	18.4925	18.5525
56	BIG	18.5525	18.8925
57	sp	18.8925	19.1425
58	TOY	19.1425	19.3825
59	FROG	19.3825	19.8525
60	sp	19.8525	20.5225
61	FOR	20.5225	20.7725
62	THE	20.7725	20.8725
63	KIDS	20.8725	21.4325
64	sp	21.4325	21.7625
65	SHE	21.7625	21.9425
66	CAN	21.9425	22.2625
67	SCOOP	22.2625	22.7825
68	sp	22.7825	22.8425
69	THESE	22.8425	23.1925
70	THINGS	23.1925	23.7025
71	INTO	23.7025	24.1325
72	THREE	24.1325	24.5425
73	RED	24.5425	24.8225
74	BAGS	24.8225	25.2725
75	AND	25.2725	25.6325
76	sp	25.6325	25.8725
77	WE	25.8725	26.1025
78	WILL	26.1025	26.2325
79	GO	26.2325	26.4825
80	MEET	26.4825	26.8125
81	HER	26.8125	27.1925
82	WEDNESDAY	27.1925	27.8225
83	AT	27.8225	28.0025
84	THE	28.0025	28.1425
85	TRAIN	28.1425	28.5125
86	STATION	28.5125	29.1525
87	sp	29.1525	29.4325
