1	sp	0.0125	0.5325
2	PLEASE	0.5325	0.9525
3	CALL	0.9525	1.2525
4	STELLA	1.2525	1.8125
5	sp	1.8125	2.1025
6	ASK	2.1025	2.4125
7	HER	2.4125	2.4725
8	TO	2.4725	2.6225
9	BRING	2.6225	3.0825
10	sp	3.0825	3.1525
11	THESE	3.1525	3.4525
12	sp	3.4525	3.5025
13	THINGS	3.5025	3.9425
14	WITH	3.9425	4.1425
15	HER	4.1425	4.3525
16	FROM	4.3525	4.7125
17	THE	4.7125	4.7925
18	STORE	4.7925	5.2325
19	sp	5.2325	5.7025
20	SIX	5.7025	6.0525
21	SPOONS	6.0525	6.4625
22	OF	6.4625	6.5425
23	FRESH	6.5425	6.8025
24	SNOW	6.8025	7.1225
25	PEAS	7.1225	7.5725
26	sp	7.5725	7.9925
27	FIVE	7.9925	8.3325
28	sp	8.3325	8.4325
29	THICK	8.4325	8.6725
30	SLABS	8.6725	9.3025
31	OF	9.3025	9.4325
32	BLUE	9.4325	9.6425
33	CHEESE	9.6425	10.2325
34	sp	10.2325	10.4525
35	AND	10.4525	10.5925
36	MAYBE	10.5925	10.8625
37	A	10.8625	10.9125
38	SNACK	10.9125	11.3725
39	FOR	11.3725	11.4825
40	HER	11.4825	11.5925
41	BROTHER	11.5925	11.9625
42	BOB	11.9625	12.3825
43	sp	12.3825	12.6025
44	WE	12.6025	12.6625
45	sp	12.6625	12.9225
46	ALSO	12.9225	13.3125
47	NEED	13.3125	13.5325
48	A	13.5325	13.5725
49	SMALL	13.5725	13.9725
50	PLASTIC	13.9725	14.4325
51	SNAKE	14.4325	14.9825
52	sp	14.9825	15.0425
53	AND	15.0425	15.2025
54	A	15.2025	15.2525
55	BIG	15.2525	15.5025
56	sp	15.5025	15.5425
57	TOY	15.5425	15.8025
58	FROG	15.8025	16.2425
59	sp	16.2425	16.3325
60	FOR	16.3325	16.5525
61	THE	16.5525	16.7325
62	KIDS	16.7325	17.2325
63	sp	17.2325	17.6425
64	SHE	17.6425	17.8725
65	CAN	17.8725	18.0725
66	SCOOP	18.0725	18.5525
67	THESE	18.5525	18.8825
68	sp	18.8825	18.9325
69	THINGS	18.9325	19.3325
70	INTO	19.3325	19.5225
71	THREE	19.5225	19.8525
72	RED	19.8525	20.1325
73	BAGS	20.1325	20.7025
74	sp	20.7025	20.9425
75	AND	20.9425	21.1125
76	WE	21.1125	21.1725
77	WILL	21.1725	21.4325
78	GO	21.4325	21.7025
79	MEET	21.7025	22.0325
80	HER	22.0325	22.2325
81	WEDNESDAY	22.2325	22.8325
82	AT	22.8325	23.0325
83	THE	23.0325	23.1025
84	TRAIN	23.1025	23.4125
85	STATION	23.4125	23.8625
86	sp	23.8625	24.6225
