1	sp	0.0125	0.5525
2	PLEASE	0.5525	0.8525
3	CALL	0.8525	1.1425
4	STELLA	1.1425	1.6925
5	sp	1.6925	2.0225
6	ASK	2.0225	2.3525
7	HER	2.3525	2.4325
8	TO	2.4325	2.5925
9	BRING	2.5925	2.9425
10	THESE	2.9425	3.1325
11	THINGS	3.1325	3.6025
12	WITH	3.6025	3.8325
13	HER	3.8325	4.0025
14	FROM	4.0025	4.3525
15	sp	4.3525	4.4825
16	THE	4.4825	4.6025
17	STORE	4.6025	5.0625
18	sp	5.0625	5.3925
19	SIX	5.3925	5.7925
20	sp	5.7925	5.8125
21	SPOONS	5.8125	6.3425
22	sp	6.3425	6.6625
23	OF	6.6625	6.9325
24	FRESH	6.9325	7.2625
25	SNOW	7.2625	7.6425
26	PEAS	7.6425	8.1025
27	sp	8.1025	8.4625
28	FIVE	8.4625	8.7425
29	sp	8.7425	9.0125
30	THICK	9.0125	9.2725
31	sp	9.2725	9.3725
32	SLABS	9.3725	9.8125
33	OF	9.8125	9.9425
34	BLUE	9.9425	10.2025
35	CHEESE	10.2025	10.6925
36	sp	10.6925	11.0425
37	AND	11.0425	11.2325
38	MAYBE	11.2325	11.5725
39	A	11.5725	11.6325
40	SNACK	11.6325	12.0925
41	sp	12.0925	12.1925
42	FOR	12.1925	12.3825
43	HER	12.3825	12.4425
44	BROTHER	12.4425	12.7825
45	BOB	12.7825	13.1725
46	sp	13.1725	13.5725
47	WE	13.5725	13.7425
48	ALSO	13.7425	14.1125
49	NEED	14.1125	14.4425
50	A	14.4425	14.5325
51	SMALL	14.5325	14.9125
52	PLASTIC	14.9125	15.5225
53	sp	15.5225	16.1525
54	SNAKE	16.1525	16.5225
55	sp	16.5225	16.7025
56	AND	16.7025	16.9325
57	A	16.9325	16.9925
58	BIG	16.9925	17.2825
59	sp	17.2825	17.3125
60	TOY	17.3125	17.7025
61	FROG	17.7025	18.1825
62	FOR	18.1825	18.3725
63	THE	18.3725	18.4925
64	KIDS	18.4925	18.9425
65	sp	18.9425	19.3925
66	SHE	19.3925	19.5225
67	CAN	19.5225	19.7025
68	SCOOP	19.7025	20.1225
69	THESE	20.1225	20.4325
70	sp	20.4325	20.4725
71	THINGS	20.4725	20.9525
72	sp	20.9525	21.0125
73	INTO	21.0125	21.4425
74	sp	21.4425	22.0125
75	THREE	22.0125	22.3025
76	RED	22.3025	22.5625
77	BAGS	22.5625	23.0025
78	sp	23.0025	23.0425
79	AND	23.0425	23.2325
80	WE	23.2325	23.3625
81	WILL	23.3625	23.5225
82	GO	23.5225	23.7725
83	MEET	23.7725	24.0325
84	HER	24.0325	24.3125
85	WEDNESDAY	24.3125	24.7925
86	AT	24.7925	25.0825
87	THE	25.0825	25.1825
88	TRAIN	25.1825	25.5225
89	STATION	25.5225	26.1125
90	sp	26.1125	26.4525
