1	sp	0.0125	0.1625
2	PLEASE	0.1625	0.5125
3	CALL	0.5125	0.9225
4	sp	0.9225	1.0225
5	STELLA	1.0225	1.5025
6	sp	1.5025	1.7925
7	ASK	1.7925	2.1625
8	HER	2.1625	2.3025
9	TO	2.3025	2.4925
10	BRING	2.4925	2.8825
11	THESE	2.8825	3.2525
12	sp	3.2525	3.3625
13	THINGS	3.3625	3.6925
14	sp	3.6925	3.8425
15	WITH	3.8425	4.0725
16	sp	4.0725	4.1525
17	HER	4.1525	4.3525
18	FROM	4.3525	4.7925
19	THE	4.7925	4.8825
20	STORE	4.8825	5.3625
21	sp	5.3625	6.1025
22	SIX	6.1025	6.4125
23	SPOONS	6.4125	7.0125
24	sp	7.0125	7.1225
25	OF	7.1225	7.2825
26	sp	7.2825	7.3225
27	FRESH	7.3225	7.8025
28	sp	7.8025	8.3125
29	SNOW	8.3125	8.7225
30	PEAS	8.7225	9.1125
31	sp	9.1125	9.7925
32	FIVE	9.7925	10.1725
33	sp	10.1725	10.5525
34	THICK	10.5525	10.7425
35	sp	10.7425	11.4425
36	SLABS	11.4425	11.8625
37	OF	11.8625	12.0425
38	BLUE	12.0425	12.4025
39	sp	12.4025	12.4325
40	CHEESE	12.4325	12.8725
41	sp	12.8725	13.3425
42	AND	13.3425	13.5425
43	MAYBE	13.5425	13.8925
44	A	13.8925	13.9425
45	SNACK	13.9425	14.3925
46	sp	14.3925	14.4825
47	FOR	14.4825	14.6525
48	HER	14.6525	14.8025
49	BROTHER	14.8025	15.2825
50	sp	15.2825	15.5025
51	BOB	15.5025	15.9125
52	sp	15.9125	16.8925
53	WE	16.8925	17.0725
54	ALSO	17.0725	17.4225
55	NEED	17.4225	17.7825
56	A	17.7825	17.8325
57	SMALL	17.8325	18.3325
58	PLASTIC	18.3325	18.9925
59	SNAKE	18.9925	19.4925
60	sp	19.4925	20.1325
61	AND	20.1325	20.3325
62	A	20.3325	20.4325
63	BIG	20.4325	20.7025
64	sp	20.7025	20.7725
65	TOY	20.7725	21.0925
66	FROG	21.0925	21.5425
67	sp	21.5425	21.6225
68	FOR	21.6225	21.8025
69	THE	21.8025	21.9725
70	KIDS	21.9725	22.3825
71	sp	22.3825	23.1225
72	SHE	23.1225	23.3425
73	CAN	23.3425	23.5625
74	SCOOP	23.5625	24.0825
75	sp	24.0825	24.1125
76	THESE	24.1125	24.3725
77	sp	24.3725	24.4525
78	THINGS	24.4525	24.8025
79	INTO	24.8025	25.1525
80	THREE	25.1525	25.5425
81	RED	25.5425	26.1325
82	sp	26.1325	26.3325
83	BAGS	26.3325	26.9125
84	sp	26.9125	27.5725
85	AND	27.5725	27.9325
86	WE	27.9325	28.1325
87	sp	28.1325	28.5525
88	WILL	28.5525	29.0225
89	sp	29.0225	29.0825
90	GO	29.0825	29.3725
91	MEET	29.3725	29.7525
92	HER	29.7525	30.1225
93	sp	30.1225	30.5225
94	WEDNESDAY	30.5225	31.2225
95	sp	31.2225	31.2525
96	AT	31.2525	31.4525
97	THE	31.4525	31.6125
98	TRAIN	31.6125	31.9725
99	STATION	31.9725	32.5925
100	sp	32.5925	33.0225
