1	sp	0.0125	0.3825
2	PLEASE	0.3825	0.7025
3	CALL	0.7025	0.9125
4	STELLA	0.9125	1.6325
5	ASK	1.6325	1.7925
6	HER	1.7925	1.8725
7	TO	1.8725	2.0325
8	BRING	2.0325	2.3425
9	sp	2.3425	2.3725
10	THESE	2.3725	2.6725
11	sp	2.6725	2.7125
12	THINGS	2.7125	3.1125
13	WITH	3.1125	3.2425
14	HER	3.2425	3.4625
15	sp	3.4625	3.4825
16	FROM	3.4825	3.7525
17	THE	3.7525	3.8125
18	STORE	3.8125	4.2825
19	sp	4.2825	4.8825
20	SIX	4.8825	5.2725
21	SPOONS	5.2725	5.6725
22	OF	5.6725	5.7525
23	sp	5.7525	5.8225
24	FRESH	5.8225	5.9925
25	SNOW	5.9925	6.2825
26	PEAS	6.2825	6.8125
27	sp	6.8125	6.9825
28	FIVE	6.9825	7.2025
29	sp	7.2025	7.2725
30	THICK	7.2725	7.4425
31	SLABS	7.4425	7.9525
32	OF	7.9525	8.0425
33	sp	8.0425	8.0925
34	BLUE	8.0925	8.2925
35	CHEESE	8.2925	8.7925
36	sp	8.7925	8.9425
37	AND	8.9425	9.1025
38	MAYBE	9.1025	9.2325
39	A	9.2325	9.2625
40	SNACK	9.2625	9.5625
41	sp	9.5625	9.6125
42	FOR	9.6125	9.7625
43	HER	9.7625	9.8725
44	BROTHER	9.8725	10.1825
45	BOB	10.1825	10.5225
46	sp	10.5225	11.0325
47	WE	11.0325	11.1525
48	ALSO	11.1525	11.3425
49	NEED	11.3425	11.5125
50	A	11.5125	11.5625
51	SMALL	11.5625	11.8725
52	PLASTIC	11.8725	12.3125
53	sp	12.3125	12.3725
54	SNAKE	12.3725	12.5825
55	AND	12.5825	12.7025
56	A	12.7025	12.7425
57	BIG	12.7425	12.9825
58	TOY	12.9825	13.2725
59	FROG	13.2725	13.6425
60	sp	13.6425	13.7825
61	FOR	13.7825	13.8425
62	THE	13.8425	13.9325
63	KIDS	13.9325	14.4825
64	sp	14.4825	14.8525
65	SHE	14.8525	14.9925
66	CAN	14.9925	15.1125
67	SCOOP	15.1125	15.4925
68	THESE	15.4925	15.8525
69	THINGS	15.8525	16.1725
70	INTO	16.1725	16.3725
71	THREE	16.3725	16.6625
72	RED	16.6625	16.8925
73	BAGS	16.8925	17.3625
74	AND	17.3625	17.4725
75	WE	17.4725	17.5325
76	WILL	17.5325	17.7525
77	GO	17.7525	17.9725
78	MEET	17.9725	18.2325
79	HER	18.2325	18.3825
80	WEDNESDAY	18.3825	18.8725
81	AT	18.8725	18.9325
82	THE	18.9325	19.0425
83	TRAIN	19.0425	19.3325
84	STATION	19.3325	19.7925
85	sp	19.7925	19.8425
