1	sp	0.0125	0.4625
2	PLEASE	0.4625	0.8525
3	CALL	0.8525	1.4825
4	STELLA	1.4825	1.9325
5	sp	1.9325	2.4925
6	ASK	2.4925	2.7825
7	sp	2.7825	2.8225
8	HER	2.8225	3.0325
9	TO	3.0325	3.1525
10	BRING	3.1525	3.5225
11	THESE	3.5225	3.9525
12	sp	3.9525	3.9925
13	THINGS	3.9925	4.5425
14	sp	4.5425	4.5725
15	WITH	4.5725	4.7925
16	HER	4.7925	5.0625
17	FROM	5.0625	5.2925
18	THE	5.2925	5.3625
19	STORE	5.3625	5.7425
20	sp	5.7425	6.4325
21	SIX	6.4325	6.7425
22	SPOONS	6.7425	7.0525
23	OF	7.0525	7.1325
24	FRESH	7.1325	7.6125
25	sp	7.6125	7.7025
26	SNOW	7.7025	8.0025
27	PEAS	8.0025	8.4725
28	sp	8.4725	9.2025
29	FIVE	9.2025	9.4525
30	THICK	9.4525	9.6925
31	SLABS	9.6925	10.0425
32	OF	10.0425	10.1225
33	sp	10.1225	10.1725
34	BLUE	10.1725	10.3825
35	CHEESE	10.3825	10.8725
36	sp	10.8725	11.1625
37	AND	11.1625	11.2825
38	MAYBE	11.2825	11.5225
39	A	11.5225	11.5525
40	SNACK	11.5525	12.5225
41	FOR	12.5225	12.7425
42	HER	12.7425	12.8425
43	BROTHER	12.8425	13.2325
44	BOB	13.2325	13.5525
45	sp	13.5525	14.2725
46	WE	14.2725	14.3725
47	ALSO	14.3725	14.6825
48	NEED	14.6825	14.8625
49	A	14.8625	14.9125
50	SMALL	14.9125	15.2725
51	PLASTIC	15.2725	15.7025
52	SNAKE	15.7025	16.3325
53	sp	16.3325	16.8025
54	AND	16.8025	16.9225
55	A	16.9225	16.9625
56	BIG	16.9625	17.3225
57	sp	17.3225	17.3725
58	TOY	17.3725	17.7425
59	FROG	17.7425	18.1425
60	FOR	18.1425	18.3325
61	THE	18.3325	18.4325
62	KIDS	18.4325	18.7825
63	sp	18.7825	19.4025
64	SHE	19.4025	19.5025
65	CAN	19.5025	19.6825
66	SCOOP	19.6825	20.2125
67	sp	20.2125	20.3925
68	THESE	20.3925	20.6925
69	sp	20.6925	20.7425
70	THINGS	20.7425	21.1325
71	INTO	21.1325	21.4525
72	sp	21.4525	21.4725
73	THREE	21.4725	21.7825
74	RED	21.7825	21.9625
75	BAGS	21.9625	22.4425
76	sp	22.4425	22.6925
77	AND	22.6925	22.8425
78	WE	22.8425	22.9225
79	WILL	22.9225	23.0925
80	GO	23.0925	23.2425
81	MEET	23.2425	23.4625
82	sp	23.4625	23.5225
83	HER	23.5225	23.6525
84	WEDNESDAY	23.6525	24.1625
85	AT	24.1625	24.2825
86	sp	24.2825	24.4125
87	THE	24.4125	24.4725
88	TRAIN	24.4725	24.6525
89	STATION	24.6525	25.0725
90	sp	25.0725	25.7925
