1	sp	0.0125	0.3625
2	PLEASE	0.3625	0.6325
3	CALL	0.6325	0.8825
4	STELLA	0.8825	1.2525
5	sp	1.2525	1.5525
6	ASK	1.5525	1.7725
7	HER	1.7725	1.8725
8	TO	1.8725	2.0325
9	BRING	2.0325	2.2825
10	THESE	2.2825	2.4325
11	THINGS	2.4325	2.7825
12	WITH	2.7825	2.9425
13	sp	2.9425	2.9625
14	HER	2.9625	3.2125
15	sp	3.2125	3.6725
16	FROM	3.6725	3.9025
17	THE	3.9025	3.9625
18	STORE	3.9625	4.3425
19	sp	4.3425	4.4125
20	SIX	4.4125	4.7325
21	SPOONS	4.7325	5.0325
22	OF	5.0325	5.0925
23	FRESH	5.0925	5.3425
24	SNOW	5.3425	5.5525
25	PEAS	5.5525	6.0425
26	sp	6.0425	6.3525
27	FIVE	6.3525	6.6425
28	sp	6.6425	6.7125
29	THICK	6.7125	6.8625
30	SLABS	6.8625	7.2225
31	OF	7.2225	7.3825
32	BLUE	7.3825	7.6525
33	CHEESE	7.6525	8.1625
34	sp	8.1625	8.4925
35	AND	8.4925	8.6625
36	MAYBE	8.6625	8.9425
37	A	8.9425	8.9825
38	SNACK	8.9825	9.3725
39	FOR	9.3725	9.5225
40	HER	9.5225	9.6425
41	BROTHER	9.6425	9.9825
42	BOB	9.9825	10.2725
43	sp	10.2725	10.9725
44	WE	10.9725	11.0525
45	ALSO	11.0525	11.3125
46	NEED	11.3125	11.4825
47	A	11.4825	11.5225
48	SMALL	11.5225	11.7925
49	PLASTIC	11.7925	12.2225
50	SNAKE	12.2225	12.6025
51	AND	12.6025	12.6925
52	A	12.6925	12.7225
53	BIG	12.7225	13.0125
54	sp	13.0125	13.0725
55	TOY	13.0725	13.3025
56	FROG	13.3025	13.6025
57	FOR	13.6025	13.7525
58	THE	13.7525	13.8325
59	KIDS	13.8325	14.2625
60	sp	14.2625	14.4125
61	SHE	14.4125	14.5725
62	CAN	14.5725	14.7225
63	SCOOP	14.7225	15.0025
64	THESE	15.0025	15.2425
65	THINGS	15.2425	15.5525
66	INTO	15.5525	15.7325
67	THREE	15.7325	16.0325
68	RED	16.0325	16.2225
69	BAGS	16.2225	16.6725
70	sp	16.6725	16.9625
71	AND	16.9625	17.1525
72	WE	17.1525	17.2425
73	WILL	17.2425	17.4325
74	GO	17.4325	17.6525
75	MEET	17.6525	17.8925
76	HER	17.8925	18.1325
77	sp	18.1325	18.4625
78	WEDNESDAY	18.4625	19.0525
79	AT	19.0525	19.2525
80	THE	19.2525	19.3625
81	TRAIN	19.3625	19.6625
82	STATION	19.6625	20.0425
83	sp	20.0425	20.7225
