1	sp	0.0125	0.2425
2	PLEASE	0.2425	0.5225
3	CALL	0.5225	0.7225
4	STELLA	0.7225	1.1425
5	sp	1.1425	1.1825
6	ASK	1.1825	1.4225
7	HER	1.4225	1.4825
8	TO	1.4825	1.6325
9	BRING	1.6325	1.9425
10	THESE	1.9425	2.0925
11	sp	2.0925	2.1225
12	THINGS	2.1225	2.4825
13	sp	2.4825	2.5225
14	WITH	2.5225	2.6625
15	HER	2.6625	2.8925
16	FROM	2.8925	3.1325
17	THE	3.1325	3.2225
18	STORE	3.2225	3.6425
19	SIX	3.6425	3.9625
20	SPOONS	3.9625	4.3125
21	OF	4.3125	4.4125
22	sp	4.4125	4.4825
23	FRESH	4.4825	4.7425
24	SNOW	4.7425	5.0925
25	sp	5.0925	5.1525
26	PEAS	5.1525	5.5125
27	sp	5.5125	5.8825
28	FIVE	5.8825	6.1625
29	THICK	6.1625	6.3325
30	SLABS	6.3325	6.8225
31	OF	6.8225	6.9125
32	BLUE	6.9125	7.1325
33	CHEESE	7.1325	7.6225
34	AND	7.6225	7.7625
35	MAYBE	7.7625	8.0225
36	A	8.0225	8.0525
37	SNACK	8.0525	8.4525
38	FOR	8.4525	8.5125
39	HER	8.5125	8.6325
40	BROTHER	8.6325	8.9725
41	BOB	8.9725	9.2825
42	sp	9.2825	9.6625
43	WE	9.6625	9.7225
44	ALSO	9.7225	10.0025
45	NEED	10.0025	10.1825
46	A	10.1825	10.2125
47	SMALL	10.2125	10.4725
48	PLASTIC	10.4725	10.8925
49	SNAKE	10.8925	11.3125
50	AND	11.3125	11.6025
51	A	11.6025	11.7325
52	sp	11.7325	12.3525
53	BIG	12.3525	12.6425
54	sp	12.6425	12.6725
55	TOY	12.6725	12.8525
56	FROG	12.8525	13.1725
57	FOR	13.1725	13.3025
58	THE	13.3025	13.4025
59	KIDS	13.4025	13.8725
60	SHE	13.8725	14.0525
61	CAN	14.0525	14.2525
62	SCOOP	14.2525	14.6525
63	sp	14.6525	14.8225
64	THESE	14.8225	15.3325
65	sp	15.3325	15.4325
66	THINGS	15.4325	16.0825
67	INTO	16.0825	16.3625
68	THREE	16.3625	16.6525
69	RED	16.6525	16.8725
70	BAGS	16.8725	17.3625
71	sp	17.3625	17.6625
72	AND	17.6625	17.8525
73	WE	17.8525	17.9625
74	WILL	17.9625	18.0825
75	GO	18.0825	18.2525
76	MEET	18.2525	18.4625
77	HER	18.4625	18.6425
78	sp	18.6425	18.7025
79	WEDNESDAY	18.7025	19.2325
80	AT	19.2325	19.6125
81	THE	19.6125	19.7125
82	TRAIN	19.7125	20.1125
83	sp	20.1125	20.1925
84	STATION	20.1925	20.9625
85	sp	20.9625	20.9925
