1	sp	0.0125	0.8625
2	PLEASE	0.8625	1.1625
3	CALL	1.1625	1.4825
4	STELLA	1.4825	1.9525
5	sp	1.9525	2.5925
6	ASK	2.5925	2.8825
7	HER	2.8825	3.0425
8	TO	3.0425	3.1825
9	BRING	3.1825	3.4625
10	THESE	3.4625	3.7025
11	THINGS	3.7025	4.0025
12	WITH	4.0025	4.1325
13	HER	4.1325	4.2725
14	FROM	4.2725	4.5525
15	THE	4.5525	4.6225
16	STORE	4.6225	5.1025
17	sp	5.1025	5.7925
18	SIX	5.7925	6.1525
19	SPOONS	6.1525	6.5625
20	OF	6.5625	6.6625
21	sp	6.6625	6.7225
22	FRESH	6.7225	7.0125
23	SNOW	7.0125	7.2825
24	PEAS	7.2825	7.7625
25	sp	7.7625	8.1825
26	FIVE	8.1825	8.4925
27	THICK	8.4925	8.7025
28	SLABS	8.7025	9.2125
29	OF	9.2125	9.3225
30	BLUE	9.3225	9.7025
31	CHEESE	9.7025	10.2625
32	sp	10.2625	10.5725
33	AND	10.5725	10.7925
34	MAYBE	10.7925	11.2325
35	A	11.2325	11.2625
36	SNACK	11.2625	11.6625
37	FOR	11.6625	11.7725
38	HER	11.7725	11.9925
39	BROTHER	11.9925	12.3825
40	BOB	12.3825	12.7925
41	sp	12.7925	13.4825
42	WE	13.4825	13.6325
43	ALSO	13.6325	14.0725
44	NEED	14.0725	14.4725
45	A	14.4725	14.5125
46	SMALL	14.5125	15.0125
47	PLASTIC	15.0125	15.4325
48	SNAKE	15.4325	15.9725
49	AND	15.9725	16.1825
50	A	16.1825	16.2325
51	BIG	16.2325	16.4925
52	sp	16.4925	16.5325
53	TOY	16.5325	16.8225
54	FROG	16.8225	17.2625
55	sp	17.2625	17.4325
56	FOR	17.4325	17.6125
57	THE	17.6125	17.6725
58	KIDS	17.6725	18.1825
59	sp	18.1825	18.8025
60	SHE	18.8025	19.0325
61	CAN	19.0325	19.2025
62	SCOOP	19.2025	19.6125
63	THESE	19.6125	19.8525
64	THINGS	19.8525	20.2525
65	INTO	20.2525	20.5625
66	THREE	20.5625	20.9425
67	RED	20.9425	21.1725
68	BAGS	21.1725	21.8325
69	sp	21.8325	22.1225
70	AND	22.1225	22.3325
71	WE	22.3325	22.3925
72	WILL	22.3925	22.6125
73	GO	22.6125	22.8725
74	MEET	22.8725	23.1825
75	HER	23.1825	23.4025
76	WEDNESDAY	23.4025	23.9825
77	AT	23.9825	24.1425
78	THE	24.1425	24.2225
79	TRAIN	24.2225	24.4925
80	STATION	24.4925	25.0725
81	sp	25.0725	25.9025
