"id" "Nativelikeness" "TextAspLenLD" "gender" "native.language" "age.of.english.onset" "learning.method" "english.residence" "length.of.english.residence"
"afrikaans1" 2.818518519 0.00729708 "f" "afrikaans" 9 "academic" "usa" 0.5
"afrikaans2" 3.424710425 0.00550719 "m" "afrikaans" 5 "academic" "usa" 10
"akan1" 3.370212766 0.00640099 "m" "akan" 5 "academic" "ghana,_usa" 41
"albanian1" 4.112582781 0.00740496 "m" "albanian" 6 "naturalistic" "usa" 3
"albanian2" 2.683544304 0.0081007 "m" "albanian" 15 "naturalistic" "usa" 0.04
"albanian3" 3.419354839 0.00812538 "m" "albanian" 35 "naturalistic" "usa" 9
"amharic1" 1.284671533 0.012495 "f" "amharic" 5 "academic" "usa" 2
"amharic2" 2 0.00895295 "m" "amharic" 7 "academic" "usa" 2
"amharic5" 1.82832618 0.012505 "m" "amharic" 7 "academic" "usa" 3
"arabic12" 1.689655172 0.0118761 "m" "arabic" 11 "academic" "usa" 8
"arabic17" 2.928301887 0.00686711 "m" "arabic" 15 "academic" "unknown" 0
"arabic18" 2.47826087 0.00968037 "m" "arabic" 6 "academic" "unknown" 0
"arabic19" 1.578059072 0.00965171 "m" "arabic" 18 "academic" "usa" 8
"arabic2" 5.021186441 0.00726693 "m" "arabic" 2.5 "naturalistic" "usa" 3
"arabic22" 2.956521739 0.00777879 "f" "arabic" 10 "academic" "unknown" 0
"arabic24" 1.178861789 0.00993527 "m" "arabic" 7 "academic" "uk" 3
"arabic26" 3.357798165 0.00898705 "f" "arabic" 14 "academic" "usa" 28
"arabic29" 1.555555556 0.0103088 "m" "arabic" 17 "academic" "usa" 0.3
"arabic3" 1.479166667 0.00932092 "m" "arabic" 9 "academic" "usa" 1
"arabic30" 5.783333333 0.00641826 "f" "arabic" 8 "naturalistic" "usa" 11
"arabic5" 2.281481481 0.00800155 "f" "arabic" 15 "academic" "usa" 0.6
"armenian1" 2.566115702 0.00685297 "f" "armenian" 9 "academic" "usa" 1
"armenian2" 2.672566372 0.00809672 "f" "armenian" 7 "academic" "usa" 5
"armenian5" 2.025210084 0.00994085 "f" "armenian" 15 "academic" "usa" 0.5
"azerbaijani2" 1.177419355 0.0129128 "f" "azerbaijani" 40 "naturalistic" "usa" 2
"baga1" 1.62962963 0.0125001 "m" "baga" 29 "academic" "usa" 2
"bai1" 1.238095238 0.00900259 "f" "bai" 40 "academic" "unknown" 0
"bambara2" 1.728070175 0.00936155 "f" "bambara" 18 "academic" "usa" 2
"bambara5" 1.983333333 0.00956143 "f" "bambara" 21 "academic" "usa" 1
"bamun1" 2.096491228 0.0109724 "f" "bamun" 15 "academic" "usa" 2
"basque2" 1.762237762 0.0109858 "m" "basque" 19 "naturalistic" "usa" 30
"bengali1" 1.581081081 0.0105762 "m" "bengali" 16 "academic" "usa" 1
"bengali2" 6.932885906 0.00514775 "f" "bengali" 2 "naturalistic" "usa" 21
"bengali5" 2.398305085 0.00775107 "f" "bengali" 5 "academic" "usa" 15
"bosnian3" 3.105263158 0.00714657 "f" "bosnian" 12 "academic" "usa" 1.5
"bosnian6" 2.508928571 0.00834169 "f" "bosnian" 22 "naturalistic" "usa" 8
"bosnian8" 2.59375 0.00775865 "f" "bosnian" 15 "academic" "usa" 1.5
"bulgarian1" 2.982758621 0.00814729 "f" "bulgarian" 16 "academic" "usa" 7
"bulgarian10" 2.00754717 0.00775137 "f" "bulgarian" 15 "academic" "usa" 2.5
"bulgarian5" 3.634482759 0.00706456 "m" "bulgarian" 14 "academic" "usa" 9
"bulgarian6" 3.852830189 0.00654046 "m" "bulgarian" 11 "naturalistic" "unknown" 0
"cantonese10" 2.426470588 0.0100797 "f" "cantonese" 3 "academic" "canada" 0.5
"cantonese17" 5.987288136 0.00595622 "f" "cantonese" 3 "academic" "uk,_usa" 15
"cantonese4" 1.48630137 0.0103301 "f" "cantonese" 13 "academic" "usa" 4
"cantonese8" 5.598214286 0.00623904 "f" "cantonese" 2 "academic" "canada" 15
"catalan1" 1.951048951 0.00899696 "m" "catalan" 13 "academic" "uk" 0.2
"cebuano1" 6.848101266 0.00450691 "f" "cebuano" 1 "naturalistic" "philippines" 21
"croatian2" 3.55862069 0.00743689 "f" "croatian" 10 "academic" "unknown" 0
"croatian3" 3.733870968 0.00660722 "f" "croatian" 10 "academic" "new_zealand,_usa" 0
"czech4" 4.445378151 0.00749609 "f" "czech" 15 "academic" "usa" 16
"danish1" 2.830985915 0.00694668 "f" "danish" 11 "academic" "usa" 8
"dutch11" 4.355932203 0.00726145 "m" "dutch" 14 "academic" "usa" 5
"dutch13" 3.227272727 0.00726779 "f" "dutch" 10 "academic" "usa" 0.5
"dutch16" 4.121212121 0.00587143 "f" "dutch" 12 "academic" "unknown" 0
"dutch3" 3.602272727 0.00821234 "m" "dutch" 6 "academic" "unknown" 0
"dutch7" 4.488986784 0.0078864 "m" "dutch" 10 "academic" "usa" 4
"dutch9" 3.545454545 0.00759854 "f" "dutch" 12 "academic" "usa" 3
"edo1" 1.719008264 0.0109603 "m" "edo" 6 "academic" "usa" 4
"english103" 6.790540541 0.00513599 "m" "english" 0 "naturalistic" "usa" 21
"english11" 4.503597122 0.00578108 "f" "english" 0 "naturalistic" "uk" 35
"english125" 3.477099237 0.00619409 "m" "english" 0 "naturalistic" "australia" 28
"english145" 3.746153846 0.006137 "m" "english" 0 "naturalistic" "uk" 13
"english2" 3.857142857 0.00539439 "f" "english" 0 "naturalistic" "uk" 30
"english23" 6.92074928 0.00648077 "m" "english" 0 "naturalistic" "usa" 43
"english24" 3.977941176 0.00730191 "m" "english" 0 "naturalistic" "uk,usa" 37
"english26" 6.855769231 0.00611584 "m" "english" 0 "naturalistic" "usa" 71
"english4" 4.207407407 0.00654936 "f" "english" 0 "naturalistic" "jamaica,usa" 53
"english54" 6.95463138 0.00463744 "f" "english" 0 "naturalistic" "usa" 40
"english59" 6.968632371 0.00508824 "m" "english" 0 "naturalistic" "usa" 30
"english76" 6.943820225 0.00430822 "f" "english" 0 "naturalistic" "usa" 18
"english87" 4.030418251 0.00746698 "f" "english" 0 "naturalistic" "australia" 18
"english91" 4.480769231 0.00648154 "m" "english" 0 "naturalistic" "jamaica" 23
"fang1" 1.5 0.0126555 "f" "fang" 11 "academic" "usa" 1
"farsi1" 2.867132867 0.00919295 "m" "farsi" 13 "academic" "usa" 0.6
"farsi11" 5.909722222 0.00620392 "f" "farsi" 4 "naturalistic" "usa" 30
"farsi2" 1.936507937 0.00947403 "f" "farsi" 18 "academic" "usa" 1.5
"farsi4" 1.468619247 0.00923297 "f" "farsi" 15 "academic" "usa" 1.5
"farsi8" 3.163934426 0.00737228 "f" "farsi" 11 "academic" "usa" 1.75
"finnish1" 3.706896552 0.00645968 "f" "finnish" 9 "academic" "usa" 0.5
"finnish2" 3.6 0.00704691 "m" "finnish" 7 "academic" "unknown" 0
"finnish3" 4.484375 0.00525096 "f" "finnish" 7 "academic" "usa" 0.2
"french1" 2.813559322 0.00773073 "f" "french" 12 "academic" "usa" 0.4
"french10" 3.966386555 0.00604218 "m" "french" 10 "academic" "ireland" 1
"french12" 4.46835443 0.00600613 "f" "french" 9 "academic" "australia" 0.2
"french14" 3.440559441 0.00615953 "f" "french" 14 "academic" "usa" 1
"french15" 2.0651341 0.00819367 "m" "french" 12 "academic" "unknown" 0
"french17" 2.648148148 0.0076687 "m" "french" 14 "academic" "usa" 5
"french21" 1.714912281 0.00892827 "m" "french" 9 "academic" "uk" 0.5
"french24" 2.153846154 0.00709251 "m" "french" 13 "academic" "unknown" 0
"french25" 4.153846154 0.00636114 "m" "french" 12 "academic" "uk" 0.1
"french26" 4.761904762 0.00595885 "f" "french" 11 "naturalistic" "usa,_canada" 4
"french29" 2.831932773 0.00694722 "f" "french" 10 "academic" "usa" 26
"french3" 2.325757576 0.0076212 "f" "french" 11 "academic" "usa" 0.2
"french7" 3.877192982 0.00733197 "m" "french" 5 "academic" "canada" 18
"ga3" 2.571428571 0.00875929 "f" "ga" 5 "academic" "usa" 1
"georgian1" 2.384615385 0.00944547 "f" "georgian" 28 "academic" "usa" 2
"german1" 3.134453782 0.00978017 "f" "german" 12 "academic" "usa" 25
"german14" 4.008928571 0.00716864 "f" "german" 10 "academic" "usa" 0.25
"german16" 4.51369863 0.00670653 "f" "german" 11 "academic" "uk,_usa" 4
"german18" 3.440559441 0.00808532 "m" "german" 6 "academic" "australia" 7
"german2" 2.88372093 0.00688833 "f" "german" 12 "academic" "usa" 0.5
"german21" 3.495726496 0.00706242 "f" "german" 10 "academic" "usa" 1.2
"german22" 3.5 0.00876506 "f" "german" 12 "academic" "usa" 2.5
"german6" 4.732142857 0.00649666 "m" "german" 8 "academic" "unknown" 0
"german7" 3.693181818 0.00703371 "m" "german" 11 "academic" "usa" 1
"greek1" 1.589552239 0.0112296 "m" "greek" 9 "academic" "usa" 0.25
"greek2" 2.130769231 0.00880823 "f" "greek" 9 "academic" "usa" 1.5
"greek4" 3.604347826 0.00669866 "m" "greek" 7 "academic" "unknown" 0
"greek5" 2.4375 0.00836413 "m" "greek" 25 "academic" "usa" 29
"greek7" 3.585365854 0.00756458 "m" "greek" 4 "naturalistic" "uk" 0.25
"gujarati1" 1.537190083 0.0120972 "m" "gujarati" 15 "academic" "usa" 0.5
"gujarati3" 3.79338843 0.00723202 "f" "gujarati" 2 "naturalistic" "india,usa,ireland" 3
"gujarati5" 3.833333333 0.00686127 "f" "gujarati" 3 "academic" "usa" 4
"gusii1" 1.937062937 0.00920754 "m" "gusii" 12 "academic" "usa" 15
"hadiyya1" 1.977678571 0.00879555 "m" "hadiyya" 12 "academic" "uk,_usa" 8.5
"hadiyya2" 1.657894737 0.00996216 "m" "hadiyya" 11 "academic" "usa" 4
"hausa1" 2.708333333 0.00731414 "m" "hausa" 7 "academic" "nigeria,_usa" 28
"hausa2" 2.634920635 0.0078655 "m" "hausa" 10 "academic" "nigeria,_usa" 46
"hausa7" 3.324894515 0.00813042 "m" "hausa" 7 "academic" "nigeria,_usa" 52
"hausa8" 4.035087719 0.00764434 "m" "hausa" 7 "academic" "usa" 4
"hebrew1" 2.597222222 0.00903752 "m" "hebrew" 10 "academic" "unknown" 0
"hebrew2" 3.172131148 0.00717817 "m" "hebrew" 10 "academic" "unknown" 0
"hindi1" 2.9375 0.00852034 "m" "hindi" 2 "academic" "uk,usa" 3.5
"hindi3" 4.24789916 0.00599768 "m" "hindi" 5 "academic" "usa" 25
"hindi4" 3.006944444 0.00638316 "f" "hindi" 14 "academic" "usa" 2
"hindi5" 2.119266055 0.00907631 "f" "hindi" 10 "academic" "usa" 40
"hindi6" 2.859259259 0.00677116 "f" "hindi" 4 "academic" "usa" 1
"hindi8" 3.304832714 0.00693325 "m" "hindi" 8 "academic" "usa" 0.75
"hungarian2" 2.615384615 0.0091788 "f" "hungarian" 8 "academic" "usa" 1
"hungarian3" 2.488549618 0.00745654 "m" "hungarian" 8 "academic" "usa" 5
"hungarian4" 3.276315789 0.00714192 "m" "hungarian" 5 "academic" "usa" 6
"hungarian6" 5.016528926 0.00791998 "f" "hungarian" 14 "academic" "usa,uk" 7
"hungarian7" 3.507692308 0.00728998 "f" "hungarian" 17 "naturalistic" "usa" 40
"igbo3" 3.84375 0.00651498 "m" "igbo" 5 "academic" "nigeria,_usa" 35
"indonesian2" 3.371212121 0.0089721 "m" "indonesian" 13 "academic" "canada" 2.5
"indonesian3" 1.407407407 0.00950823 "f" "indonesian" 13 "academic" "usa" 0.6
"italian11" 2.8 0.00741156 "m" "italian" 18 "academic" "uk" 0.25
"italian12" 2.303964758 0.00839955 "f" "italian" 14 "academic" "zimbabwe,_usa" 6.5
"italian14" 2.537815126 0.00719195 "m" "italian" 8 "academic" "uk" 0.1
"italian15" 3.573529412 0.00630146 "m" "italian" 15 "academic" "uk" 6
"italian19" 2.903846154 0.00849768 "m" "italian" 11 "academic" "unknown" 0
"italian21" 3.333333333 0.00827435 "m" "italian" 20 "academic" "usa,_australia" 12
"italian6" 1.873134328 0.00940688 "f" "italian" 15 "academic" "unknown" 0
"italian7" 2.324528302 0.00718431 "m" "italian" 8 "academic" "usa" 0.1
"japanese1" 2.075862069 0.0103521 "f" "japanese" 12 "academic" "usa" 2
"japanese10" 3.06779661 0.00834924 "f" "japanese" 12 "academic" "usa" 4
"japanese11" 1.56302521 0.0107391 "f" "japanese" 13 "academic" "usa" 4.5
"japanese4" 1.193103448 0.00978616 "m" "japanese" 15 "academic" "usa" 0.75
"japanese5" 2.161538462 0.00818488 "f" "japanese" 12 "academic" "usa" 0.4
"japanese7" 4.072796935 0.006027 "m" "japanese" 12 "academic" "unknown" 0
"japanese9" 3.36036036 0.00812659 "m" "japanese" 13 "academic" "canada" 4
"kambaata1" 2.055944056 0.0077154 "m" "kambaata" 9 "academic" "usa" 12
"kambaata2" 2.244635193 0.00813829 "m" "kambaata" 7 "academic" "usa" 11
"kanuri1" 2.224489796 0.00898105 "f" "kanuri" 6 "academic" "nigeria,_usa" 48
"khmer1" 1.648275862 0.0105302 "f" "khmer" 16 "academic" "usa" 3
"khmer2" 1.810699588 0.0100819 "m" "khmer" 16 "academic" "usa" 4
"kiswahili1" 2.098859316 0.00807608 "m" "kiswahili" 6 "academic" "usa" 0.3
"kiswahili6" 2.65503876 0.00809314 "f" "kiswahili" 8 "academic" "usa" 9
"kiswahili7" 4.614678899 0.00693075 "f" "kiswahili" 5 "academic" "uk,_usa" 27
"korean16" 1.802631579 0.00881418 "f" "korean" 13 "academic" "usa" 0.2
"korean17" 1.381481481 0.00889569 "m" "korean" 8 "academic" "usa" 0.3
"korean2" 1.309433962 0.00877468 "f" "korean" 14 "academic" "usa" 0.1
"korean3" 2.253968254 0.00863637 "f" "korean" 17 "academic" "usa" 0.6
"korean4" 2.572614108 0.00851635 "f" "korean" 15 "academic" "usa" 2
"korean5" 2.743055556 0.00744261 "f" "korean" 12 "academic" "usa" 23
"korean8" 1.848214286 0.00747127 "f" "korean" 13 "academic" "usa" 10
"krio1" 2.507042254 0.00986295 "f" "krio" 5 "academic" "usa" 16
"krio2" 5.042253521 0.00688032 "m" "krio" 5 "naturalistic" "sierra_leone,_usa" 26
"krio5" 1.417910448 0.0124134 "m" "krio" 6 "naturalistic" "sierra_leone,_usa" 26
"kurdish1" 2.561151079 0.00782283 "m" "kurdish" 15 "academic" "usa" 1.5
"kurdish3" 1.660714286 0.00902442 "f" "kurdish" 12 "academic" "usa" 10
"lamotrekese1" 4.033755274 0.00600741 "m" "lamotrekese" 14 "academic" "usa" 4
"lao2" 1.387096774 0.0131383 "f" "lao" 21 "academic" "usa" 3
"latvian1" 2.579310345 0.00782213 "f" "latvian" 13 "academic" "usa" 0.2
"lithuanian1" 2.547945205 0.00845586 "f" "lithuanian" 24 "naturalistic" "usa" 3
"luo2" 3.24137931 0.00701705 "f" "luo" 5 "academic" "usa,_uk,_kenya" 4
"macedonian1" 2.401408451 0.00900183 "m" "macedonian" 11 "academic" "usa" 2.25
"mandarin13" 2.418250951 0.00699499 "m" "mandarin" 13 "academic" "unknown" 0
"mandarin15" 4.79338843 0.00684896 "f" "mandarin" 11 "academic" "new_zealand,_usa,_uk" 4
"mandarin16" 4.333333333 0.00725631 "m" "mandarin" 10 "academic" "usa" 1.35
"mandarin4" 1.529182879 0.00810051 "f" "mandarin" 6 "academic" "usa" 1
"mandarin5" 1.892241379 0.0106141 "f" "mandarin" 12 "academic" "usa" 2
"mandarin6" 2.318584071 0.00933045 "f" "mandarin" 12 "academic" "usa" 5
"mandarin7" 6.618644068 0.0047969 "m" "mandarin" 5 "naturalistic" "usa" 22
"mandingo1" 1.935185185 0.0108677 "m" "mandingo" 9 "academic" "usa" 3.5
"mandinka1" 2.727272727 0.00757886 "m" "mandinka" 12 "academic" "unknown" 0
"marathi1" 3.416666667 0.00850757 "f" "marathi" 3 "academic" "usa" 4
"marathi3" 4.149253731 0.00632686 "m" "marathi" 2 "academic" "australia" 4
"mende1" 3.126760563 0.00723877 "m" "mende" 5 "academic" "liberia,_usa" 35
"mongolian1" 2.629032258 0.00780486 "f" "mongolian" 15 "naturalistic" "usa" 3
"moore1" 2.986111111 0.0077799 "f" "moore" 12 "academic" "usa" 8
"norwegian1" 2.80952381 0.0096286 "f" "norwegian" 10 "academic" "usa" 0.3
"norwegian2" 5.848214286 0.00551269 "f" "norwegian" 12 "academic" "usa" 32
"norwegian3" 4.381944444 0.00668691 "m" "norwegian" 5 "naturalistic" "usa" 0.8
"norwegian5" 4.247706422 0.00718 "f" "norwegian" 9 "academic" "usa" 0.5
"oriya1" 2.435897436 0.00960993 "m" "oriya" 5 "academic" "unknown" 0
"pashto1" 3.515625 0.00729153 "f" "pashto" 12 "academic" "usa" 28
"polish1" 2.208333333 0.00980991 "f" "polish" 23 "academic" "usa" 0.25
"polish6" 3.859649123 0.0060836 "f" "polish" 8 "academic" "usa" 2
"polish8" 2.47826087 0.00889046 "m" "polish" 11 "academic" "unknown" 0
"portuguese2" 2.395437262 0.00608303 "f" "portuguese" 10 "academic" "usa" 0.2
"portuguese20" 2.901515152 0.00736206 "m" "portuguese" 10 "academic" "unknown" 0
"portuguese21" 3.075 0.00706033 "m" "portuguese" 17 "academic" "unknown" 0
"portuguese23" 3.647058824 0.0065271 "f" "portuguese" 10 "academic" "south_africa" 1
"portuguese25" 1.841666667 0.00881172 "f" "portuguese" 18 "academic" "usa" 1
"portuguese26" 3.948497854 0.00668111 "f" "portuguese" 10 "academic" "usa" 6
"portuguese3" 1.888888889 0.0102747 "f" "portuguese" 15 "academic" "usa" 1.2
"portuguese7" 2.73015873 0.00862512 "m" "portuguese" 11 "naturalistic" "unknown" 0
"portuguese8" 3.021008403 0.00712677 "m" "portuguese" 7 "academic" "uk" 8.5
