1	sp	0.0125	0.2625
2	PLEASE	0.2625	0.6625
3	CALL	0.6625	0.9625
4	STELLA	0.9625	1.5125
5	sp	1.5125	2.2625
6	ASK	2.2625	2.5725
7	HER	2.5725	2.9225
8	TO	2.9225	3.1225
9	BRING	3.1225	3.5025
10	sp	3.5025	3.5525
11	THESE	3.5525	3.9925
12	THINGS	3.9925	4.6225
13	sp	4.6225	5.4525
14	WITH	5.4525	5.7425
15	HER	5.7425	5.9025
16	FROM	5.9025	6.3225
17	THE	6.3225	6.4425
18	STORE	6.4425	6.9025
19	sp	6.9025	7.1925
20	SIX	7.1925	7.6125
21	SPOONS	7.6125	8.4025
22	sp	8.4025	8.8325
23	OF	8.8325	8.9425
24	FRESH	8.9425	9.3025
25	SNOW	9.3025	9.7725
26	PEAS	9.7725	10.5025
27	sp	10.5025	11.1625
28	FIVE	11.1625	11.5025
29	THICK	11.5025	11.9125
30	SLABS	11.9125	12.6325
31	sp	12.6325	13.3125
32	OF	13.3125	13.5425
33	BLUE	13.5425	13.7625
34	CHEESE	13.7625	14.2425
35	sp	14.2425	14.8825
36	AND	14.8825	15.0925
37	MAYBE	15.0925	15.3825
38	A	15.3825	15.4125
39	SNACK	15.4125	15.8525
40	sp	15.8525	15.9325
41	FOR	15.9325	16.2825
42	HER	16.2825	16.6925
43	BROTHER	16.6925	17.1325
44	BOB	17.1325	17.4125
45	sp	17.4125	18.9325
46	WE	18.9325	19.0925
47	ALSO	19.0925	19.4825
48	NEED	19.4825	19.7525
49	A	19.7525	19.7925
50	SMALL	19.7925	20.2525
51	PLASTIC	20.2525	20.7425
52	SNAKE	20.7425	21.3225
53	sp	21.3225	21.5125
54	AND	21.5125	21.6625
55	A	21.6625	21.7125
56	BIG	21.7125	21.9725
57	TOY	21.9725	22.2825
58	FROG	22.2825	22.7525
59	sp	22.7525	23.3025
60	FOR	23.3025	23.5525
61	sp	23.5525	23.6025
62	THE	23.6025	23.9425
63	sp	23.9425	25.5325
64	KIDS	25.5325	26.3525
65	sp	26.3525	28.1825
66	SHE	28.1825	28.3825
67	CAN	28.3825	28.5425
68	SCOOP	28.5425	29.3325
69	sp	29.3325	29.7825
70	THESE	29.7825	30.1225
71	THINGS	30.1225	30.4425
72	INTO	30.4425	30.7125
73	THREE	30.7125	31.0925
74	RED	31.0925	31.4225
75	BAGS	31.4225	31.8525
76	sp	31.8525	32.4225
77	AND	32.4225	32.6225
78	WE	32.6225	32.7625
79	WILL	32.7625	33.0025
80	sp	33.0025	33.4825
81	GO	33.4825	33.7925
82	MEET	33.7925	34.1225
83	HER	34.1225	34.5625
84	WEDNESDAY	34.5625	35.3025
85	sp	35.3025	35.6025
86	AT	35.6025	35.7825
87	THE	35.7825	35.8625
88	TRAIN	35.8625	36.1225
89	STATION	36.1225	36.5825
90	sp	36.5825	36.9825
