1	sp	0.0125	0.1925
2	PLEASE	0.1925	0.5525
3	CALL	0.5525	0.8725
4	STELLA	0.8725	1.3025
5	sp	1.3025	1.6925
6	ASK	1.6925	1.9725
7	HER	1.9725	2.0425
8	TO	2.0425	2.1725
9	BRING	2.1725	2.4425
10	THESE	2.4425	2.6425
11	THINGS	2.6425	2.9225
12	WITH	2.9225	3.0825
13	HER	3.0825	3.1725
14	FROM	3.1725	3.3525
15	THE	3.3525	3.4325
16	STORE	3.4325	3.8425
17	sp	3.8425	4.0025
18	SIX	4.0025	4.2925
19	SPOONS	4.2925	4.7625
20	OF	4.7625	4.8625
21	FRESH	4.8625	5.1625
22	SNOW	5.1625	5.5325
23	PEAS	5.5325	6.0625
24	sp	6.0625	6.1525
25	FIVE	6.1525	6.4125
26	sp	6.4125	6.4625
27	THICK	6.4625	6.6625
28	SLABS	6.6625	7.0825
29	OF	7.0825	7.1525
30	BLUE	7.1525	7.4225
31	CHEESE	7.4225	7.8625
32	AND	7.8625	8.0625
33	MAYBE	8.0625	8.3025
34	A	8.3025	8.3325
35	SNACK	8.3325	8.7425
36	FOR	8.7425	8.8925
37	HER	8.8925	9.0525
38	BROTHER	9.0525	9.3325
39	BOB	9.3325	9.7025
40	sp	9.7025	10.4325
41	WE	10.4325	10.5425
42	ALSO	10.5425	10.7825
43	NEED	10.7825	10.9425
44	A	10.9425	10.9725
45	SMALL	10.9725	11.1025
46	PLASTIC	11.1025	11.5725
47	SNAKE	11.5725	11.9925
48	AND	11.9925	12.1225
49	A	12.1225	12.1825
50	BIG	12.1825	12.4325
51	TOY	12.4325	12.6525
52	FROG	12.6525	13.0125
53	FOR	13.0125	13.1325
54	THE	13.1325	13.2125
55	KIDS	13.2125	13.7125
56	sp	13.7125	13.8125
57	SHE	13.8125	14.0125
58	CAN	14.0125	14.1525
59	SCOOP	14.1525	14.4225
60	THESE	14.4225	14.6425
61	THINGS	14.6425	14.8725
62	INTO	14.8725	15.0925
63	THREE	15.0925	15.3425
64	RED	15.3425	15.6025
65	BAGS	15.6025	16.0625
66	AND	16.0625	16.1725
67	WE	16.1725	16.2325
68	WILL	16.2325	16.4525
69	GO	16.4525	16.6225
70	MEET	16.6225	16.8125
71	HER	16.8125	16.9025
72	WEDNESDAY	16.9025	17.3525
73	AT	17.3525	17.5425
74	THE	17.5425	17.6425
75	TRAIN	17.6425	17.9825
76	STATION	17.9825	18.4525
77	sp	18.4525	18.9525
