1	sp	0.0125	0.2025
2	PLEASE	0.2025	0.5425
3	CALL	0.5425	0.8425
4	STELLA	0.8425	1.3525
5	ASK	1.3525	1.7825
6	HER	1.7825	1.8925
7	TO	1.8925	2.0625
8	BRING	2.0625	2.4625
9	sp	2.4625	2.6625
10	THESE	2.6625	3.1225
11	THINGS	3.1225	3.6025
12	WITH	3.6025	3.8925
13	HER	3.8925	4.0725
14	FROM	4.0725	4.4625
15	THE	4.4625	4.5325
16	STORE	4.5325	4.9025
17	sp	4.9025	5.0225
18	SIX	5.0225	5.5025
19	SPOONS	5.5025	5.9325
20	OF	5.9325	6.1225
21	FRESH	6.1225	6.5625
22	sp	6.5625	7.0225
23	SNOW	7.0225	7.4125
24	sp	7.4125	7.9625
25	PEAS	7.9625	8.3925
26	sp	8.3925	8.8225
27	FIVE	8.8225	9.2525
28	THICK	9.2525	9.4625
29	SLABS	9.4625	10.1925
30	sp	10.1925	10.2225
31	OF	10.2225	10.4125
32	BLUE	10.4125	10.7225
33	CHEESE	10.7225	11.2125
34	AND	11.2125	11.4625
35	MAYBE	11.4625	11.8625
36	A	11.8625	11.9325
37	SNACK	11.9325	12.3225
38	FOR	12.3225	12.7925
39	sp	12.7925	12.8325
40	HER	12.8325	13.3925
41	BROTHER	13.3925	13.9025
42	BOB	13.9025	14.2925
43	sp	14.2925	14.3525
44	WE	14.3525	14.5525
45	ALSO	14.5525	14.9225
46	NEED	14.9225	15.1725
47	A	15.1725	15.2125
48	SMALL	15.2125	15.5625
49	PLASTIC	15.5625	16.0225
50	SNAKE	16.0225	16.4525
51	sp	16.4525	16.6825
52	AND	16.6825	16.9325
53	A	16.9325	16.9825
54	BIG	16.9825	17.4025
55	TOY	17.4025	17.9925
56	FROG	17.9925	18.5125
57	sp	18.5125	18.7325
58	FOR	18.7325	19.2625
59	sp	19.2625	19.9925
60	THE	19.9925	20.2425
61	KIDS	20.2425	20.8125
62	sp	20.8125	20.9925
63	SHE	20.9925	21.2525
64	CAN	21.2525	21.6125
65	sp	21.6125	21.7525
66	SCOOP	21.7525	22.2725
67	sp	22.2725	22.3125
68	THESE	22.3125	22.6225
69	THINGS	22.6225	22.9825
70	INTO	22.9825	23.3325
71	sp	23.3325	23.4325
72	THREE	23.4325	23.6725
73	sp	23.6725	23.7825
74	RED	23.7825	24.0625
75	BAGS	24.0625	24.5525
76	AND	24.5525	24.7825
77	WE	24.7825	24.9425
78	WILL	24.9425	25.1825
79	sp	25.1825	25.5425
80	GO	25.5425	25.7625
81	MEET	25.7625	26.0125
82	HER	26.0125	26.2325
83	WEDNESDAY	26.2325	26.7725
84	AT	26.7725	26.9425
85	THE	26.9425	27.1625
86	TRAIN	27.1625	27.4725
87	STATION	27.4725	28.2525
88	sp	28.2525	28.3225
