1	sp	0.0125	0.5925
2	PLEASE	0.5925	0.9825
3	CALL	0.9825	1.2425
4	STELLA	1.2425	1.8525
5	sp	1.8525	2.4625
6	ASK	2.4625	2.8025
7	HER	2.8025	2.8825
8	TO	2.8825	3.0425
9	BRING	3.0425	3.3625
10	THESE	3.3625	3.6725
11	sp	3.6725	3.7125
12	THINGS	3.7125	4.1225
13	WITH	4.1225	4.2625
14	HER	4.2625	4.5125
15	FROM	4.5125	4.7625
16	THE	4.7625	4.8425
17	STORE	4.8425	5.3425
18	sp	5.3425	6.2725
19	SIX	6.2725	6.6825
20	SPOONS	6.6825	7.4225
21	OF	7.4225	7.5125
22	sp	7.5125	7.6025
23	FRESH	7.6025	7.8225
24	SNOW	7.8225	8.1625
25	PEAS	8.1625	8.7125
26	sp	8.7125	9.4625
27	FIVE	9.4625	9.6925
28	sp	9.6925	9.7925
29	THICK	9.7925	9.9925
30	SLABS	9.9925	10.5125
31	OF	10.5125	10.6325
32	BLUE	10.6325	10.8525
33	CHEESE	10.8525	11.5325
34	sp	11.5325	11.9225
35	AND	11.9225	12.0925
36	MAYBE	12.0925	12.3925
37	A	12.3925	12.4225
38	SNACK	12.4225	12.8725
39	sp	12.8725	12.8825
40	FOR	12.8825	13.0325
41	HER	13.0325	13.1525
42	BROTHER	13.1525	13.4725
43	BOB	13.4725	13.8325
44	sp	13.8325	14.9325
45	WE	14.9325	15.0525
46	ALSO	15.0525	15.3725
47	NEED	15.3725	15.5325
48	A	15.5325	15.5725
49	SMALL	15.5725	15.9525
50	PLASTIC	15.9525	16.4425
51	SNAKE	16.4425	16.9825
52	sp	16.9825	17.5325
53	AND	17.5325	17.7225
54	A	17.7225	17.7725
55	BIG	17.7725	18.0025
56	sp	18.0025	18.0925
57	TOY	18.0925	18.2825
58	FROG	18.2825	18.6825
59	FOR	18.6825	18.8725
60	THE	18.8725	18.9925
61	KIDS	18.9925	19.5325
62	sp	19.5325	20.4325
63	SHE	20.4325	20.6425
64	CAN	20.6425	20.8325
65	SCOOP	20.8325	21.2625
66	sp	21.2625	21.3625
67	THESE	21.3625	21.6625
68	THINGS	21.6625	22.1325
69	sp	22.1325	22.5225
70	INTO	22.5225	22.8125
71	THREE	22.8125	23.1225
72	RED	23.1225	23.3925
73	BAGS	23.3925	23.9525
74	sp	23.9525	24.0325
75	AND	24.0325	24.1225
76	sp	24.1225	24.4925
77	WE	24.4925	24.5825
78	WILL	24.5825	24.8925
79	GO	24.8925	25.0925
80	MEET	25.0925	25.3525
81	HER	25.3525	25.6925
82	sp	25.6925	26.3425
83	WEDNESDAY	26.3425	27.0125
84	AT	27.0125	27.0925
85	THE	27.0925	27.1825
86	TRAIN	27.1825	27.4625
87	STATION	27.4625	28.0725
88	sp	28.0725	28.6025
