1	sp	0.0125	0.0925
2	PLEASE	0.0925	0.5025
3	CALL	0.5025	0.8325
4	STELLA	0.8325	1.4525
5	sp	1.4525	2.4225
6	ASK	2.4225	2.7325
7	HER	2.7325	2.8825
8	TO	2.8825	3.0325
9	BRING	3.0325	3.4925
10	THESE	3.4925	3.6425
11	sp	3.6425	3.6725
12	THINGS	3.6725	4.2125
13	sp	4.2125	4.3025
14	WITH	4.3025	4.5725
15	HER	4.5725	5.1625
16	sp	5.1625	5.3025
17	FROM	5.3025	5.5425
18	THE	5.5425	5.6125
19	STORE	5.6125	6.0125
20	sp	6.0125	6.6525
21	SIX	6.6525	7.2025
22	sp	7.2025	7.2725
23	SPOONS	7.2725	7.9225
24	sp	7.9225	8.1825
25	OF	8.1825	8.4325
26	sp	8.4325	8.5125
27	FRESH	8.5125	8.9725
28	SNOW	8.9725	9.3825
29	PEAS	9.3825	9.9025
30	sp	9.9025	10.5025
31	FIVE	10.5025	11.0925
32	sp	11.0925	11.1825
33	THICK	11.1825	11.5725
34	SLABS	11.5725	12.3125
35	sp	12.3125	12.5725
36	OF	12.5725	12.8025
37	BLUE	12.8025	13.0825
38	CHEESE	13.0825	13.6125
39	sp	13.6125	14.2725
40	AND	14.2725	14.4825
41	MAYBE	14.4825	14.9325
42	A	14.9325	15.0125
43	SNACK	15.0125	15.5925
44	sp	15.5925	15.9125
45	FOR	15.9125	16.1025
46	HER	16.1025	16.2725
47	BROTHER	16.2725	16.6625
48	BOB	16.6625	17.0525
49	sp	17.0525	17.9425
50	WE	17.9425	18.1025
51	ALSO	18.1025	18.4825
52	NEED	18.4825	18.7125
53	A	18.7125	18.7825
54	SMALL	18.7825	19.4125
55	sp	19.4125	19.5525
56	PLASTIC	19.5525	20.1425
57	sp	20.1425	20.3425
58	SNAKE	20.3425	20.9925
59	sp	20.9925	21.4725
60	AND	21.4725	21.6425
61	A	21.6425	21.7325
62	BIG	21.7325	22.0225
63	sp	22.0225	22.0925
64	TOY	22.0925	22.4825
65	sp	22.4825	22.6025
66	FROG	22.6025	23.0225
67	sp	23.0225	23.4625
68	FOR	23.4625	23.7325
69	THE	23.7325	24.1125
70	KIDS	24.1125	24.6425
71	sp	24.6425	25.9425
72	SHE	25.9425	26.2225
73	CAN	26.2225	26.3925
74	SCOOP	26.3925	26.8525
75	THESE	26.8525	27.2825
76	THINGS	27.2825	27.8425
77	sp	27.8425	27.9425
78	INTO	27.9425	28.3425
79	THREE	28.3425	28.7925
80	sp	28.7925	29.1225
81	RED	29.1225	29.4025
82	sp	29.4025	29.4925
83	BAGS	29.4925	30.0225
84	sp	30.0225	30.6325
85	AND	30.6325	30.7925
86	WE	30.7925	30.9625
87	WILL	30.9625	31.3325
88	sp	31.3325	31.6425
89	GO	31.6425	31.9025
90	MEET	31.9025	32.1025
91	HER	32.1025	32.4425
92	WEDNESDAY	32.4425	33.1225
93	AT	33.1225	33.3025
94	THE	33.3025	33.3725
95	TRAIN	33.3725	33.7625
96	STATION	33.7625	34.2925
97	sp	34.2925	34.4925
