1	sp	0.0125	0.2225
2	PLEASE	0.2225	0.6225
3	CALL	0.6225	0.8825
4	STELLA	0.8825	1.2925
5	sp	1.2925	1.6925
6	ASK	1.6925	1.9825
7	HER	1.9825	2.0525
8	TO	2.0525	2.1425
9	BRING	2.1425	2.3425
10	THESE	2.3425	2.5925
11	THINGS	2.5925	2.8525
12	WITH	2.8525	2.9725
13	HER	2.9725	3.0725
14	FROM	3.0725	3.2625
15	THE	3.2625	3.3425
16	STORE	3.3425	3.7525
17	sp	3.7525	4.2325
18	SIX	4.2325	4.5225
19	SPOONS	4.5225	4.8525
20	OF	4.8525	4.9625
21	sp	4.9625	5.0125
22	FRESH	5.0125	5.2425
23	SNOW	5.2425	5.4425
24	PEAS	5.4425	5.8925
25	sp	5.8925	6.2125
26	FIVE	6.2125	6.4825
27	sp	6.4825	6.5025
28	THICK	6.5025	6.6625
29	SLABS	6.6625	7.1025
30	OF	7.1025	7.1625
31	BLUE	7.1625	7.4325
32	CHEESE	7.4325	7.9725
33	sp	7.9725	8.1225
34	AND	8.1225	8.2925
35	MAYBE	8.2925	8.5825
36	A	8.5825	8.6125
37	SNACK	8.6125	9.0025
38	sp	9.0025	9.0525
39	FOR	9.0525	9.1925
40	HER	9.1925	9.2925
41	BROTHER	9.2925	9.5625
42	BOB	9.5625	9.9125
43	sp	9.9125	10.4825
44	WE	10.4825	10.6325
45	ALSO	10.6325	10.9325
46	NEED	10.9325	11.1425
47	A	11.1425	11.1725
48	SMALL	11.1725	11.5025
49	PLASTIC	11.5025	11.9625
50	SNAKE	11.9625	12.4525
51	AND	12.4525	12.5725
52	A	12.5725	12.6125
53	BIG	12.6125	12.8525
54	TOY	12.8525	13.1125
55	FROG	13.1125	13.5025
56	FOR	13.5025	13.6125
57	THE	13.6125	13.6825
58	KIDS	13.6825	14.2025
59	sp	14.2025	14.7425
60	SHE	14.7425	14.8825
61	CAN	14.8825	15.0025
62	SCOOP	15.0025	15.3125
63	sp	15.3125	15.3625
64	THESE	15.3625	15.6725
65	THINGS	15.6725	16.0525
66	INTO	16.0525	16.1925
67	THREE	16.1925	16.5325
68	RED	16.5325	16.7925
69	BAGS	16.7925	17.3025
70	AND	17.3025	17.5025
71	WE	17.5025	17.6325
72	WILL	17.6325	17.7625
73	GO	17.7625	17.9425
74	MEET	17.9425	18.1025
75	HER	18.1025	18.2125
76	WEDNESDAY	18.2125	18.7725
77	AT	18.7725	18.9125
78	THE	18.9125	18.9925
79	TRAIN	18.9925	19.3025
80	STATION	19.3025	19.8425
81	sp	19.8425	20.2125
