1	sp	0.0125	0.4225
2	PLEASE	0.4225	0.9825
3	CALL	0.9825	1.2425
4	STELLA	1.2425	1.7425
5	sp	1.7425	2.2525
6	ASK	2.2525	2.5125
7	HER	2.5125	2.6925
8	TO	2.6925	2.9125
9	BRING	2.9125	3.2425
10	THESE	3.2425	3.4725
11	THINGS	3.4725	4.2025
12	sp	4.2025	4.3325
13	WITH	4.3325	4.4425
14	HER	4.4425	4.7125
15	FROM	4.7125	4.9125
16	THE	4.9125	5.0025
17	STORE	5.0025	5.4325
18	sp	5.4325	5.7125
19	SIX	5.7125	6.0725
20	SPOONS	6.0725	6.5025
21	OF	6.5025	6.5925
22	FRESH	6.5925	6.9125
23	SNOW	6.9125	7.2425
24	PEAS	7.2425	7.7125
25	FIVE	7.7125	7.9725
26	THICK	7.9725	8.2825
27	sp	8.2825	8.4925
28	SLABS	8.4925	9.0225
29	OF	9.0225	9.1325
30	BLUE	9.1325	9.3825
31	CHEESE	9.3825	9.9225
32	sp	9.9225	10.0025
33	AND	10.0025	10.1625
34	MAYBE	10.1625	10.4725
35	A	10.4725	10.5225
36	SNACK	10.5225	10.9725
37	FOR	10.9725	11.1825
38	HER	11.1825	11.3525
39	BROTHER	11.3525	11.6625
40	BOB	11.6625	12.0125
41	sp	12.0125	12.6325
42	WE	12.6325	12.7625
43	ALSO	12.7625	13.0425
44	NEED	13.0425	13.2225
45	A	13.2225	13.2525
46	SMALL	13.2525	13.6025
47	PLASTIC	13.6025	13.9825
48	SNAKE	13.9825	14.3625
49	AND	14.3625	14.4825
50	A	14.4825	14.5525
51	BIG	14.5525	14.9225
52	sp	14.9225	14.9925
53	TOY	14.9925	15.1825
54	FROG	15.1825	15.5225
55	FOR	15.5225	15.6825
56	THE	15.6825	15.8125
57	KIDS	15.8125	16.2425
58	sp	16.2425	17.0125
59	SHE	17.0125	17.1425
60	CAN	17.1425	17.2925
61	SCOOP	17.2925	17.6325
62	THESE	17.6325	17.9425
63	THINGS	17.9425	18.3725
64	INTO	18.3725	18.5925
65	THREE	18.5925	18.9725
66	RED	18.9725	19.2025
67	BAGS	19.2025	19.6325
68	sp	19.6325	19.8325
69	AND	19.8325	20.0025
70	WE	20.0025	20.1125
71	WILL	20.1125	20.2925
72	GO	20.2925	20.5625
73	MEET	20.5625	20.8525
74	HER	20.8525	21.2825
75	WEDNESDAY	21.2825	21.7125
76	AT	21.7125	21.8125
77	THE	21.8125	21.9125
78	TRAIN	21.9125	22.2625
79	STATION	22.2625	22.7625
80	sp	22.7625	23.8125
