1	sp	0.0125	0.1425
2	PLEASE	0.1425	0.4925
3	CALL	0.4925	0.7125
4	STELLA	0.7125	1.1525
5	sp	1.1525	1.4925
6	ASK	1.4925	1.8025
7	HER	1.8025	1.8625
8	TO	1.8625	1.9225
9	BRING	1.9225	2.1925
10	THESE	2.1925	2.4325
11	THINGS	2.4325	2.6925
12	WITH	2.6925	2.8825
13	HER	2.8825	2.9525
14	FROM	2.9525	3.1525
15	THE	3.1525	3.2225
16	STORE	3.2225	3.6825
17	sp	3.6825	4.2225
18	SIX	4.2225	4.5725
19	SPOONS	4.5725	4.9325
20	OF	4.9325	4.9925
21	FRESH	4.9925	5.2825
22	SNOW	5.2825	5.5325
23	PEAS	5.5325	5.9225
24	FIVE	5.9225	6.1925
25	sp	6.1925	6.2425
26	THICK	6.2425	6.4025
27	SLABS	6.4025	6.8225
28	OF	6.8225	6.9025
29	BLUE	6.9025	7.1525
30	CHEESE	7.1525	7.5125
31	AND	7.5125	7.6025
32	MAYBE	7.6025	7.8725
33	A	7.8725	7.9025
34	SNACK	7.9025	8.2625
35	FOR	8.2625	8.3225
36	HER	8.3225	8.4625
37	sp	8.4625	8.4825
38	BROTHER	8.4825	8.7625
39	BOB	8.7625	9.2325
40	sp	9.2325	9.8425
41	WE	9.8425	10.0125
42	ALSO	10.0125	10.2425
43	NEED	10.2425	10.4025
44	A	10.4025	10.4325
45	SMALL	10.4325	10.8325
46	PLASTIC	10.8325	11.2725
47	SNAKE	11.2725	11.6825
48	AND	11.6825	11.7725
49	A	11.7725	11.8025
50	BIG	11.8025	12.0025
51	sp	12.0025	12.0425
52	TOY	12.0425	12.3025
53	FROG	12.3025	12.7625
54	FOR	12.7625	12.8525
55	THE	12.8525	12.9125
56	KIDS	12.9125	13.4125
57	sp	13.4125	14.0725
58	SHE	14.0725	14.2225
59	CAN	14.2225	14.3525
60	SCOOP	14.3525	14.6525
61	THESE	14.6525	14.8525
62	THINGS	14.8525	15.0925
63	INTO	15.0925	15.2325
64	THREE	15.2325	15.5425
65	RED	15.5425	15.7525
66	BAGS	15.7525	16.1125
67	AND	16.1125	16.2025
68	WE	16.2025	16.2825
69	WILL	16.2825	16.3825
70	GO	16.3825	16.5525
71	MEET	16.5525	16.8225
72	HER	16.8225	16.9425
73	WEDNESDAY	16.9425	17.4725
74	AT	17.4725	17.5525
75	THE	17.5525	17.6125
76	TRAIN	17.6125	17.9625
77	STATION	17.9625	18.5025
78	sp	18.5025	19.0125
