1	PLEASE	0.0125	0.2725
2	CALL	0.2725	0.5225
3	STELLA	0.5225	1.0925
4	sp	1.0925	1.6425
5	ASK	1.6425	1.9625
6	HER	1.9625	2.1025
7	TO	2.1025	2.2725
8	BRING	2.2725	2.5625
9	sp	2.5625	2.6325
10	THESE	2.6325	3.1025
11	THINGS	3.1025	3.7825
12	sp	3.7825	3.9525
13	WITH	3.9525	4.3025
14	HER	4.3025	4.5925
15	sp	4.5925	5.2425
16	FROM	5.2425	6.0525
17	THE	6.0525	6.1325
18	STORE	6.1325	6.5025
19	sp	6.5025	7.2625
20	SIX	7.2625	7.5925
21	SPOONS	7.5925	8.1125
22	sp	8.1125	8.2925
23	OF	8.2925	8.6125
24	FRESH	8.6125	9.0525
25	SNOW	9.0525	9.5725
26	PEAS	9.5725	10.1025
27	sp	10.1025	10.7125
28	FIVE	10.7125	11.1725
29	THICK	11.1725	11.5925
30	SLABS	11.5925	12.2925
31	sp	12.2925	12.6425
32	OF	12.6425	12.9125
33	BLUE	12.9125	13.2125
34	CHEESE	13.2125	13.6925
35	sp	13.6925	14.1825
36	AND	14.1825	14.3725
37	MAYBE	14.3725	14.7925
38	A	14.7925	14.8225
39	SNACK	14.8225	15.1925
40	FOR	15.1925	15.4125
41	HER	15.4125	15.8525
42	sp	15.8525	16.1325
43	BROTHER	16.1325	16.4725
44	BOB	16.4725	16.8225
45	sp	16.8225	17.8225
46	WE	17.8225	17.9225
47	ALSO	17.9225	18.2225
48	NEED	18.2225	18.4625
49	A	18.4625	18.5125
50	SMALL	18.5125	18.7925
51	PLASTIC	18.7925	19.3525
52	SNAKE	19.3525	19.8125
53	sp	19.8125	20.2525
54	AND	20.2525	20.9825
55	A	20.9825	21.0225
56	BIG	21.0225	21.2925
57	sp	21.2925	21.3625
58	TOY	21.3625	21.6525
59	FROG	21.6525	22.1225
60	sp	22.1225	22.8025
61	FOR	22.8025	22.9825
62	THE	22.9825	23.0925
63	KIDS	23.0925	23.5725
64	sp	23.5725	24.1925
65	SHE	24.1925	24.2825
66	CAN	24.2825	24.6725
67	SCOOP	24.6725	25.0825
68	sp	25.0825	25.1125
69	THESE	25.1125	25.4325
70	THINGS	25.4325	26.0325
71	INTO	26.0325	26.3025
72	THREE	26.3025	26.6725
73	RED	26.6725	27.0025
74	BAGS	27.0025	27.6325
75	sp	27.6325	28.2225
76	AND	28.2225	28.6525
77	WE	28.6525	28.9825
78	sp	28.9825	29.2625
79	WILL	29.2625	29.4825
80	GO	29.4825	29.9325
81	sp	29.9325	30.4325
82	MEET	30.4325	30.7025
83	HER	30.7025	31.0225
84	WEDNESDAY	31.0225	31.6425
85	AT	31.6425	31.9125
86	THE	31.9125	31.9825
87	TRAIN	31.9825	32.2425
88	STATION	32.2425	32.7025
89	sp	32.7025	32.8825
