1	sp	0.0125	0.3025
2	PLEASE	0.3025	0.6025
3	CALL	0.6025	0.8725
4	STELLA	0.8725	1.3225
5	sp	1.3225	2.2225
6	ASK	2.2225	2.4825
7	HER	2.4825	2.6225
8	TO	2.6225	2.7325
9	BRING	2.7325	3.0925
10	THESE	3.0925	3.3925
11	THINGS	3.3925	3.8125
12	WITH	3.8125	3.9825
13	HER	3.9825	4.1925
14	FROM	4.1925	4.5825
15	THE	4.5825	4.6525
16	STORE	4.6525	5.1425
17	sp	5.1425	5.9925
18	SIX	5.9925	6.2425
19	SPOONS	6.2425	6.8425
20	OF	6.8425	6.9925
21	sp	6.9925	7.0225
22	FRESH	7.0225	7.3625
23	SNOW	7.3625	7.8625
24	sp	7.8625	7.9325
25	PEAS	7.9325	8.6425
26	sp	8.6425	9.5225
27	FIVE	9.5225	9.8925
28	sp	9.8925	10.0425
29	THICK	10.0425	10.3825
30	SLABS	10.3825	11.0625
31	OF	11.0625	11.2225
32	sp	11.2225	11.2825
33	BLUE	11.2825	11.5525
34	CHEESE	11.5525	12.2125
35	sp	12.2125	12.9225
36	AND	12.9225	13.0525
37	MAYBE	13.0525	13.6725
38	A	13.6725	13.7425
39	SNACK	13.7425	14.2325
40	FOR	14.2325	14.7525
41	HER	14.7525	14.8225
42	BROTHER	14.8225	15.2125
43	BOB	15.2125	15.6925
44	sp	15.6925	16.7325
45	WE	16.7325	16.8725
46	ALSO	16.8725	17.1425
47	NEED	17.1425	17.7425
48	A	17.7425	17.8225
49	SMALL	17.8225	18.3225
50	PLASTIC	18.3225	18.8525
51	SNAKE	18.8525	19.4825
52	sp	19.4825	19.6325
53	AND	19.6325	19.8125
54	A	19.8125	19.9625
55	BIG	19.9625	20.2425
56	TOY	20.2425	20.6525
57	FROG	20.6525	21.2225
58	sp	21.2225	21.7925
59	FOR	21.7925	21.9025
60	THE	21.9025	21.9825
61	KIDS	21.9825	22.6025
62	sp	22.6025	23.6525
63	SHE	23.6525	23.7525
64	CAN	23.7525	23.9325
65	SCOOP	23.9325	24.2725
66	THESE	24.2725	24.5325
67	THINGS	24.5325	25.0425
68	sp	25.0425	25.2325
69	INTO	25.2325	25.4825
70	THREE	25.4825	25.9125
71	RED	25.9125	26.1725
72	BAGS	26.1725	26.7425
73	sp	26.7425	27.3825
74	AND	27.3825	27.5725
75	WE	27.5725	27.7125
76	WILL	27.7125	27.8825
77	GO	27.8825	28.2725
78	sp	28.2725	28.4125
79	MEET	28.4125	28.7525
80	HER	28.7525	29.0525
81	sp	29.0525	29.3725
82	WEDNESDAY	29.3725	30.0325
83	AT	30.0325	30.2025
84	THE	30.2025	30.3725
85	TRAIN	30.3725	30.7925
86	STATION	30.7925	31.2825
87	sp	31.2825	32.2425
