1	sp	0.0125	0.3825
2	PLEASE	0.3825	0.6625
3	CALL	0.6625	0.8825
4	STELLA	0.8825	1.3625
5	sp	1.3625	2.8625
6	ASK	2.8625	3.1425
7	HER	3.1425	3.2225
8	TO	3.2225	3.4125
9	BRING	3.4125	3.7625
10	THESE	3.7625	4.0325
11	THINGS	4.0325	4.5425
12	WITH	4.5425	4.7325
13	HER	4.7325	5.0025
14	FROM	5.0025	5.3025
15	THE	5.3025	5.3825
16	STORE	5.3825	5.8125
17	sp	5.8125	7.6625
18	SIX	7.6625	8.1525
19	SPOONS	8.1525	9.1625
20	OF	9.1625	9.2925
21	FRESH	9.2925	9.8825
22	sp	9.8825	9.9725
23	SNOW	9.9725	10.3525
24	PEAS	10.3525	10.9525
25	sp	10.9525	12.3525
26	FIVE	12.3525	12.8425
27	sp	12.8425	13.3225
28	THICK	13.3225	13.6825
29	SLABS	13.6825	14.3425
30	OF	14.3425	14.4825
31	BLUE	14.4825	14.8825
32	CHEESE	14.8825	15.5325
33	sp	15.5325	16.3825
34	AND	16.3825	16.5625
35	MAYBE	16.5625	16.8925
36	A	16.8925	16.9625
37	SNACK	16.9625	17.4625
38	FOR	17.4625	17.8025
39	HER	17.8025	17.8625
40	BROTHER	17.8625	18.3825
41	sp	18.3825	18.5325
42	BOB	18.5325	18.9125
43	sp	18.9125	20.2725
44	WE	20.2725	20.4525
45	ALSO	20.4525	20.8725
46	NEED	20.8725	21.0825
47	A	21.0825	21.1425
48	SMALL	21.1425	21.5525
49	PLASTIC	21.5525	22.1825
50	SNAKE	22.1825	22.8125
51	sp	22.8125	23.2525
52	AND	23.2525	23.4425
53	A	23.4425	23.5125
54	BIG	23.5125	23.9825
55	sp	23.9825	24.9925
56	TOY	24.9925	25.2125
57	FROG	25.2125	25.6925
58	sp	25.6925	26.3225
59	FOR	26.3225	26.5025
60	THE	26.5025	26.6325
61	KIDS	26.6325	27.3525
62	sp	27.3525	28.5325
63	SHE	28.5325	28.7525
64	CAN	28.7525	28.9725
65	SCOOP	28.9725	29.3525
66	THESE	29.3525	29.6025
67	sp	29.6025	29.6425
68	THINGS	29.6425	30.2525
69	sp	30.2525	30.3425
70	INTO	30.3425	31.0225
71	sp	31.0225	31.2225
72	THREE	31.2225	31.7525
73	sp	31.7525	31.7925
74	RED	31.7925	32.2125
75	BAGS	32.2125	33.0525
76	sp	33.0525	33.6125
77	AND	33.6125	34.0225
78	sp	34.0225	34.0825
79	WE	34.0825	34.2825
80	WILL	34.2825	35.3925
81	sp	35.3925	36.9225
82	GO	36.9225	37.2925
83	MEET	37.2925	37.5125
84	HER	37.5125	37.7725
85	sp	37.7725	38.2925
86	WEDNESDAY	38.2925	38.9725
87	AT	38.9725	39.0725
88	THE	39.0725	39.1925
89	TRAIN	39.1925	39.5125
90	STATION	39.5125	39.9225
91	sp	39.9225	40.6525
