1	sp	0.0125	0.1425
2	PLEASE	0.1425	0.6525
3	CALL	0.6525	1.0325
4	STELLA	1.0325	1.6225
5	sp	1.6225	1.9025
6	ASK	1.9025	2.1725
7	HER	2.1725	2.3725
8	TO	2.3725	2.5625
9	BRING	2.5625	2.9625
10	sp	2.9625	3.0025
11	THESE	3.0025	3.3025
12	sp	3.3025	3.3725
13	THINGS	3.3725	3.6825
14	WITH	3.6825	3.8425
15	sp	3.8425	3.8825
16	HER	3.8825	4.1025
17	sp	4.1025	4.5725
18	FROM	4.5725	4.7825
19	THE	4.7825	4.8425
20	STORE	4.8425	5.3225
21	sp	5.3225	6.0025
22	SIX	6.0025	6.2525
23	SPOONS	6.2525	7.0025
24	OF	7.0025	7.1425
25	sp	7.1425	7.2525
26	FRESH	7.2525	7.5725
27	SNOW	7.5725	7.9925
28	PEAS	7.9925	8.4425
29	sp	8.4425	9.1625
30	FIVE	9.1625	9.4725
31	sp	9.4725	9.7825
32	THICK	9.7825	10.0225
33	SLABS	10.0225	10.7225
34	OF	10.7225	10.8825
35	sp	10.8825	11.0625
36	BLUE	11.0625	11.2525
37	CHEESE	11.2525	11.7525
38	sp	11.7525	12.1925
39	AND	12.1925	12.4325
40	sp	12.4325	12.4525
41	MAYBE	12.4525	12.9525
42	sp	12.9525	13.0325
43	A	13.0325	13.0725
44	SNACK	13.0725	13.4725
45	sp	13.4725	13.6425
46	FOR	13.6425	13.8625
47	HER	13.8625	14.1825
48	sp	14.1825	14.5125
49	BROTHER	14.5125	14.9625
50	sp	14.9625	15.0025
51	BOB	15.0025	15.3825
52	sp	15.3825	16.1725
53	WE	16.1725	16.3725
54	ALSO	16.3725	16.7625
55	NEED	16.7625	17.1625
56	A	17.1625	17.1925
57	SMALL	17.1925	17.6225
58	PLASTIC	17.6225	18.1625
59	SNAKE	18.1625	18.6725
60	sp	18.6725	19.2625
61	AND	19.2625	19.6425
62	A	19.6425	19.8025
63	BIG	19.8025	20.0625
64	TOY	20.0625	20.3925
65	FROG	20.3925	20.9725
66	sp	20.9725	21.4325
67	FOR	21.4325	21.5925
68	THE	21.5925	21.7425
69	KIDS	21.7425	22.2525
70	sp	22.2525	22.8625
71	SHE	22.8625	23.0625
72	CAN	23.0625	23.3425
73	SCOOP	23.3425	23.9025
74	sp	23.9025	23.9725
75	THESE	23.9725	24.3125
76	sp	24.3125	24.4325
77	THINGS	24.4325	24.9025
78	INTO	24.9025	25.4025
79	sp	25.4025	25.4825
80	THREE	25.4825	25.8925
81	RED	25.8925	26.2025
82	BAGS	26.2025	26.7725
83	sp	26.7725	27.2325
84	AND	27.2325	27.7025
85	sp	27.7025	27.7925
86	WE	27.7925	27.9825
87	WILL	27.9825	28.2925
88	GO	28.2925	28.7725
89	MEET	28.7725	29.2125
90	sp	29.2125	29.2725
91	HER	29.2725	29.6025
92	WEDNESDAY	29.6025	30.2925
93	sp	30.2925	30.3825
94	AT	30.3825	30.5125
95	sp	30.5125	30.5725
96	THE	30.5725	30.6525
97	TRAIN	30.6525	31.0525
98	STATION	31.0525	31.5725
99	sp	31.5725	32.1425
