1	sp	0.0125	0.2025
2	PLEASE	0.2025	0.5825
3	CALL	0.5825	0.9025
4	STELLA	0.9025	1.3225
5	ASK	1.3225	1.6625
6	sp	1.6625	2.1825
7	HER	2.1825	2.5125
8	TO	2.5125	2.7325
9	BRING	2.7325	3.1225
10	THESE	3.1225	3.4125
11	sp	3.4125	3.5025
12	THINGS	3.5025	4.1125
13	WITH	4.1125	4.3025
14	HER	4.3025	4.7025
15	sp	4.7025	4.7925
16	FROM	4.7925	5.1125
17	THE	5.1125	5.2025
18	STORE	5.2025	5.6725
19	sp	5.6725	6.1825
20	SIX	6.1825	6.6725
21	SPOONS	6.6725	7.2725
22	sp	7.2725	7.3025
23	OF	7.3025	7.5125
24	FRESH	7.5125	7.9125
25	SNOW	7.9125	8.4325
26	PEAS	8.4325	8.8025
27	sp	8.8025	9.5525
28	FIVE	9.5525	9.9525
29	sp	9.9525	9.9925
30	THICK	9.9925	10.2025
31	SLABS	10.2025	10.7225
32	OF	10.7225	10.9825
33	BLUE	10.9825	11.2825
34	CHEESE	11.2825	11.9425
35	sp	11.9425	12.1825
36	AND	12.1825	12.3825
37	MAYBE	12.3825	12.9225
38	A	12.9225	13.0025
39	SNACK	13.0025	13.5425
40	sp	13.5425	13.5925
41	FOR	13.5925	13.8025
42	HER	13.8025	14.1125
43	BROTHER	14.1125	14.8725
44	BOB	14.8725	15.2725
45	sp	15.2725	16.3325
46	WE	16.3325	16.4925
47	ALSO	16.4925	16.9625
48	NEED	16.9625	17.3725
49	A	17.3725	17.4125
50	SMALL	17.4125	17.8825
51	PLASTIC	17.8825	18.3825
52	SNAKE	18.3825	18.8025
53	sp	18.8025	19.2425
54	AND	19.2425	19.6725
55	A	19.6725	19.7325
56	BIG	19.7325	20.0325
57	sp	20.0325	20.1325
58	TOY	20.1325	20.4925
59	FROG	20.4925	20.9525
60	FOR	20.9525	21.2325
61	THE	21.2325	21.3725
62	sp	21.3725	21.4425
63	KIDS	21.4425	22.0125
64	sp	22.0125	22.6425
65	SHE	22.6425	22.7625
66	CAN	22.7625	23.1025
67	SCOOP	23.1025	23.6625
68	THESE	23.6625	23.9325
69	sp	23.9325	24.0025
70	THINGS	24.0025	24.4525
71	sp	24.4525	24.4725
72	INTO	24.4725	24.8425
73	THREE	24.8425	25.1625
74	RED	25.1625	25.3825
75	sp	25.3825	25.4525
76	BAGS	25.4525	25.8525
77	sp	25.8525	26.4825
78	AND	26.4825	27.0125
79	sp	27.0125	27.1325
80	WE	27.1325	27.3325
81	WILL	27.3325	27.5925
82	GO	27.5925	27.8725
83	MEET	27.8725	28.1625
84	HER	28.1625	28.5425
85	WEDNESDAY	28.5425	29.3225
86	AT	29.3225	29.5025
87	THE	29.5025	29.5825
88	TRAIN	29.5825	30.0625
89	STATION	30.0625	30.7625
90	sp	30.7625	31.2325
