1	sp	0.0125	0.3225
2	PLEASE	0.3225	0.6025
3	CALL	0.6025	0.7925
4	STELLA	0.7925	1.1825
5	sp	1.1825	1.3925
6	ASK	1.3925	1.6825
7	HER	1.6825	1.9025
8	TO	1.9025	2.0625
9	BRING	2.0625	2.3425
10	THESE	2.3425	2.4825
11	sp	2.4825	2.5425
12	THINGS	2.5425	2.9025
13	WITH	2.9025	3.0325
14	HER	3.0325	3.1925
15	FROM	3.1925	3.4725
16	THE	3.4725	3.5325
17	STORE	3.5325	3.9025
18	sp	3.9025	4.3125
19	SIX	4.3125	4.6425
20	SPOONS	4.6425	5.1525
21	OF	5.1525	5.2525
22	FRESH	5.2525	5.5225
23	SNOW	5.5225	5.9525
24	PEAS	5.9525	6.4325
25	sp	6.4325	6.7125
26	FIVE	6.7125	6.9925
27	THICK	6.9925	7.1825
28	SLABS	7.1825	7.6025
29	OF	7.6025	7.6925
30	sp	7.6925	7.7625
31	BLUE	7.7625	7.9125
32	CHEESE	7.9125	8.4625
33	sp	8.4625	8.5025
34	AND	8.5025	8.6525
35	MAYBE	8.6525	8.9825
36	A	8.9825	9.0125
37	SNACK	9.0125	9.4225
38	sp	9.4225	9.4325
39	FOR	9.4325	9.5625
40	HER	9.5625	9.6325
41	BROTHER	9.6325	9.8925
42	BOB	9.8925	10.3025
43	sp	10.3025	10.7525
44	WE	10.7525	10.9025
45	ALSO	10.9025	11.2225
46	NEED	11.2225	11.5425
47	A	11.5425	11.6025
48	SMALL	11.6025	11.9325
49	PLASTIC	11.9325	12.3625
50	SNAKE	12.3625	12.8925
51	AND	12.8925	13.1825
52	A	13.1825	13.2225
53	BIG	13.2225	13.4125
54	sp	13.4125	13.4625
55	TOY	13.4625	13.7225
56	FROG	13.7225	14.0725
57	FOR	14.0725	14.2425
58	THE	14.2425	14.3125
59	KIDS	14.3125	14.8525
60	sp	14.8525	15.1625
61	SHE	15.1625	15.4025
62	CAN	15.4025	15.5525
63	SCOOP	15.5525	15.8725
64	THESE	15.8725	16.1625
65	THINGS	16.1625	16.5725
66	INTO	16.5725	16.8625
67	sp	16.8625	16.9025
68	THREE	16.9025	17.2125
69	RED	17.2125	17.4225
70	BAGS	17.4225	18.0025
71	sp	18.0025	18.0825
72	AND	18.0825	18.2025
73	WE	18.2025	18.3725
74	WILL	18.3725	18.5625
75	GO	18.5625	18.7225
76	MEET	18.7225	19.0225
77	HER	19.0225	19.2125
78	WEDNESDAY	19.2125	19.7125
79	AT	19.7125	19.8525
80	THE	19.8525	19.9225
81	TRAIN	19.9225	20.2525
82	STATION	20.2525	20.8125
83	sp	20.8125	21.1825
