1	sp	0.0125	0.7725
2	PLEASE	0.7725	1.1025
3	CALL	1.1025	1.3525
4	STELLA	1.3525	1.9825
5	sp	1.9825	2.5525
6	ASK	2.5525	2.8925
7	HER	2.8925	2.9925
8	TO	2.9925	3.1625
9	BRING	3.1625	3.5225
10	THESE	3.5225	3.8125
11	THINGS	3.8125	4.1725
12	WITH	4.1725	4.3925
13	HER	4.3925	4.5725
14	FROM	4.5725	4.8725
15	THE	4.8725	4.9725
16	STORE	4.9725	5.3725
17	sp	5.3725	6.3825
18	SIX	6.3825	6.6325
19	SPOONS	6.6325	7.0125
20	OF	7.0125	7.1225
21	FRESH	7.1225	7.8425
22	SNOW	7.8425	8.2425
23	PEAS	8.2425	8.7725
24	sp	8.7725	9.8325
25	FIVE	9.8325	10.1525
26	THICK	10.1525	10.4625
27	sp	10.4625	11.2125
28	SLABS	11.2125	11.8425
29	OF	11.8425	11.9925
30	BLUE	11.9925	12.2925
31	CHEESE	12.2925	13.0025
32	sp	13.0025	13.1625
33	AND	13.1625	13.3325
34	MAYBE	13.3325	13.8325
35	A	13.8325	13.8925
36	SNACK	13.8925	14.2925
37	sp	14.2925	14.3225
38	FOR	14.3225	14.4925
39	HER	14.4925	14.6525
40	BROTHER	14.6525	15.0225
41	BOB	15.0225	15.3825
42	sp	15.3825	15.9325
43	WE	15.9325	16.0925
44	ALSO	16.0925	16.4125
45	NEED	16.4125	16.6325
46	A	16.6325	16.7025
47	SMALL	16.7025	17.1325
48	PLASTIC	17.1325	17.7025
49	SNAKE	17.7025	18.1525
50	sp	18.1525	18.6525
51	AND	18.6525	18.8525
52	A	18.8525	18.9225
53	BIG	18.9225	19.1825
54	sp	19.1825	19.8425
55	TOY	19.8425	20.0825
56	FROG	20.0825	20.4225
57	FOR	20.4225	20.6725
58	THE	20.6725	20.7625
59	KIDS	20.7625	21.3525
60	sp	21.3525	21.7925
61	SHE	21.7925	21.9925
62	CAN	21.9925	22.1425
63	SCOOP	22.1425	22.5725
64	sp	22.5725	22.6425
65	THESE	22.6425	22.9725
66	THINGS	22.9725	23.2625
67	INTO	23.2625	23.4925
68	THREE	23.4925	23.8525
69	RED	23.8525	24.0925
70	BAGS	24.0925	24.5525
71	sp	24.5525	24.7825
72	AND	24.7825	25.5625
73	WE	25.5625	25.7725
74	sp	25.7725	26.6025
75	WILL	26.6025	27.0425
76	GO	27.0425	27.3525
77	MEET	27.3525	27.6825
78	HER	27.6825	27.8425
79	WEDNESDAY	27.8425	28.4725
80	sp	28.4725	28.8925
81	AT	28.8925	29.0725
82	THE	29.0725	29.1425
83	TRAIN	29.1425	29.3925
84	STATION	29.3925	29.9225
85	sp	29.9225	30.6425
