1	sp	0.0125	0.3925
2	PLEASE	0.3925	0.8325
3	CALL	0.8325	1.1825
4	STELLA	1.1825	1.7425
5	sp	1.7425	2.2025
6	ASK	2.2025	2.5325
7	HER	2.5325	2.7825
8	sp	2.7825	3.2425
9	TO	3.2425	3.4725
10	sp	3.4725	3.5025
11	BRING	3.5025	3.7925
12	THESE	3.7925	3.9625
13	sp	3.9625	4.0725
14	THINGS	4.0725	4.5225
15	sp	4.5225	5.2425
16	WITH	5.2425	5.4025
17	HER	5.4025	5.5725
18	FROM	5.5725	5.8525
19	THE	5.8525	5.9325
20	STORE	5.9325	6.4225
21	sp	6.4225	7.2625
22	SIX	7.2625	7.7325
23	SPOONS	7.7325	8.2625
24	OF	8.2625	8.4825
25	FRESH	8.4825	8.9225
26	SNOW	8.9225	9.1925
27	PEAS	9.1925	9.6125
28	sp	9.6125	10.3025
29	FIVE	10.3025	10.5825
30	sp	10.5825	10.7025
31	THICK	10.7025	10.9325
32	SLABS	10.9325	11.4225
33	OF	11.4225	11.5125
34	sp	11.5125	11.5525
35	BLUE	11.5525	11.8225
36	CHEESE	11.8225	12.3125
37	sp	12.3125	12.9125
38	AND	12.9125	13.1025
39	MAYBE	13.1025	13.6025
40	A	13.6025	13.6425
41	SNACK	13.6425	14.0725
42	FOR	14.0725	14.2825
43	HER	14.2825	14.3825
44	BROTHER	14.3825	14.7525
45	BOB	14.7525	15.1925
46	sp	15.1925	15.8625
47	WE	15.8625	16.1125
48	ALSO	16.1125	16.4625
49	NEED	16.4625	16.6725
50	A	16.6725	16.7225
51	SMALL	16.7225	17.1125
52	PLASTIC	17.1125	17.6425
53	SNAKE	17.6425	18.0625
54	sp	18.0625	18.2125
55	AND	18.2125	18.5025
56	A	18.5025	18.5425
57	BIG	18.5425	18.8325
58	sp	18.8325	18.8725
59	TOY	18.8725	19.1725
60	FROG	19.1725	19.6925
61	sp	19.6925	19.9125
62	FOR	19.9125	20.1425
63	THE	20.1425	20.2425
64	KIDS	20.2425	20.7925
65	sp	20.7925	21.8525
66	SHE	21.8525	22.1125
67	CAN	22.1125	22.3125
68	SCOOP	22.3125	22.7525
69	THESE	22.7525	22.9325
70	sp	22.9325	23.0225
71	THINGS	23.0225	23.4725
72	sp	23.4725	23.5625
73	INTO	23.5625	23.9625
74	sp	23.9625	24.0325
75	THREE	24.0325	24.4025
76	RED	24.4025	24.6625
77	BAGS	24.6625	25.1825
78	sp	25.1825	25.5925
79	AND	25.5925	25.8125
80	WE	25.8125	25.9925
81	WILL	25.9925	26.2125
82	GO	26.2125	26.4925
83	sp	26.4925	26.6125
84	MEET	26.6125	26.9025
85	HER	26.9025	27.2725
86	sp	27.2725	28.4425
87	WEDNESDAY	28.4425	29.2225
88	sp	29.2225	30.1225
89	AT	30.1225	30.2725
90	THE	30.2725	30.3525
91	TRAIN	30.3525	30.7225
92	STATION	30.7225	31.3025
93	sp	31.3025	32.0625
