1	PLEASE	0.0125	0.4325
2	CALL	0.4325	0.7625
3	STELLA	0.7625	1.1425
4	ASK	1.1425	1.6625
5	HER	1.6625	1.8325
6	TO	1.8325	1.9425
7	BRING	1.9425	2.2425
8	THESE	2.2425	2.3325
9	THINGS	2.3325	2.8525
10	sp	2.8525	3.2425
11	WITH	3.2425	3.5225
12	HER	3.5225	3.8925
13	FROM	3.8925	4.1025
14	THE	4.1025	4.1725
15	STORE	4.1725	4.5825
16	sp	4.5825	4.8425
17	SIX	4.8425	5.1025
18	SPOONS	5.1025	5.4725
19	OF	5.4725	5.5725
20	FRESH	5.5725	5.9225
21	SNOW	5.9225	6.2625
22	PEAS	6.2625	6.6525
23	sp	6.6525	6.7025
24	FIVE	6.7025	7.0125
25	sp	7.0125	7.1625
26	THICK	7.1625	7.4725
27	sp	7.4725	7.8425
28	SLABS	7.8425	8.3025
29	OF	8.3025	8.3825
30	BLUE	8.3825	8.6825
31	CHEESE	8.6825	9.1425
32	sp	9.1425	9.4425
33	AND	9.4425	9.6325
34	MAYBE	9.6325	10.2125
35	A	10.2125	10.2625
36	SNACK	10.2625	11.4325
37	sp	11.4325	11.6125
38	FOR	11.6125	11.8125
39	HER	11.8125	11.9325
40	BROTHER	11.9325	12.2725
41	BOB	12.2725	12.6225
42	sp	12.6225	13.3325
43	WE	13.3325	13.4925
44	ALSO	13.4925	13.8925
45	NEED	13.8925	14.3225
46	A	14.3225	14.3725
47	SMALL	14.3725	15.0825
48	sp	15.0825	16.6725
49	PLASTIC	16.6725	17.6225
50	sp	17.6225	17.8125
51	SNAKE	17.8125	18.7325
52	sp	18.7325	19.4425
53	AND	19.4425	19.6525
54	A	19.6525	19.7425
55	BIG	19.7425	20.1125
56	TOY	20.1125	20.3725
57	FROG	20.3725	20.9225
58	sp	20.9225	20.9725
59	FOR	20.9725	21.1725
60	THE	21.1725	21.2525
61	KIDS	21.2525	21.7225
62	sp	21.7225	22.2825
63	SHE	22.2825	22.4725
64	CAN	22.4725	22.6325
65	SCOOP	22.6325	22.9225
66	THESE	22.9225	23.0225
67	THINGS	23.0225	23.5525
68	sp	23.5525	24.3725
69	INTO	24.3725	24.7625
70	THREE	24.7625	25.2325
71	RED	25.2325	25.5525
72	BAGS	25.5525	25.9625
73	AND	25.9625	26.1925
74	WE	26.1925	26.3025
75	WILL	26.3025	26.5425
76	GO	26.5425	26.7925
77	MEET	26.7925	27.1625
78	sp	27.1625	27.2125
79	HER	27.2125	27.6225
80	sp	27.6225	27.7525
81	WEDNESDAY	27.7525	28.3025
82	AT	28.3025	28.4025
83	THE	28.4025	28.4625
84	TRAIN	28.4625	28.7325
85	STATION	28.7325	29.2125
86	sp	29.2125	29.6525
