1	sp	0.0125	0.9325
2	PLEASE	0.9325	1.2225
3	CALL	1.2225	1.5025
4	STELLA	1.5025	2.0325
5	sp	2.0325	2.4425
6	ASK	2.4425	2.7925
7	HER	2.7925	2.9425
8	TO	2.9425	3.0525
9	BRING	3.0525	3.2825
10	sp	3.2825	3.3525
11	THESE	3.3525	3.6625
12	THINGS	3.6625	4.1925
13	sp	4.1925	4.6025
14	WITH	4.6025	4.7825
15	HER	4.7825	5.1425
16	sp	5.1425	5.2225
17	FROM	5.2225	5.3825
18	THE	5.3825	5.4425
19	STORE	5.4425	5.8725
20	sp	5.8725	6.4125
21	SIX	6.4125	6.7325
22	SPOONS	6.7325	7.1425
23	OF	7.1425	7.2625
24	FRESH	7.2625	7.7025
25	SNOW	7.7025	7.9925
26	PEAS	7.9925	8.5425
27	sp	8.5425	8.9425
28	FIVE	8.9425	9.2025
29	THICK	9.2025	9.4425
30	SLABS	9.4425	10.2125
31	OF	10.2125	10.4625
32	BLUE	10.4625	10.6425
33	CHEESE	10.6425	11.2625
34	sp	11.2625	11.7825
35	AND	11.7825	11.9525
36	MAYBE	11.9525	12.2325
37	A	12.2325	12.2625
38	SNACK	12.2625	12.7125
39	FOR	12.7125	12.9225
40	HER	12.9225	13.0225
41	BROTHER	13.0225	13.3625
42	BOB	13.3625	13.6725
43	sp	13.6725	14.7025
44	WE	14.7025	14.8425
45	ALSO	14.8425	15.1025
46	NEED	15.1025	15.3125
47	A	15.3125	15.3425
48	SMALL	15.3425	15.7925
49	PLASTIC	15.7925	16.3125
50	SNAKE	16.3125	16.8625
51	sp	16.8625	16.9425
52	AND	16.9425	17.1125
53	A	17.1125	17.1425
54	BIG	17.1425	17.3825
55	TOY	17.3825	17.6325
56	FROG	17.6325	18.0925
57	sp	18.0925	18.1725
58	FOR	18.1725	18.3225
59	THE	18.3225	18.4025
60	KIDS	18.4025	18.8425
61	sp	18.8425	19.5425
62	SHE	19.5425	19.7525
63	CAN	19.7525	19.9225
64	SCOOP	19.9225	20.4925
65	THESE	20.4925	20.6625
66	THINGS	20.6625	21.1525
67	INTO	21.1525	21.4925
68	THREE	21.4925	21.9925
69	sp	21.9925	22.0525
70	RED	22.0525	22.3925
71	sp	22.3925	23.0425
72	BAGS	23.0425	23.4825
73	sp	23.4825	24.6325
74	AND	24.6325	24.8225
75	WE	24.8225	24.9225
76	WILL	24.9225	25.1225
77	GO	25.1225	25.2925
78	MEET	25.2925	25.5125
79	HER	25.5125	25.8325
80	WEDNESDAY	25.8325	26.4525
81	AT	26.4525	26.6325
82	THE	26.6325	26.6925
83	TRAIN	26.6925	26.9225
84	STATION	26.9225	27.4025
85	sp	27.4025	28.0325
