1	sp	0.0125	0.3925
2	PLEASE	0.3925	0.7125
3	CALL	0.7125	0.8925
4	STELLA	0.8925	1.2525
5	sp	1.2525	1.5125
6	ASK	1.5125	1.7725
7	HER	1.7725	1.8325
8	TO	1.8325	1.9325
9	BRING	1.9325	2.2225
10	THESE	2.2225	2.3725
11	THINGS	2.3725	2.6625
12	WITH	2.6625	2.8325
13	HER	2.8325	3.0025
14	FROM	3.0025	3.1625
15	THE	3.1625	3.2225
16	STORE	3.2225	3.5825
17	sp	3.5825	3.8225
18	SIX	3.8225	4.0825
19	SPOONS	4.0825	4.3525
20	OF	4.3525	4.4125
21	FRESH	4.4125	4.6525
22	SNOW	4.6525	4.8425
23	PEAS	4.8425	5.2125
24	sp	5.2125	5.4325
25	FIVE	5.4325	5.6225
26	THICK	5.6225	5.7725
27	SLABS	5.7725	6.0825
28	OF	6.0825	6.1625
29	BLUE	6.1625	6.3525
30	CHEESE	6.3525	6.7125
31	AND	6.7125	6.9025
32	MAYBE	6.9025	7.1225
33	A	7.1225	7.1525
34	SNACK	7.1525	7.5525
35	FOR	7.5525	7.7125
36	HER	7.7125	7.7725
37	BROTHER	7.7725	7.9825
38	BOB	7.9825	8.2025
39	sp	8.2025	8.5125
40	WE	8.5125	8.6225
41	ALSO	8.6225	8.7925
42	NEED	8.7925	9.0725
43	A	9.0725	9.1025
44	SMALL	9.1025	9.3725
45	PLASTIC	9.3725	9.7025
46	SNAKE	9.7025	10.1125
47	AND	10.1125	10.2125
48	A	10.2125	10.2425
49	BIG	10.2425	10.4325
50	TOY	10.4325	10.6725
51	FROG	10.6725	11.0025
52	sp	11.0025	11.0325
53	FOR	11.0325	11.1625
54	THE	11.1625	11.2325
55	KIDS	11.2325	11.6425
56	sp	11.6425	12.0225
57	SHE	12.0225	12.1025
58	CAN	12.1025	12.2325
59	SCOOP	12.2325	12.6125
60	THESE	12.6125	12.8525
61	THINGS	12.8525	13.2625
62	INTO	13.2625	13.4025
63	THREE	13.4025	13.6525
64	RED	13.6525	13.8425
65	BAGS	13.8425	14.2825
66	sp	14.2825	14.4425
67	AND	14.4425	14.5925
68	WE	14.5925	14.7025
69	WILL	14.7025	14.7925
70	GO	14.7925	14.8525
71	MEET	14.8525	15.0525
72	HER	15.0525	15.2625
73	WEDNESDAY	15.2625	15.7225
74	AT	15.7225	15.8425
75	THE	15.8425	15.9025
76	TRAIN	15.9025	16.1325
77	STATION	16.1325	16.6425
78	sp	16.6425	16.9325
