1	sp	0.0125	0.3325
2	PLEASE	0.3325	0.8825
3	CALL	0.8825	1.2725
4	STELLA	1.2725	1.8225
5	sp	1.8225	2.5325
6	ASK	2.5325	2.9825
7	HER	2.9825	3.4025
8	sp	3.4025	3.5825
9	TO	3.5825	3.8225
10	BRING	3.8225	4.4425
11	sp	4.4425	4.6925
12	THESE	4.6925	5.0825
13	THINGS	5.0825	5.6525
14	WITH	5.6525	5.8525
15	HER	5.8525	6.0125
16	FROM	6.0125	6.2825
17	THE	6.2825	6.3525
18	STORE	6.3525	6.9425
19	sp	6.9425	7.4025
20	SIX	7.4025	7.8525
21	SPOONS	7.8525	8.3225
22	OF	8.3225	8.4025
23	FRESH	8.4025	8.7025
24	SNOW	8.7025	9.0425
25	PEAS	9.0425	9.5325
26	FIVE	9.5325	10.2025
27	THICK	10.2025	10.3725
28	SLABS	10.3725	10.9425
29	OF	10.9425	11.0525
30	sp	11.0525	11.0925
31	BLUE	11.0925	11.2625
32	CHEESE	11.2625	11.8925
33	AND	11.8925	12.0325
34	MAYBE	12.0325	12.3725
35	A	12.3725	12.4025
36	SNACK	12.4025	13.0725
37	FOR	13.0725	13.2425
38	HER	13.2425	13.3725
39	BROTHER	13.3725	13.6425
40	BOB	13.6425	14.0625
41	sp	14.0625	14.7125
42	WE	14.7125	14.9125
43	ALSO	14.9125	15.2725
44	NEED	15.2725	15.7125
45	A	15.7125	15.8525
46	SMALL	15.8525	16.1825
47	PLASTIC	16.1825	16.6825
48	SNAKE	16.6825	17.2625
49	sp	17.2625	17.3625
50	AND	17.3625	17.5025
51	A	17.5025	17.5525
52	BIG	17.5525	17.7525
53	TOY	17.7525	17.9625
54	FROG	17.9625	18.3925
55	FOR	18.3925	18.5725
56	THE	18.5725	18.6725
57	KIDS	18.6725	19.2725
58	sp	19.2725	19.7425
59	SHE	19.7425	19.9725
60	CAN	19.9725	20.1725
61	SCOOP	20.1725	20.5725
62	THESE	20.5725	20.7625
63	THINGS	20.7625	21.3825
64	INTO	21.3825	21.8925
65	THREE	21.8925	22.1425
66	RED	22.1425	22.3425
67	BAGS	22.3425	22.8025
68	sp	22.8025	23.2725
69	AND	23.2725	23.5225
70	WE	23.5225	23.6425
71	WILL	23.6425	23.8125
72	GO	23.8125	23.9925
73	MEET	23.9925	24.2425
74	HER	24.2425	24.5625
75	sp	24.5625	24.6625
76	WEDNESDAY	24.6625	25.2325
77	sp	25.2325	25.5225
78	AT	25.5225	25.6925
79	THE	25.6925	25.7625
80	TRAIN	25.7625	26.0725
81	STATION	26.0725	26.6225
82	sp	26.6225	26.9725
