1	sp	0.0125	1.3025
2	PLEASE	1.3025	1.8525
3	CALL	1.8525	2.2125
4	STELLA	2.2125	2.8925
5	sp	2.8925	3.4625
6	ASK	3.4625	3.8125
7	HER	3.8125	4.1125
8	TO	4.1125	4.2325
9	BRING	4.2325	4.7325
10	sp	4.7325	4.8725
11	THESE	4.8725	5.2725
12	sp	5.2725	5.8125
13	THINGS	5.8125	6.3425
14	WITH	6.3425	6.5825
15	HER	6.5825	6.8625
16	FROM	6.8625	7.2225
17	THE	7.2225	7.3225
18	STORE	7.3225	7.9825
19	sp	7.9825	8.8125
20	SIX	8.8125	9.3325
21	SPOONS	9.3325	9.9525
22	OF	9.9525	10.0725
23	FRESH	10.0725	10.5525
24	SNOW	10.5525	11.1625
25	sp	11.1625	11.2425
26	PEAS	11.2425	11.7725
27	sp	11.7725	12.3025
28	FIVE	12.3025	12.7525
29	sp	12.7525	13.1225
30	THICK	13.1225	13.5825
31	SLABS	13.5825	14.2925
32	OF	14.2925	14.4925
33	BLUE	14.4925	14.9725
34	sp	14.9725	15.2425
35	CHEESE	15.2425	15.9025
36	sp	15.9025	16.1425
37	AND	16.1425	16.4325
38	MAYBE	16.4325	16.9725
39	A	16.9725	17.0625
40	SNACK	17.0625	17.7325
41	sp	17.7325	17.7925
42	FOR	17.7925	17.9325
43	HER	17.9325	18.1825
44	BROTHER	18.1825	18.7925
45	BOB	18.7925	19.2325
46	sp	19.2325	20.3125
47	WE	20.3125	20.4825
48	sp	20.4825	20.5225
49	ALSO	20.5225	21.1625
50	NEED	21.1625	21.4525
51	A	21.4525	21.5025
52	SMALL	21.5025	22.0325
53	sp	22.0325	22.0925
54	PLASTIC	22.0925	22.7425
55	SNAKE	22.7425	23.3425
56	sp	23.3425	23.8625
57	AND	23.8625	24.4125
58	A	24.4125	24.6625
59	BIG	24.6625	24.8925
60	sp	24.8925	25.0125
61	TOY	25.0125	25.4225
62	FROG	25.4225	26.1325
63	sp	26.1325	26.3125
64	FOR	26.3125	26.4625
65	THE	26.4625	26.6625
66	sp	26.6625	26.7325
67	KIDS	26.7325	27.2925
68	sp	27.2925	28.1625
69	SHE	28.1625	28.3825
70	CAN	28.3825	28.6025
71	SCOOP	28.6025	29.0325
72	THESE	29.0325	29.3225
73	sp	29.3225	29.4825
74	THINGS	29.4825	29.7825
75	sp	29.7825	30.1625
76	INTO	30.1625	30.4325
77	THREE	30.4325	31.3025
78	RED	31.3025	31.8325
79	sp	31.8325	31.8925
80	BAGS	31.8925	32.5525
81	sp	32.5525	33.0725
82	AND	33.0725	33.3225
83	WE	33.3225	33.4525
84	WILL	33.4525	33.7325
85	GO	33.7325	34.0525
86	MEET	34.0525	34.3825
87	HER	34.3825	34.6725
88	WEDNESDAY	34.6725	35.3925
89	AT	35.3925	35.6125
90	THE	35.6125	35.6925
91	TRAIN	35.6925	36.1625
92	STATION	36.1625	37.0525
93	sp	37.0525	37.4225
